X,Y,Z,formation
424,0,-1412,Equigranular Monzonite
472,0,-1284,Equigranular Monzonite
525,0,-1139,Equigranular Monzonite
622,0,-969,Equigranular Monzonite
640,0,-930,Equigranular Monzonite
686,0,-883,Equigranular Monzonite
760,0,-838,Equigranular Monzonite
810,0,-753,Equigranular Monzonite
847,0,-692,Equigranular Monzonite
865,0,-634,Equigranular Monzonite
900,0,-595,Equigranular Monzonite
936,0,-509,Equigranular Monzonite
915,0,-462,Equigranular Monzonite
961,0,-388,Equigranular Monzonite
1068,0,-333,Equigranular Monzonite
1602,0,-360,Equigranular Monzonite
1637,0,-420,Equigranular Monzonite
1623,0,-515,Equigranular Monzonite
1589,0,-622,Equigranular Monzonite
1545,0,-728,Equigranular Monzonite
1586,0,-843,Equigranular Monzonite
1421,0,-897,Equigranular Monzonite
1366,0,-950,Equigranular Monzonite
1437,0,-1000,Equigranular Monzonite
1423,0,-1153,Equigranular Monzonite
1374,0,-1254,Equigranular Monzonite
1355,0,-1411,Equigranular Monzonite
329,0,-387,Premine topo
395,0,-412,Premine topo
439,0,-402,Premine topo
470,0,-386,Premine topo
507,0,-405,Premine topo
597,0,-442,Premine topo
663,0,-488,Premine topo
750,0,-422,Premine topo
783,0,-408,Premine topo
890,0,-364,Premine topo
988,0,-374,Premine topo
1076,0,-380,Premine topo
1136,0,-356,Premine topo
1211,0,-368,Premine topo
1308,0,-395,Premine topo
1448,0,-391,Premine topo
1585,0,-387,Premine topo
1679,0,-387,Premine topo
1743,0,-353,Premine topo
1823,0,-356,Premine topo
566,0,-1380,Quartz monzonite porphyry
577,0,-1261,Quartz monzonite porphyry
578,0,-1132,Quartz monzonite porphyry
647,0,-971,Quartz monzonite porphyry
694,0,-896,Quartz monzonite porphyry
705,0,-860,Quartz monzonite porphyry
820,0,-794,Quartz monzonite porphyry
868,0,-653,Quartz monzonite porphyry
927,0,-594,Quartz monzonite porphyry
955,0,-525,Quartz monzonite porphyry
963,0,-446,Quartz monzonite porphyry
1007,0,-376,Quartz monzonite porphyry
1185,0,-350,Quartz monzonite porphyry
1156,0,-525,Quartz monzonite porphyry
1032,0,-713,Quartz monzonite porphyry
958,0,-882,Quartz monzonite porphyry
859,0,-1085,Quartz monzonite porphyry
793,0,-1190,Quartz monzonite porphyry
759,0,-1332,Quartz monzonite porphyry
760,0,-1407,Quartz monzonite porphyry
793,0,-1404,baserock
820,0,-1337,baserock
885,0,-1272,baserock
991,0,-1250,baserock
1084,0,-1279,baserock
1113,0,-1337,baserock
