X,Y,Z,formation
424,0,-1412,Equigranular Monzonite
429,0,-1383,Equigranular Monzonite
443,0,-1352,Equigranular Monzonite
461,0,-1316,Equigranular Monzonite
472,0,-1284,Equigranular Monzonite
485,0,-1250,Equigranular Monzonite
496,0,-1220,Equigranular Monzonite
513,0,-1180,Equigranular Monzonite
525,0,-1139,Equigranular Monzonite
535,0,-1092,Equigranular Monzonite
554,0,-1047,Equigranular Monzonite
572,0,-1003,Equigranular Monzonite
594,0,-983,Equigranular Monzonite
622,0,-969,Equigranular Monzonite
639,0,-970,Equigranular Monzonite
641,0,-957,Equigranular Monzonite
640,0,-930,Equigranular Monzonite
655,0,-904,Equigranular Monzonite
680,0,-902,Equigranular Monzonite
686,0,-883,Equigranular Monzonite
692,0,-858,Equigranular Monzonite
711,0,-851,Equigranular Monzonite
738,0,-848,Equigranular Monzonite
760,0,-838,Equigranular Monzonite
781,0,-817,Equigranular Monzonite
796,0,-785,Equigranular Monzonite
810,0,-753,Equigranular Monzonite
814,0,-732,Equigranular Monzonite
822,0,-714,Equigranular Monzonite
832,0,-695,Equigranular Monzonite
847,0,-692,Equigranular Monzonite
841,0,-667,Equigranular Monzonite
843,0,-647,Equigranular Monzonite
854,0,-643,Equigranular Monzonite
865,0,-634,Equigranular Monzonite
876,0,-623,Equigranular Monzonite
885,0,-620,Equigranular Monzonite
895,0,-608,Equigranular Monzonite
900,0,-595,Equigranular Monzonite
911,0,-579,Equigranular Monzonite
919,0,-561,Equigranular Monzonite
938,0,-545,Equigranular Monzonite
943,0,-524,Equigranular Monzonite
936,0,-509,Equigranular Monzonite
934,0,-492,Equigranular Monzonite
936,0,-486,Equigranular Monzonite
931,0,-467,Equigranular Monzonite
915,0,-462,Equigranular Monzonite
929,0,-444,Equigranular Monzonite
948,0,-439,Equigranular Monzonite
961,0,-423,Equigranular Monzonite
965,0,-402,Equigranular Monzonite
961,0,-388,Equigranular Monzonite
975,0,-375,Equigranular Monzonite
1006,0,-375,Equigranular Monzonite
1022,0,-354,Equigranular Monzonite
1068,0,-333,Equigranular Monzonite
1129,0,-316,Equigranular Monzonite
1236,0,-296,Equigranular Monzonite
1367,0,-298,Equigranular Monzonite
1472,0,-313,Equigranular Monzonite
1547,0,-335,Equigranular Monzonite
1602,0,-360,Equigranular Monzonite
1643,0,-384,Equigranular Monzonite
1643,0,-403,Equigranular Monzonite
1637,0,-420,Equigranular Monzonite
1611,0,-437,Equigranular Monzonite
1605,0,-461,Equigranular Monzonite
1626,0,-462,Equigranular Monzonite
1644,0,-470,Equigranular Monzonite
1626,0,-495,Equigranular Monzonite
1623,0,-515,Equigranular Monzonite
1623,0,-536,Equigranular Monzonite
1614,0,-547,Equigranular Monzonite
1614,0,-574,Equigranular Monzonite
1602,0,-598,Equigranular Monzonite
1589,0,-622,Equigranular Monzonite
1586,0,-646,Equigranular Monzonite
1572,0,-670,Equigranular Monzonite
1572,0,-670,Equigranular Monzonite
1548,0,-693,Equigranular Monzonite
1536,0,-706,Equigranular Monzonite
1545,0,-728,Equigranular Monzonite
1550,0,-753,Equigranular Monzonite
1567,0,-779,Equigranular Monzonite
1589,0,-797,Equigranular Monzonite
1599,0,-812,Equigranular Monzonite
1586,0,-843,Equigranular Monzonite
1544,0,-862,Equigranular Monzonite
1500,0,-869,Equigranular Monzonite
1448,0,-881,Equigranular Monzonite
1421,0,-897,Equigranular Monzonite
1400,0,-913,Equigranular Monzonite
1376,0,-937,Equigranular Monzonite
1366,0,-950,Equigranular Monzonite
1384,0,-971,Equigranular Monzonite
1423,0,-973,Equigranular Monzonite
1437,0,-1000,Equigranular Monzonite
1442,0,-1028,Equigranular Monzonite
1453,0,-1076,Equigranular Monzonite
1441,0,-1117,Equigranular Monzonite
1423,0,-1153,Equigranular Monzonite
1406,0,-1187,Equigranular Monzonite
1386,0,-1230,Equigranular Monzonite
1374,0,-1254,Equigranular Monzonite
1359,0,-1303,Equigranular Monzonite
1359,0,-1329,Equigranular Monzonite
1360,0,-1378,Equigranular Monzonite
1355,0,-1411,Equigranular Monzonite
