X,Y,Z,formation
329,0,-387,Premine topo
353,0,-397,Premine topo
377,0,-404,Premine topo
395,0,-412,Premine topo
419,0,-410,Premine topo
439,0,-402,Premine topo
455,0,-389,Premine topo
470,0,-386,Premine topo
490,0,-395,Premine topo
507,0,-405,Premine topo
527,0,-412,Premine topo
560,0,-424,Premine topo
597,0,-442,Premine topo
617,0,-456,Premine topo
645,0,-477,Premine topo
663,0,-488,Premine topo
679,0,-480,Premine topo
698,0,-475,Premine topo
720,0,-459,Premine topo
737,0,-436,Premine topo
750,0,-422,Premine topo
771,0,-417,Premine topo
783,0,-408,Premine topo
805,0,-405,Premine topo
823,0,-394,Premine topo
838,0,-386,Premine topo
863,0,-375,Premine topo
890,0,-364,Premine topo
915,0,-363,Premine topo
933,0,-363,Premine topo
958,0,-370,Premine topo
988,0,-374,Premine topo
1014,0,-377,Premine topo
1040,0,-376,Premine topo
1062,0,-376,Premine topo
1076,0,-380,Premine topo
1089,0,-381,Premine topo
1103,0,-371,Premine topo
1116,0,-365,Premine topo
1136,0,-356,Premine topo
1153,0,-355,Premine topo
1175,0,-356,Premine topo
1185,0,-362,Premine topo
1211,0,-368,Premine topo
1248,0,-382,Premine topo
1266,0,-390,Premine topo
1286,0,-392,Premine topo
1308,0,-395,Premine topo
1347,0,-405,Premine topo
1371,0,-411,Premine topo
1405,0,-408,Premine topo
1428,0,-407,Premine topo
1448,0,-391,Premine topo
1467,0,-386,Premine topo
1501,0,-384,Premine topo
1528,0,-384,Premine topo
1563,0,-389,Premine topo
1585,0,-387,Premine topo
1616,0,-391,Premine topo
1633,0,-400,Premine topo
1647,0,-407,Premine topo
1662,0,-402,Premine topo
1679,0,-387,Premine topo
1709,0,-373,Premine topo
1730,0,-363,Premine topo
1743,0,-353,Premine topo
1776,0,-343,Premine topo
1806,0,-351,Premine topo
1823,0,-356,Premine topo
