X,Y,Z,formation
14.94,10.0,-78.32999999999993,1.0
14.94,10.0,-55.950000000000045,1.0
14.94,10.0,-33.569999999999936,1.0
14.94,10.0,-11.19,1.0
14.94,30.0,-78.32999999999993,1.0
14.94,30.0,-55.950000000000045,1.0
14.94,30.0,-33.569999999999936,1.0
14.94,30.0,-11.19,1.0
14.94,50.0,-78.32999999999993,1.0
14.94,50.0,-55.950000000000045,1.0
14.94,50.0,-33.569999999999936,1.0
14.94,50.0,-11.19,1.0
14.94,70.0,-78.32999999999993,1.0
14.94,70.0,-55.950000000000045,1.0
14.94,70.0,-33.569999999999936,1.0
14.94,70.0,-11.19,1.0
14.94,90.0,-78.32999999999993,1.0
14.94,90.0,-55.950000000000045,1.0
14.94,90.0,-33.569999999999936,1.0
14.94,90.0,-11.19,1.0
14.94,110.0,-78.32999999999993,1.0
14.94,110.0,-55.950000000000045,1.0
14.94,110.0,-33.569999999999936,1.0
14.94,110.0,-11.19,1.0
14.94,130.0,-78.32999999999993,1.0
14.94,130.0,-55.950000000000045,1.0
14.94,130.0,-33.569999999999936,1.0
14.94,130.0,-11.19,1.0
14.94,150.0,-78.32999999999993,1.0
14.94,150.0,-55.950000000000045,1.0
14.94,150.0,-33.569999999999936,1.0
14.94,150.0,-11.19,1.0
14.94,170.0,-78.32999999999993,1.0
14.94,170.0,-55.950000000000045,1.0
14.94,170.0,-33.569999999999936,1.0
14.94,170.0,-11.19,1.0
14.94,190.0,-78.32999999999993,1.0
14.94,190.0,-55.950000000000045,1.0
14.94,190.0,-33.569999999999936,1.0
14.94,190.0,-11.19,1.0
14.94,210.0,-78.32999999999993,1.0
14.94,210.0,-55.950000000000045,1.0
14.94,210.0,-33.569999999999936,1.0
14.94,210.0,-11.19,1.0
14.94,230.0,-78.32999999999993,1.0
14.94,230.0,-55.950000000000045,1.0
14.94,230.0,-33.569999999999936,1.0
14.94,230.0,-11.19,1.0
14.94,250.0,-55.950000000000045,1.0
14.94,250.0,-33.569999999999936,1.0
14.94,250.0,-11.19,1.0
14.94,270.0,-55.950000000000045,1.0
14.94,270.0,-33.569999999999936,1.0
14.94,270.0,-11.19,1.0
14.94,290.0,-55.950000000000045,1.0
14.94,290.0,-33.569999999999936,1.0
14.94,290.0,-11.19,1.0
14.94,310.0,-55.950000000000045,1.0
14.94,310.0,-33.569999999999936,1.0
14.94,310.0,-11.19,1.0
14.94,330.0,-55.950000000000045,1.0
14.94,330.0,-33.569999999999936,1.0
14.94,330.0,-11.19,1.0
14.94,350.0,-55.950000000000045,1.0
14.94,350.0,-33.569999999999936,1.0
14.94,350.0,-11.19,1.0
14.94,370.0,-55.950000000000045,1.0
14.94,370.0,-33.569999999999936,1.0
14.94,370.0,-11.19,1.0
14.94,390.0,-55.950000000000045,1.0
14.94,390.0,-33.569999999999936,1.0
14.94,390.0,-11.19,1.0
14.94,410.0,-55.950000000000045,1.0
14.94,410.0,-33.569999999999936,1.0
14.94,410.0,-11.19,1.0
14.94,430.0,-55.950000000000045,1.0
14.94,430.0,-33.569999999999936,1.0
14.94,430.0,-11.19,1.0
14.94,450.0,-55.950000000000045,1.0
14.94,450.0,-33.569999999999936,1.0
14.94,450.0,-11.19,1.0
14.94,470.0,-55.950000000000045,1.0
14.94,470.0,-33.569999999999936,1.0
14.94,470.0,-11.19,1.0
14.94,490.0,-55.950000000000045,1.0
14.94,490.0,-33.569999999999936,1.0
14.94,490.0,-11.19,1.0
14.94,510.0,-55.950000000000045,1.0
14.94,510.0,-33.569999999999936,1.0
14.94,510.0,-11.19,1.0
14.94,530.0,-33.569999999999936,1.0
14.94,530.0,-11.19,1.0
14.94,550.0,-33.569999999999936,1.0
14.94,550.0,-11.19,1.0
14.94,570.0,-33.569999999999936,1.0
14.94,570.0,-11.19,1.0
14.94,590.0,-33.569999999999936,1.0
14.94,590.0,-11.19,1.0
14.94,610.0,-33.569999999999936,1.0
14.94,610.0,-11.19,1.0
14.94,630.0,-33.569999999999936,1.0
14.94,630.0,-11.19,1.0
14.94,650.0,-33.569999999999936,1.0
14.94,650.0,-11.19,1.0
14.94,670.0,-33.569999999999936,1.0
14.94,670.0,-11.19,1.0
14.94,690.0,-33.569999999999936,1.0
14.94,690.0,-11.19,1.0
14.94,710.0,-33.569999999999936,1.0
14.94,710.0,-11.19,1.0
14.94,730.0,-33.569999999999936,1.0
14.94,730.0,-11.19,1.0
14.94,750.0,-33.569999999999936,1.0
14.94,750.0,-11.19,1.0
14.94,770.0,-33.569999999999936,1.0
14.94,770.0,-11.19,1.0
14.94,790.0,-33.569999999999936,1.0
14.94,790.0,-11.19,1.0
14.94,810.0,-33.569999999999936,1.0
14.94,810.0,-11.19,1.0
14.94,830.0,-33.569999999999936,1.0
14.94,830.0,-11.19,1.0
14.94,850.0,-33.569999999999936,1.0
14.94,850.0,-11.19,1.0
14.94,870.0,-33.569999999999936,1.0
14.94,870.0,-11.19,1.0
14.94,890.0,-11.19,1.0
14.94,910.0,-11.19,1.0
14.94,930.0,-11.19,1.0
14.94,950.0,-11.19,1.0
14.94,970.0,-11.19,1.0
14.94,990.0,-11.19,1.0
44.82,10.0,-100.71000000000004,1.0
44.82,10.0,-78.32999999999993,1.0
44.82,10.0,-55.950000000000045,1.0
44.82,10.0,-33.569999999999936,1.0
44.82,10.0,-11.19,1.0
44.82,30.0,-100.71000000000004,1.0
44.82,30.0,-78.32999999999993,1.0
44.82,30.0,-55.950000000000045,1.0
44.82,30.0,-33.569999999999936,1.0
44.82,30.0,-11.19,1.0
44.82,50.0,-100.71000000000004,1.0
44.82,50.0,-78.32999999999993,1.0
44.82,50.0,-55.950000000000045,1.0
44.82,50.0,-33.569999999999936,1.0
44.82,50.0,-11.19,1.0
44.82,70.0,-100.71000000000004,1.0
44.82,70.0,-78.32999999999993,1.0
44.82,70.0,-55.950000000000045,1.0
44.82,70.0,-33.569999999999936,1.0
44.82,70.0,-11.19,1.0
44.82,90.0,-78.32999999999993,1.0
44.82,90.0,-55.950000000000045,1.0
44.82,90.0,-33.569999999999936,1.0
44.82,90.0,-11.19,1.0
44.82,110.0,-78.32999999999993,1.0
44.82,110.0,-55.950000000000045,1.0
44.82,110.0,-33.569999999999936,1.0
44.82,110.0,-11.19,1.0
44.82,130.0,-78.32999999999993,1.0
44.82,130.0,-55.950000000000045,1.0
44.82,130.0,-33.569999999999936,1.0
44.82,130.0,-11.19,1.0
44.82,150.0,-78.32999999999993,1.0
44.82,150.0,-55.950000000000045,1.0
44.82,150.0,-33.569999999999936,1.0
44.82,150.0,-11.19,1.0
44.82,170.0,-78.32999999999993,1.0
44.82,170.0,-55.950000000000045,1.0
44.82,170.0,-33.569999999999936,1.0
44.82,170.0,-11.19,1.0
44.82,190.0,-78.32999999999993,1.0
44.82,190.0,-55.950000000000045,1.0
44.82,190.0,-33.569999999999936,1.0
44.82,190.0,-11.19,1.0
44.82,210.0,-78.32999999999993,1.0
44.82,210.0,-55.950000000000045,1.0
44.82,210.0,-33.569999999999936,1.0
44.82,210.0,-11.19,1.0
44.82,230.0,-78.32999999999993,1.0
44.82,230.0,-55.950000000000045,1.0
44.82,230.0,-33.569999999999936,1.0
44.82,230.0,-11.19,1.0
44.82,250.0,-78.32999999999993,1.0
44.82,250.0,-55.950000000000045,1.0
