X,Y,Z,formation
0,500,-45,topo
73,500,-13,topo
158,500,-11,topo
242,500,-17,topo
339,500,-30,topo
407,500,-43,topo
490,500,-78,topo
559,500,-85,topo
644,500,-86,topo
738,500,-113,topo
862,500,-111,topo
946,500,-99,topo
1027,500,-78,topo
1098,500,-63,topo
1153,500,-60,topo
1212,500,-31,topo
580,500,-771,darkmatrix_porphyry
582,500,-669,darkmatrix_porphyry
574,500,-597,darkmatrix_porphyry
552,500,-568,darkmatrix_porphyry
555,500,-559,darkmatrix_porphyry
574,500,-456,darkmatrix_porphyry
578,500,-395,darkmatrix_porphyry
536,500,-365,darkmatrix_porphyry
556,500,-343,darkmatrix_porphyry
605,500,-336,darkmatrix_porphyry
631,500,-395,darkmatrix_porphyry
598,500,-465,darkmatrix_porphyry
666,500,-475,darkmatrix_porphyry
612,500,-552,darkmatrix_porphyry
613,500,-590,darkmatrix_porphyry
625,500,-683,darkmatrix_porphyry
629,500,-771,darkmatrix_porphyry
942,500,-683,darkmatrix_porphyry2
890,500,-675,darkmatrix_porphyry2
856,500,-639,darkmatrix_porphyry2
945,500,-655,darkmatrix_porphyry2
778,500,-560,darkmatrix_porphyry2
787,500,-438,darkmatrix_porphyry2
763,500,-353,darkmatrix_porphyry2
701,500,-290,darkmatrix_porphyry2
640,500,-232,darkmatrix_porphyry2
777,500,-259,darkmatrix_porphyry2
819,500,-163,darkmatrix_porphyry2
848,500,-112,darkmatrix_porphyry2
834,500,-182,darkmatrix_porphyry2
890,500,-154,darkmatrix_porphyry2
834,500,-268,darkmatrix_porphyry2
890,500,-242,darkmatrix_porphyry2
858,500,-294,darkmatrix_porphyry2
829,500,-435,darkmatrix_porphyry2
844,500,-435,darkmatrix_porphyry2
844,500,-526,darkmatrix_porphyry2
920,500,-616,darkmatrix_porphyry2
939,500,-595,darkmatrix_porphyry3
891,500,-546,darkmatrix_porphyry3
860,500,-461,darkmatrix_porphyry3
890,500,-336,darkmatrix_porphyry3
918,500,-206,darkmatrix_porphyry3
944,500,-102,darkmatrix_porphyry3
987,500,-118,darkmatrix_porphyry3
939,500,-118,darkmatrix_porphyry3
1039,500,-111,darkmatrix_porphyry3
1039,500,-135,darkmatrix_porphyry3
989,500,-155,darkmatrix_porphyry3
969,500,-162,darkmatrix_porphyry3
957,500,-211,darkmatrix_porphyry3
929,500,-281,darkmatrix_porphyry3
980,500,-251,darkmatrix_porphyry3
903,500,-374,darkmatrix_porphyry3
924,500,-374,darkmatrix_porphyry3
939,500,-385,darkmatrix_porphyry3
939,500,-415,darkmatrix_porphyry3
899,500,-441,darkmatrix_porphyry3
851,500,-441,darkmatrix_porphyry3
930,500,-542,darkmatrix_porphyry3
934,500,-561,darkmatrix_porphyry3
939,500,-595,darkmatrix_porphyry3
945,500,-655,host rock
890,500,-675,host rock
1,500,-587,host rock
44,500,-595,host rock
65,500,-600,host rock
98,500,-611,host rock
132,500,-618,host rock
170,500,-611,host rock
182,500,-597,host rock
194,500,-577,host rock
214,500,-582,host rock
223,500,-559,host rock
245,500,-541,host rock
274,500,-521,host rock
291,500,-521,host rock
320,500,-527,host rock
345,500,-526,host rock
378,500,-518,host rock
400,500,-517,host rock
431,500,-514,host rock
453,500,-514,host rock
487,500,-517,host rock
524,500,-520,host rock
550,500,-522,host rock
580,500,-771,host rock
582,500,-669,host rock
574,500,-597,host rock
552,500,-568,host rock
555,500,-559,host rock
612,500,-552,host rock
613,500,-590,host rock
625,500,-683,host rock
666,500,-511,host rock
687,500,-509,host rock
699,500,-547,host rock
712,500,-597,host rock
724,500,-629,host rock
726,500,-646,host rock
745,500,-629,host rock
757,500,-603,host rock
765,500,-571,host rock
779,500,-522,host rock
942,500,-683,host rock
839,500,-605,host rock
798,500,-560,host rock
834,500,-435,host rock
834,500,-526,host rock
889,500,-595,host rock
853,500,-462,host rock
939,500,-595,host rock
891,500,-546,host rock
860,500,-461,host rock
930,500,-542,host rock
934,500,-561,host rock
939,500,-595,host rock
951,500,-471,host rock
993,500,-480,host rock
1023,500,-488,host rock
1063,500,-499,host rock
1094,500,-507,host rock
1136,500,-512,host rock
1178,500,-515,host rock
1206,500,-513,host rock
689,500,-507,pitporphyryintrusion
700,500,-520,pitporphyryintrusion
720,500,-544,pitporphyryintrusion
742,500,-579,pitporphyryintrusion
745,500,-606,pitporphyryintrusion
758,500,-637,pitporphyryintrusion
