X,Y,Z,dip,azimuth,polarity,formation
0,500,-45,0,90,1,topo
73,500,-13,0,90,1,topo
339,500,-30,0,90,1,topo
490,500,-78,0,90,1,topo
738,500,-113,0,90,1,topo
862,500,-111,0,90,1,topo
1098,500,-63,0,90,1,topo
1212,500,-31,0,90,1,topo
580,500,-771,90,90,1,darkmatrix_porphyry
574,500,-597,90,90,1,darkmatrix_porphyry
555,500,-559,170,90,1,darkmatrix_porphyry
557,500,-503,90,90,1,darkmatrix_porphyry
593,500,-418,60,90,1,darkmatrix_porphyry
501,500,-348,90,90,1,darkmatrix_porphyry
605,500,-336,-130,90,1,darkmatrix_porphyry
631,500,-395,-80,90,1,darkmatrix_porphyry
666,500,-475,-90,90,1,darkmatrix_porphyry
613,500,-590,-90,90,1,darkmatrix_porphyry
622,500,-742,-90,90,1,darkmatrix_porphyry
942,500,-683,-60,90,1,darkmatrix_porphyry2
856,500,-639,50,90,1,darkmatrix_porphyry2
778,500,-560,70,90,1,darkmatrix_porphyry2
787,500,-438,90,90,1,darkmatrix_porphyry2
789,500,-385,80,90,1,darkmatrix_porphyry2
763,500,-353,80,90,1,darkmatrix_porphyry2
701,500,-290,50,90,1,darkmatrix_porphyry2
640,500,-232,150,90,1,darkmatrix_porphyry2
777,500,-259,160,90,1,darkmatrix_porphyry2
819,500,-163,90,90,1,darkmatrix_porphyry2
848,500,-112,160,90,1,darkmatrix_porphyry2
890,500,-154,-90,90,1,darkmatrix_porphyry2
890,500,-242,-90,90,1,darkmatrix_porphyry2
834,500,-268,-50,90,1,darkmatrix_porphyry2
829,500,-335,-100,90,1,darkmatrix_porphyry2
829,500,-385,-100,90,1,darkmatrix_porphyry2
844,500,-435,-100,90,1,darkmatrix_porphyry2
844,500,-526,-100,90,1,darkmatrix_porphyry2
920,500,-616,-120,90,1,darkmatrix_porphyry2
939,500,-595,-10,90,0.6,darkmatrix_porphyry3
891,500,-546,70,90,0.6,darkmatrix_porphyry3
860,500,-461,80,90,0.6,darkmatrix_porphyry3
890,500,-336,90,90,0.6,darkmatrix_porphyry3
918,500,-206,110,90,0.6,darkmatrix_porphyry3
944,500,-102,90,90,0.6,darkmatrix_porphyry3
987,500,-118,-130,90,0.6,darkmatrix_porphyry3
939,500,-118,-170,90,0.6,darkmatrix_porphyry3
1039,500,-111,-120,90,0.6,darkmatrix_porphyry3
1039,500,-135,-60,90,0.6,darkmatrix_porphyry3
989,500,-155,-30,90,0.6,darkmatrix_porphyry3
969,500,-162,-110,90,0.6,darkmatrix_porphyry3
957,500,-211,-90,90,0.6,darkmatrix_porphyry3
929,500,-281,-90,90,0.6,darkmatrix_porphyry3
980,500,-251,-80,90,0.6,darkmatrix_porphyry3
903,500,-374,-110,90,0.6,darkmatrix_porphyry3
939,500,-385,-90,90,0.6,darkmatrix_porphyry3
939,500,-415,-50,90,0.6,darkmatrix_porphyry3
851,500,-441,80,90,0.6,darkmatrix_porphyry3
930,500,-542,-110,90,0.6,darkmatrix_porphyry3
934,500,-561,-120,90,0.6,darkmatrix_porphyry3
939,500,-595,-10,90,0.6,darkmatrix_porphyry3
1,500,-587,0,90,1,host rock
132,500,-618,0,90,1,host rock
214,500,-582,0,90,1,host rock
345,500,-526,0,90,1,host rock
550,500,-522,0,90,1,host rock
669,500,-535,0,90,1,host rock
709,500,-585,30,90,1,host rock
759,500,-535,-40,90,1,host rock
1023,500,-488,0,90,1,host rock
1206,500,-513,0,90,1,host rock
580,500,-771,90,90,1,host rock
574,500,-597,90,90,1,host rock
613,500,-590,-90,90,1,host rock
622,500,-742,-90,90,1,host rock
942,500,-683,-30,90,1,host rock
819,500,-585,80,90,1,host rock
798,500,-560,80,90,1,host rock
834,500,-526,-90,90,1,host rock
889,500,-595,-110,90,1,host rock
939,500,-595,-10,90,1,host rock
891,500,-546,80,90,1,host rock
860,500,-461,80,90,1,host rock
930,500,-542,-110,90,1,host rock
934,500,-485,-80,90,1,host rock
688,500,-506,50,90,5,pitporphyryintrusion
796,500,-675,20,90,5,pitporphyryintrusion
853,500,-758,50,90,5,pitporphyryintrusion
