,X,Y,Z,grade,borehole
0,1186.31,1110.0,-772.2,0.15272444692053655,1.0
15,1186.31,1110.0,-538.2,0.15090923212561466,1.0
30,1186.31,1110.0,-304.2,0.14334801992056861,1.0
45,501.43000000000006,1230.0,-709.8000000000001,0.15493861077359564,2.0
60,501.43000000000006,1230.0,-475.8,0.15827835671044324,2.0
75,501.43000000000006,1230.0,-241.79999999999995,0.14834827171976978,2.0
90,1088.47,270.0,-709.8000000000001,0.16736584008251174,3.0
105,1088.47,270.0,-475.8,0.16300184242694943,3.0
120,1088.47,270.0,-241.79999999999995,0.1475482860457012,3.0
135,892.7900000000001,1830.0,-631.8000000000001,0.14471175699856864,4.0
150,892.7900000000001,1830.0,-397.8,0.1388106451863049,4.0
165,892.7900000000001,1830.0,-163.79999999999995,0.13244420353200534,4.0
180,672.6500000000001,270.0,-616.2,0.1686310869661576,5.0
195,672.6500000000001,270.0,-382.2,0.1576834112053644,5.0
210,672.6500000000001,270.0,-148.20000000000005,0.14374209907560212,5.0
225,85.61,2010.0,-538.2,0.12560580780263866,6.0
240,85.61,2010.0,-304.2,0.1241085604318381,6.0
255,672.6500000000001,930.0,-741.0,0.1543207529524893,7.0
270,672.6500000000001,930.0,-507.0,0.15392486537936048,7.0
285,672.6500000000001,930.0,-273.0,0.14645613820228018,7.0
300,1161.8500000000001,1470.0,-741.0,0.1943884407036342,8.0
315,1161.8500000000001,1470.0,-507.0,0.1691053959702836,8.0
330,1161.8500000000001,1470.0,-273.0,0.14538004751203756,8.0
345,648.19,2850.0,-678.6,0.1162480598171254,9.0
360,648.19,2850.0,-444.6,0.12671275795670373,9.0
375,648.19,2850.0,-210.60000000000002,0.10333543937718423,9.0
390,158.98999999999998,2910.0,-663.0,0.11430707076992437,10.0
405,158.98999999999998,2910.0,-429.0,0.1146523369264513,10.0
420,158.98999999999998,2910.0,-195.0,0.11195104615673163,10.0
435,1064.01,2250.0,-647.4000000000001,0.09829489792411333,11.0
450,1064.01,2250.0,-413.40000000000003,0.0948488736954078,11.0
465,1064.01,2250.0,-179.39999999999998,0.10626051898107045,11.0
480,428.05,1170.0,-616.2,0.1551932544481417,12.0
495,428.05,1170.0,-382.2,0.15300699015871305,12.0
510,428.05,1170.0,-148.20000000000005,0.1433875239624639,12.0
525,648.19,1410.0,-616.2,0.163405784672825,13.0
540,648.19,1410.0,-382.2,0.15737231143200928,13.0
555,648.19,1410.0,-148.20000000000005,0.1438456603233602,13.0
570,476.97,1590.0,-600.6,0.1730356599547697,14.0
585,476.97,1590.0,-366.6,0.16467747786926834,14.0
600,476.97,1590.0,-132.60000000000002,0.14410783904663266,14.0
615,941.71,870.0,-600.6,0.1584585448372903,15.0
630,941.71,870.0,-366.6,0.15129058842000073,15.0
645,941.71,870.0,-132.60000000000002,0.1418220841640366,15.0
660,746.0300000000001,2310.0,-553.8,0.14260084758945182,16.0
675,746.0300000000001,2310.0,-319.8,0.08564534320136175,16.0
690,305.75,2490.0,-756.6,0.06043344659532723,17.0
705,305.75,2490.0,-522.6,0.09527131669644041,17.0
720,305.75,2490.0,-288.6,-0.002896031786373311,17.0
735,305.75,2490.0,-54.60000000000002,0.060608778749292234,17.0
750,721.57,270.0,-553.8,0.16716238747934306,18.0
765,721.57,270.0,-319.8,0.15347498515246957,18.0
780,550.35,450.0,-772.2,0.1875025755293398,19.0
795,550.35,450.0,-538.2,0.19119895884620972,19.0
810,550.35,450.0,-304.2,0.1603714227970666,19.0
825,917.25,1950.0,-772.2,0.13309159197159454,20.0
840,917.25,1950.0,-538.2,0.13253420577157454,20.0
855,917.25,1950.0,-304.2,0.12803107119962187,20.0
870,1088.47,1170.0,-756.6,0.15779902922469902,21.0
885,1088.47,1170.0,-522.6,0.15424689713355888,21.0
900,1088.47,1170.0,-288.6,0.14437016629244115,21.0
915,892.7900000000001,1470.0,-694.2,0.1782688683203478,22.0
930,892.7900000000001,1470.0,-460.20000000000005,0.1616069995012114,22.0
945,892.7900000000001,1470.0,-226.20000000000005,0.14454123218968923,22.0
960,281.29,2610.0,-631.8000000000001,0.07056498887281622,23.0
975,281.29,2610.0,-397.8,0.14551647880366345,23.0
990,281.29,2610.0,-163.79999999999995,0.04778378385229618,23.0
1005,1015.09,1890.0,-647.4000000000001,0.1396116527453736,24.0
1020,1015.09,1890.0,-413.40000000000003,0.13460771992755896,24.0
1035,1015.09,1890.0,-179.39999999999998,0.13008073517679955,24.0
1050,746.0300000000001,1890.0,-600.6,0.13860709461892073,25.0
1065,746.0300000000001,1890.0,-366.6,0.1348123666881496,25.0
1080,746.0300000000001,1890.0,-132.60000000000002,0.12909006184572913,25.0
1095,1112.93,2490.0,-600.6,0.05159506849036462,26.0
1110,1112.93,2490.0,-366.6,0.07044614154252045,26.0
1125,1112.93,2490.0,-132.60000000000002,0.1012653618015471,26.0
1140,941.71,1050.0,-553.8,0.15257841783330073,27.0
1155,941.71,1050.0,-319.8,0.14589806617155623,27.0
1170,330.21000000000004,2730.0,-725.4000000000001,0.09235844014750788,28.0
1185,330.21000000000004,2730.0,-491.40000000000003,0.140263094143651,28.0
1200,330.21000000000004,2730.0,-257.4,0.08515763438497104,28.0
1215,672.6500000000001,1830.0,-741.0,0.1412011224814131,29.0
1230,672.6500000000001,1830.0,-507.0,0.14285335787157144,29.0
1245,672.6500000000001,1830.0,-273.0,0.13642226830584975,29.0
1260,672.6500000000001,1230.0,-756.6,0.15366143304659494,30.0
1275,672.6500000000001,1230.0,-522.6,0.15538957166893663,30.0
1290,672.6500000000001,1230.0,-288.6,0.1477898757989587,30.0
1305,1064.01,2010.0,-756.6,0.1279150390363213,31.0
1320,1064.01,2010.0,-522.6,0.12565788131247765,31.0
1335,1064.01,2010.0,-288.6,0.12376866668373505,31.0
1350,501.43000000000006,1350.0,-725.4000000000001,0.1596170823574131,32.0
1365,501.43000000000006,1350.0,-491.40000000000003,0.16924866774244363,32.0
1380,501.43000000000006,1350.0,-257.4,0.15310803282916255,32.0
1395,281.29,810.0,-741.0,0.15741821995985142,33.0
1410,281.29,810.0,-507.0,0.1554407465697294,33.0
1425,281.29,810.0,-273.0,0.14591665644094884,33.0
1440,697.11,390.0,-772.2,0.17828734788682274,34.0
1455,697.11,390.0,-538.2,0.18084062772675133,34.0
1470,697.11,390.0,-304.2,0.1581894837509881,34.0
1485,525.89,930.0,-756.6,0.15348126076714622,35.0
1500,525.89,930.0,-522.6,0.15397018799882042,35.0
1515,525.89,930.0,-288.6,0.14694606937989937,35.0
1530,1137.39,90.0,-756.6,0.14742671557662285,36.0
1545,1137.39,90.0,-522.6,0.14736015258255683,36.0
1560,1137.39,90.0,-288.6,0.14174848045424637,36.0
1575,1210.77,2610.0,-694.2,0.06938476001534949,37.0
1590,1210.77,2610.0,-460.20000000000005,0.0756390314565003,37.0
1605,1210.77,2610.0,-226.20000000000005,0.1016657226307106,37.0
1620,648.19,810.0,-663.0,0.16305131742285628,38.0
1635,648.19,810.0,-429.0,0.15747647963431344,38.0
1650,648.19,810.0,-195.0,0.1457354431975442,38.0
1665,452.51000000000005,990.0,-663.0,0.1523372294128989,39.0
1680,452.51000000000005,990.0,-429.0,0.15031134230461274,39.0
1695,452.51000000000005,990.0,-195.0,0.14319187803954667,39.0
1710,1210.77,1170.0,-678.6,0.15567494077094915,40.0
1725,1210.77,1170.0,-444.6,0.1488502266022291,40.0
1740,1210.77,1170.0,-210.60000000000002,0.14044717759470457,40.0
1755,232.37,90.0,-631.8000000000001,0.1458739275452358,41.0
1770,232.37,90.0,-397.8,0.1422336396150864,41.0
1785,232.37,90.0,-163.79999999999995,0.1373228448282889,41.0
1800,599.27,2190.0,-631.8000000000001,0.1250315509391524,42.0
1815,599.27,2190.0,-397.8,0.13005162071269552,42.0
1830,599.27,2190.0,-163.79999999999995,0.09724074598224126,42.0
1845,1161.8500000000001,1110.0,-647.4000000000001,0.15354373902614976,43.0
1860,1161.8500000000001,1110.0,-413.40000000000003,0.14740851351692316,43.0
1875,1161.8500000000001,1110.0,-179.39999999999998,0.1399605264735373,43.0
1890,476.97,2790.0,-585.0,0.12913877740983665,44.0
1905,476.97,2790.0,-351.0,0.12142667840125675,44.0
1920,476.97,2790.0,-117.0,0.09021958150357479,44.0
1935,183.45,270.0,-569.4000000000001,0.1561438563904078,45.0
1950,183.45,270.0,-335.4,0.14601810884069594,45.0
1965,183.45,270.0,-101.39999999999998,0.13807153714209236,45.0
1980,379.13000000000005,2250.0,-569.4000000000001,0.13100055293641247,46.0
1995,379.13000000000005,2250.0,-335.4,0.11640283426271496,46.0
2010,379.13000000000005,2250.0,-101.39999999999998,0.08534432802972819,46.0
2025,746.0300000000001,210.0,-585.0,0.16111535526739407,47.0
2040,746.0300000000001,210.0,-351.0,0.15175235085979105,47.0
2055,746.0300000000001,210.0,-117.0,0.14116432227368747,47.0
2070,354.67,570.0,-569.4000000000001,0.1873371166927432,48.0
2085,354.67,570.0,-335.4,0.15996331803845765,48.0
2100,354.67,570.0,-101.39999999999998,0.14250161226566255,48.0
2115,158.98999999999998,2430.0,-585.0,0.0507468321501804,49.0
2130,158.98999999999998,2430.0,-351.0,0.05533605770272447,49.0
2145,158.98999999999998,2430.0,-117.0,0.07236567530644339,49.0
2160,868.33,2610.0,-569.4000000000001,0.08879061752631034,50.0
2175,868.33,2610.0,-335.4,0.06441011346946435,50.0
2190,868.33,2610.0,-101.39999999999998,0.08542728269387632,50.0
2205,501.43000000000006,2730.0,-553.8,0.14696390160191045,51.0
2220,501.43000000000006,2730.0,-319.8,0.10737144970826785,51.0
2235,452.51000000000005,210.0,-772.2,0.15927856887650446,52.0
2250,452.51000000000005,210.0,-538.2,0.1592825395427082,52.0
2265,452.51000000000005,210.0,-304.2,0.14818393094569038,52.0
2280,452.51000000000005,210.0,-70.19999999999993,0.1388941947863704,52.0
2295,452.51000000000005,150.0,-553.8,0.1537879829824698,53.0
2310,452.51000000000005,150.0,-319.8,0.14588716204561275,53.0
2325,452.51000000000005,150.0,-85.79999999999995,0.13830800232824023,53.0
2340,746.0300000000001,2310.0,-553.8,0.14260084758945182,54.0
2355,746.0300000000001,2310.0,-319.8,0.08564534320136175,54.0
2370,917.25,390.0,-772.2,0.17920736063001566,55.0
2385,917.25,390.0,-538.2,0.18200734036859906,55.0
2400,917.25,390.0,-304.2,0.15845339717257453,55.0
2415,1186.31,1710.0,-741.0,0.16271821694176097,56.0
2430,1186.31,1710.0,-507.0,0.15297537218736967,56.0
2445,1186.31,1710.0,-273.0,0.13962741923136152,56.0
2460,1015.09,2250.0,-694.2,0.102697320648408,57.0
2475,1015.09,2250.0,-460.20000000000005,0.0940398634308321,57.0
2490,1015.09,2250.0,-226.20000000000005,0.10121436001273164,57.0
2505,501.43000000000006,1530.0,-647.4000000000001,0.17097583358077992,58.0
2520,501.43000000000006,1530.0,-413.40000000000003,0.17195273075157944,58.0
2535,501.43000000000006,1530.0,-179.39999999999998,0.1481123801132709,58.0
2550,1015.09,30.0,-663.0,0.145692051416326,59.0
2565,1015.09,30.0,-429.0,0.14349756801461325,59.0
2580,1015.09,30.0,-195.0,0.1385946971407614,59.0
2595,550.35,870.0,-600.6,0.1582009614820943,60.0
2610,550.35,870.0,-366.6,0.15156088362336267,60.0
2625,550.35,870.0,-132.60000000000002,0.14220256962699207,60.0
2640,574.8100000000001,2430.0,-600.6,0.09271359647040833,61.0
2655,574.8100000000001,2430.0,-366.6,0.10100259472528761,61.0
2670,574.8100000000001,2430.0,-132.60000000000002,0.03910011026409669,61.0
2685,403.59000000000003,1410.0,-600.6,0.17937427545798934,62.0
2700,403.59000000000003,1410.0,-366.6,0.17076801616064324,62.0
2715,403.59000000000003,1410.0,-132.60000000000002,0.14682477322152526,62.0
2730,1210.77,330.0,-585.0,0.17085631863363254,63.0
2745,1210.77,330.0,-351.0,0.15514356848538743,63.0
2760,305.75,2430.0,-756.6,0.06491958442828068,64.0
2775,305.75,2430.0,-522.6,0.15235521292988183,64.0
2790,305.75,2430.0,-288.6,0.027264627406275114,64.0
2805,305.75,2430.0,-54.60000000000002,0.06426463510498863,64.0
2820,599.27,90.0,-553.8,0.14976349777110814,65.0
2835,599.27,90.0,-319.8,0.14396462530477727,65.0
2850,599.27,90.0,-85.79999999999995,0.13776962907725696,65.0
2865,892.7900000000001,2130.0,-553.8,0.11778623511165569,66.0
2880,892.7900000000001,2130.0,-319.8,0.11213605266082484,66.0
2895,256.83000000000004,1350.0,-741.0,0.1563754144526743,67.0
2910,256.83000000000004,1350.0,-507.0,0.1732128917361425,67.0
2925,256.83000000000004,1350.0,-273.0,0.157078869555801,67.0
2940,85.61,330.0,-725.4000000000001,0.15521701732484938,68.0
2955,85.61,330.0,-491.40000000000003,0.15038650914827909,68.0
2970,85.61,330.0,-257.4,0.14143724199461777,68.0
2985,525.89,750.0,-709.8000000000001,0.1683570573385322,69.0
3000,525.89,750.0,-475.8,0.16418870062788166,69.0
3015,525.89,750.0,-241.79999999999995,0.1492859210023157,69.0
3030,746.0300000000001,1530.0,-709.8000000000001,0.16279901834252156,70.0
3045,746.0300000000001,1530.0,-475.8,0.15905328435243096,70.0
3060,746.0300000000001,1530.0,-241.79999999999995,0.14597653053251544,70.0
3075,794.95,2190.0,-678.6,0.11608210929900202,71.0
3090,794.95,2190.0,-444.6,0.11821903910353265,71.0
3105,794.95,2190.0,-210.60000000000002,0.10179520642078999,71.0
3120,770.49,210.0,-663.0,0.161451181073774,72.0
3135,770.49,210.0,-429.0,0.15571942083425835,72.0
3150,770.49,210.0,-195.0,0.14418696630508704,72.0
3165,256.83000000000004,150.0,-647.4000000000001,0.15077806512739372,73.0
3180,256.83000000000004,150.0,-413.40000000000003,0.1458513395278184,73.0
3195,256.83000000000004,150.0,-179.39999999999998,0.13900592498284842,73.0
3210,843.87,330.0,-663.0,0.17619776928895053,74.0
3225,843.87,330.0,-429.0,0.1662009554473069,74.0
3240,843.87,330.0,-195.0,0.14785650562581062,74.0
3255,1015.09,1170.0,-631.8000000000001,0.1577295403546173,75.0
3270,1015.09,1170.0,-397.8,0.1494393821248421,75.0
3285,1015.09,1170.0,-163.79999999999995,0.14064095779066071,75.0
3300,36.69,810.0,-522.6,0.14543715010923366,76.0
3315,36.69,810.0,-288.6,0.14062697240504982,76.0
3330,819.4100000000001,150.0,-709.8000000000001,0.15495611619117045,77.0
3345,819.4100000000001,150.0,-475.8,0.15277544488473796,77.0
3360,819.4100000000001,150.0,-241.79999999999995,0.14397169483602776,77.0
3375,281.29,2790.0,-678.6,0.10371542220765834,78.0
3390,281.29,2790.0,-444.6,0.12049378294626992,78.0
3405,281.29,2790.0,-210.60000000000002,0.09384285976092258,78.0
3420,574.8100000000001,2790.0,-678.6,0.11214332497822017,79.0
3435,574.8100000000001,2790.0,-444.6,0.13853111353641773,79.0
3450,574.8100000000001,2790.0,-210.60000000000002,0.09261552972121401,79.0
3465,452.51000000000005,510.0,-678.6,0.19581074852532848,80.0
3480,452.51000000000005,510.0,-444.6,0.1820284075681435,80.0
3495,452.51000000000005,510.0,-210.60000000000002,0.15084888646083622,80.0
