X,Y,Z,grade_value,grade,Fig
1372,1000,-817,0.19776049541543553,.2%Mo,6
1390,1000,-811,0.1992434475841767,.2%Mo,6
1402,1000,-803,0.1903966976111119,.2%Mo,6
1398,1000,-806,0.19317058104121967,.2%Mo,6
1397,1000,-786,0.1956839840055403,.2%Mo,6
1427,1000,-796,0.19035874359201752,.2%Mo,6
1440,1000,-806,0.1964864135597768,.2%Mo,6
1484,1000,-801,0.1963228896084315,.2%Mo,6
1513,1000,-803,0.19434502368293605,.2%Mo,6
1532,1000,-812,0.19508764226619202,.2%Mo,6
1518,1000,-811,0.19524132377759473,.2%Mo,6
1480,1000,-795,0.1915520557122811,.2%Mo,6
1457,1000,-784,0.19540389198924574,.2%Mo,6
1440,1000,-793,0.19868085911820593,.2%Mo,6
1412,1000,-779,0.19574905574887774,.2%Mo,6
1398,1000,-772,0.1910698702879174,.2%Mo,6
1381,1000,-772,0.19345943434526575,.2%Mo,6
1447,1000,-781,0.19863171047833342,.2%Mo,6
1484,1000,-794,0.19554831892665026,.2%Mo,6
1501,1000,-769,0.1910029709932082,.2%Mo,6
1478,1000,-765,0.1997546277326239,.2%Mo,6
1456,1000,-761,0.1992037995987944,.2%Mo,6
1436,1000,-760,0.19934584926964352,.2%Mo,6
1422,1000,-750,0.19207531183420473,.2%Mo,6
1499,1000,-764,0.19002770288789014,.2%Mo,6
1503,1000,-767,0.1952336824363466,.2%Mo,6
1510,1000,-773,0.19630307342755832,.2%Mo,6
1540,1000,-784,0.1990516880840559,.2%Mo,6
1540,1000,-799,0.19694277050228548,.2%Mo,6
1524,1000,-787,0.19776254419351583,.2%Mo,6
1491,1000,-774,0.19387510256141532,.2%Mo,6
1537,1000,-792,0.19944960073946408,.2%Mo,6
1533,1000,-757,0.19919374705083678,.2%Mo,6
1518,1000,-744,0.1939408245263209,.2%Mo,6
1496,1000,-737,0.1960414005645374,.2%Mo,6
1491,1000,-731,0.1913691060264368,.2%Mo,6
1463,1000,-727,0.19278319146078218,.2%Mo,6
1439,1000,-716,0.1984724187165655,.2%Mo,6
1410,1000,-703,0.19892958585790033,.2%Mo,6
1392,1000,-691,0.19664323138811798,.2%Mo,6
966,1000,-614,0.19860941222436912,.2%Mo,6
947,1000,-603,0.19235414634304315,.2%Mo,6
923,1000,-615,0.1949585861975926,.2%Mo,6
914,1000,-628,0.19914522165672366,.2%Mo,6
943,1000,-618,0.1936323882314818,.2%Mo,6
910,1000,-603,0.19626928842729618,.2%Mo,6
902,1000,-621,0.1907513211599893,.2%Mo,6
884,1000,-625,0.19890518141362581,.2%Mo,6
925,1000,-600,0.19687848905300004,.2%Mo,6
857,1000,-621,0.19232160098100162,.2%Mo,6
876,1000,-621,0.19611328864922045,.2%Mo,6
857,1000,-599,0.194827446778294,.2%Mo,6
849,1000,-597,0.1965734618739254,.2%Mo,6
839,1000,-587,0.19425321720197755,.2%Mo,6
865,1000,-585,0.19188388013406632,.2%Mo,6
879,1000,-590,0.19359542477969183,.2%Mo,6
888,1000,-597,0.1964613356292428,.2%Mo,6
853,1000,-597,0.1901247428301503,.2%Mo,6
883,1000,-613,0.19402030576794985,.2%Mo,6
835,1000,-548,0.19242905706540758,.2%Mo,6
822,1000,-549,0.19312491399574966,.2%Mo,6
805,1000,-549,0.19058189712937026,.2%Mo,6
829,1000,-560,0.1983741028060777,.2%Mo,6
