X,Y,Z,grade_value,grade,Fig
1046,2000,-1059,0.050766950255099565,0.5%Mo,5
1063,2000,-1071,0.05092755947093367,0.5%Mo,5
1075,2000,-1084,0.05055001279063903,0.5%Mo,5
1085,2000,-1097,0.050385796995554816,0.5%Mo,5
1098,2000,-1107,0.050237954868990416,0.5%Mo,5
1125,2000,-1126,0.05088425455102015,0.5%Mo,5
1166,2000,-1139,0.050518140248170945,0.5%Mo,5
1207,2000,-1147,0.050144784280127266,0.5%Mo,5
1236,2000,-1151,0.05010206568414781,0.5%Mo,5
1267,2000,-1151,0.05027391380609968,0.5%Mo,5
1291,2000,-1148,0.050675008737004,0.5%Mo,5
1336,2000,-1146,0.050679356023588196,0.5%Mo,5
1376,2000,-1134,0.0502925330845189,0.5%Mo,5
1408,2000,-1134,0.050309510311000054,0.5%Mo,5
1456,2000,-1136,0.050882578312608694,0.5%Mo,5
1471,2000,-1111,0.050982782224912454,0.5%Mo,5
1428,2000,-1111,0.050789098458983904,0.5%Mo,5
1387,2000,-1104,0.05000158159693431,0.5%Mo,5
1263,2000,-1077,0.05090477788320492,0.5%Mo,5
1221,2000,-1076,0.050171256426513565,0.5%Mo,5
1176,2000,-1055,0.050174807299181313,0.5%Mo,5
1132,2000,-1055,0.05052484403775474,0.5%Mo,5
1094,2000,-1047,0.05094681758010542,0.5%Mo,5
1034,2000,-1035,0.050143860873180596,0.5%Mo,5
994,2000,-1030,0.050599695807723666,0.5%Mo,5
957,2000,-1029,0.050248196050538076,0.5%Mo,5
896,2000,-1022,0.050160491908908186,0.5%Mo,5
865,2000,-1021,0.05055589350414717,0.5%Mo,5
850,2000,-1021,0.05030901017667916,0.5%Mo,5
830,2000,-1026,0.050612284856492114,0.5%Mo,5
847,2000,-1045,0.05004803000842928,0.5%Mo,5
905,2000,-1038,0.05009455506065496,0.5%Mo,5
934,2000,-1041,0.050178640574589865,0.5%Mo,5
972,2000,-1048,0.05096353796355091,0.5%Mo,5
1019,2000,-1056,0.050808681574161164,0.5%Mo,5
1048,2000,-1059,0.05066830052112086,0.5%Mo,5
859,2000,-1032,0.05087197790787375,0.5%Mo,5
865,2000,-1027,0.05036372195630255,0.5%Mo,5
908,2000,-1030,0.05056713255215794,0.5%Mo,5
945,2000,-1035,0.0500762604341596,0.5%Mo,5
987,2000,-1037,0.05094116328400758,0.5%Mo,5
1008,2000,-1045,0.05039274312613764,0.5%Mo,5
1032,2000,-1044,0.05001045552587392,0.5%Mo,5
1065,2000,-1061,0.05060004566776811,0.5%Mo,5
1086,2000,-1088,0.050847509776647745,0.5%Mo,5
1106,2000,-1106,0.05071254330592871,0.5%Mo,5
1123,2000,-1122,0.050946428086527856,0.5%Mo,5
1149,2000,-1126,0.0501249160444958,0.5%Mo,5
1150,2000,-1136,0.05040058068560841,0.5%Mo,5
1169,2000,-1136,0.05000956714437869,0.5%Mo,5
1180,2000,-1132,0.05008232726867656,0.5%Mo,5
1204,2000,-1143,0.050516131349203595,0.5%Mo,5
1243,2000,-1145,0.05007440190169805,0.5%Mo,5
1281,2000,-1145,0.0504893111186212,0.5%Mo,5
1309,2000,-1140,0.050059938788119596,0.5%Mo,5
1339,2000,-1139,0.0500635288126709,0.5%Mo,5
1406,2000,-1126,0.05061014817793513,0.5%Mo,5
1417,2000,-1123,0.05095412803577401,0.5%Mo,5
1444,2000,-1123,0.050370014862653745,0.5%Mo,5
1458,2000,-1115,0.050564324550799664,0.5%Mo,5
1416,2000,-1115,0.05079440869413792,0.5%Mo,5
1388,2000,-1111,0.050548068990158054,0.5%Mo,5
1339,2000,-1099,0.050113748889434546,0.5%Mo,5
1286,2000,-1090,0.050170628772345,0.5%Mo,5
1235,2000,-1080,0.05038239846933878,0.5%Mo,5
1204,2000,-1074,0.05096736854724187,0.5%Mo,5
1178,2000,-1064,0.050017219990366485,0.5%Mo,5
1168,2000,-1064,0.05018004067515092,0.5%Mo,5
1143,2000,-1059,0.05006113627797807,0.5%Mo,5
1114,2000,-1052,0.05061816754995932,0.5%Mo,5
1089,2000,-1049,0.050818207733009005,0.5%Mo,5
1049,2000,-1039,0.05085380765948761,0.5%Mo,5
1021,2000,-1039,0.0507214390961479,0.5%Mo,5
865,2000,-963,0.05059706992998859,0.5%Mo,5
893,2000,-966,0.05024554595925793,0.5%Mo,5
930,2000,-968,0.05023385261664802,0.5%Mo,5
992,2000,-978,0.050414625800462985,0.5%Mo,5
1045,2000,-978,0.05079877818886406,0.5%Mo,5
1079,2000,-981,0.05073787962561342,0.5%Mo,5
1153,2000,-1004,0.050865942904657055,0.5%Mo,5
1228,2000,-1005,0.05080736808510421,0.5%Mo,5
1267,2000,-990,0.05033841921908567,0.5%Mo,5
1301,2000,-975,0.050958711374098964,0.5%Mo,5
1356,2000,-964,0.05069649067036519,0.5%Mo,5
1394,2000,-958,0.05073393599750541,0.5%Mo,5
