X,Y,Z,formation
1075,0,-1083,centralaplite
1059,0,-1067,centralaplite
1026,0,-1021,centralaplite
985,0,-993,centralaplite
950,0,-962,centralaplite
907,0,-924,centralaplite
885,0,-905,centralaplite
875,0,-892,centralaplite
884,0,-884,centralaplite
899,0,-881,centralaplite
914,0,-860,centralaplite
935,0,-833,centralaplite
944,0,-828,centralaplite
980,0,-839,centralaplite
1025,0,-839,centralaplite
1074,0,-839,centralaplite
1134,0,-836,centralaplite
1168,0,-830,centralaplite
1199,0,-821,centralaplite
1238,0,-962,centralaplite
1249,0,-955,centralaplite
1257,0,-944,centralaplite
1264,0,-937,centralaplite
1307,0,-990,centralaplite
1348,0,-1047,centralaplite
1364,0,-1073,centralaplite
1116,0,-408,fault
1151,0,-579,fault
1185,0,-752,fault
1225,0,-918,fault
1248,0,-1001,fault
1371,0,-1084,pitporphyryintrusion
1348,0,-1050,pitporphyryintrusion
1328,0,-1018,pitporphyryintrusion
1297,0,-978,pitporphyryintrusion
1288,0,-959,pitporphyryintrusion
1277,0,-949,pitporphyryintrusion
1261,0,-937,pitporphyryintrusion
1266,0,-908,pitporphyryintrusion
1278,0,-872,pitporphyryintrusion
1296,0,-831,pitporphyryintrusion
1309,0,-800,pitporphyryintrusion
1336,0,-780,pitporphyryintrusion
1363,0,-780,pitporphyryintrusion
1425,0,-786,pitporphyryintrusion
1467,0,-786,pitporphyryintrusion
1544,0,-805,pitporphyryintrusion
1575,0,-819,pitporphyryintrusion
1626,0,-828,pitporphyryintrusion
1699,0,-831,pitporphyryintrusion
511,0,-902,questagraniteporphyry
530,0,-911,questagraniteporphyry
560,0,-911,questagraniteporphyry
590,0,-915,questagraniteporphyry
610,0,-925,questagraniteporphyry
631,0,-951,questagraniteporphyry
663,0,-973,questagraniteporphyry
699,0,-997,questagraniteporphyry
724,0,-1010,questagraniteporphyry
759,0,-1022,questagraniteporphyry
794,0,-1044,questagraniteporphyry
821,0,-1063,questagraniteporphyry
860,0,-1083,southwestporphyry
791,0,-1044,southwestporphyry
766,0,-1031,southwestporphyry
741,0,-1013,southwestporphyry
714,0,-1005,southwestporphyry
685,0,-991,southwestporphyry
661,0,-972,southwestporphyry
643,0,-959,southwestporphyry
622,0,-941,southwestporphyry
608,0,-924,southwestporphyry
639,0,-933,southwestporphyry
665,0,-933,southwestporphyry
680,0,-932,southwestporphyry
694,0,-919,southwestporphyry
703,0,-901,southwestporphyry
728,0,-897,southwestporphyry
736,0,-867,southwestporphyry
776,0,-847,southwestporphyry
795,0,-836,southwestporphyry
822,0,-837,southwestporphyry
843,0,-843,southwestporphyry
891,0,-840,southwestporphyry
915,0,-835,southwestporphyry
935,0,-834,southwestporphyry
919,0,-856,southwestporphyry
891,0,-878,southwestporphyry
871,0,-878,southwestporphyry
867,0,-884,southwestporphyry
881,0,-902,southwestporphyry
928,0,-937,southwestporphyry
971,0,-977,southwestporphyry
1002,0,-1011,southwestporphyry
1039,0,-1037,southwestporphyry
511,0,-360,topo
532,0,-350,topo
584,0,-328,topo
634,0,-315,topo
669,0,-326,topo
702,0,-331,topo
753,0,-332,topo
799,0,-337,topo
850,0,-345,topo
894,0,-346,topo
918,0,-358,topo
968,0,-386,topo
1001,0,-393,topo
1030,0,-398,topo
1070,0,-400,topo
1093,0,-396,topo
1155,0,-401,topo
1187,0,-414,topo
1249,0,-428,topo
1303,0,-430,topo
1373,0,-426,topo
1424,0,-425,topo
1457,0,-414,topo
1498,0,-401,topo
1538,0,-393,topo
1586,0,-377,topo
1609,0,-378,topo
1630,0,-379,topo
1664,0,-375,topo
1698,0,-366,topo
1723,0,-346,topo
511,0,-898,host
572,0,-911,host
603,0,-920,host
656,0,-930,host
700,0,-917,host
708,0,-895,host
737,0,-888,host
735,0,-864,host
794,0,-825,host
819,0,-827,host
861,0,-839,host
926,0,-834,host
965,0,-825,host
999,0,-825,host
1059,0,-827,host
1131,0,-827,host
1209,0,-822,host
1230,0,-891,host
1242,0,-940,host
1270,0,-901,host
1293,0,-824,host
1340,0,-770,host
1390,0,-764,host
1438,0,-778,host
1489,0,-777,host
1567,0,-796,host
1621,0,-819,host
1701,0,-825,host
