X,Y,Z,formation
0,2000,-130.942031,topo
119.8392,2000,-112.101451,topo
167.4676,2000,-91.376813,topo
215.096,2000,-81.956523,topo
255.0424,2000,-74.420291,topo
301.1344,2000,-55.579711,topo
350.2992,2000,-42.391305,topo
382.5636,2000,-31.086957,topo
433.2648,2000,-53.695653,topo
546.9584,2000,-81.014494,topo
620.7056,2000,-82.898552,topo
735.9356,2000,-55.579711,topo
835.8016,2000,-40.507247,topo
918.7672,2000,-24.492754,topo
1006.342,2000,-6.594203,topo
1066.2616,2000,-0.942029,topo
1126.1812,2000,0,topo
1222.9744,2000,0,topo
1.5364,2000,-557.681168,centralaplite
115.23,2000,-565.2174,centralaplite
156.7128,2000,-568.985516,centralaplite
247.3604,2000,-567.101458,centralaplite
307.28,2000,-560.507255,centralaplite
381.0272,2000,-539.782617,centralaplite
444.0196,2000,-526.594211,centralaplite
507.012,2000,-532.246385,centralaplite
652.97,2000,-554.855081,centralaplite
691.38,2000,-564.275371,centralaplite
780.4912,2000,-560.507255,centralaplite
891.112,2000,-548.260878,centralaplite
1030.9244,2000,-565.2174,centralaplite
1120.0356,2000,-582.173922,centralaplite
1186.1008,2000,-597.246386,centralaplite
10.7548,2000,-659.4203,southwestporphyry
149.0308,2000,-670.724648,southwestporphyry
298.0616,2000,-678.26088,southwestporphyry
394.8548,2000,-678.26088,southwestporphyry
454.7744,2000,-684.855083,southwestporphyry
546.9584,2000,-703.695663,southwestporphyry
645.288,2000,-726.304359,southwestporphyry
771.2728,2000,-739.492765,southwestporphyry
854.2384,2000,-746.086968,southwestporphyry
937.204,2000,-748.913055,southwestporphyry
1053.9704,2000,-753.6232,southwestporphyry
1116.9628,2000,-764.927548,southwestporphyry
1209.1468,2000,-774.347838,southwestporphyry
3.0728,2000,-659.4203,questagraniteporphyry
139.8124,2000,-669.782619,questagraniteporphyry
251.9696,2000,-675.434793,questagraniteporphyry
354.9084,2000,-677.318851,questagraniteporphyry
397.9276,2000,-681.086967,questagraniteporphyry
433.2648,2000,-682.971025,questagraniteporphyry
476.284,2000,-714.057982,questagraniteporphyry
560.786,2000,-736.666678,questagraniteporphyry
634.5332,2000,-750.797113,questagraniteporphyry
714.426,2000,-757.391316,questagraniteporphyry
792.7824,2000,-758.333345,questagraniteporphyry
929.522,2000,-749.855084,questagraniteporphyry
998.66,2000,-752.681171,questagraniteporphyry
1153.8364,2000,-766.811606,questagraniteporphyry
1222.9744,2000,-780.000012,questagraniteporphyry
