X,Y,Z,formation
1091,0,-1086,darkmatrix_porphyry
1092,0,-1052,darkmatrix_porphyry
1093,0,-984,darkmatrix_porphyry
1093,0,-955,darkmatrix_porphyry
1085,0,-912,darkmatrix_porphyry
1076,0,-892,darkmatrix_porphyry
1063,0,-883,darkmatrix_porphyry
991,0,-877,darkmatrix_porphyry
1066,0,-874,darkmatrix_porphyry
1068,0,-818,darkmatrix_porphyry
1085,0,-771,darkmatrix_porphyry
1104,0,-733,darkmatrix_porphyry
1089,0,-710,darkmatrix_porphyry
1017,0,-706,darkmatrix_porphyry
1047,0,-680,darkmatrix_porphyry
1012,0,-663,darkmatrix_porphyry
1067,0,-658,darkmatrix_porphyry
1057,0,-625,darkmatrix_porphyry
1116,0,-651,darkmatrix_porphyry
1115,0,-587,darkmatrix_porphyry
1147,0,-656,darkmatrix_porphyry
1142,0,-710,darkmatrix_porphyry
1164,0,-727,darkmatrix_porphyry
1109,0,-780,darkmatrix_porphyry
1116,0,-814,darkmatrix_porphyry
1177,0,-790,darkmatrix_porphyry
1108,0,-835,darkmatrix_porphyry
1123,0,-867,darkmatrix_porphyry
1158,0,-887,darkmatrix_porphyry
1124,0,-905,darkmatrix_porphyry
1130,0,-948,darkmatrix_porphyry
1136,0,-998,darkmatrix_porphyry
1133,0,-1057,darkmatrix_porphyry
