X,Y,Z,formation
1520,0,-947,darkmatrix_porphyry3
1477,0,-930,darkmatrix_porphyry3
1430,0,-904,darkmatrix_porphyry3
1402,0,-861,darkmatrix_porphyry3
1388,0,-812,darkmatrix_porphyry3
1371,0,-776,darkmatrix_porphyry3
1389,0,-701,darkmatrix_porphyry3
1401,0,-651,darkmatrix_porphyry3
1423,0,-574,darkmatrix_porphyry3
1429,0,-521,darkmatrix_porphyry3
1440,0,-470,darkmatrix_porphyry3
1455,0,-417,darkmatrix_porphyry3
1491,0,-402,darkmatrix_porphyry3
1498,0,-433,darkmatrix_porphyry3
1665,0,-427,darkmatrix_porphyry3
1701,0,-426,darkmatrix_porphyry3
1553,0,-457,darkmatrix_porphyry3
1480,0,-477,darkmatrix_porphyry3
1451,0,-504,darkmatrix_porphyry3
1468,0,-526,darkmatrix_porphyry3
1462,0,-563,darkmatrix_porphyry3
1440,0,-596,darkmatrix_porphyry3
1472,0,-583,darkmatrix_porphyry3
1491,0,-566,darkmatrix_porphyry3
1434,0,-656,darkmatrix_porphyry3
1414,0,-689,darkmatrix_porphyry3
1428,0,-709,darkmatrix_porphyry3
1486,0,-700,darkmatrix_porphyry3
1422,0,-735,darkmatrix_porphyry3
1392,0,-756,darkmatrix_porphyry3
1410,0,-813,darkmatrix_porphyry3
1441,0,-857,darkmatrix_porphyry3
1472,0,-859,darkmatrix_porphyry3
1445,0,-876,darkmatrix_porphyry3
1517,0,-939,darkmatrix_porphyry3
1505,0,-941,darkmatrix_porphyry3
