X,Y,Z,formation
512,0,-905,unconformity1
574,0,-914,unconformity1
597,0,-918,unconformity1
627,0,-931,unconformity1
685,0,-926,unconformity1
706,0,-901,unconformity1
715,0,-895,unconformity1
725,0,-870,unconformity1
750,0,-847,unconformity1
770,0,-847,unconformity1
799,0,-830,unconformity1
819,0,-837,unconformity1
879,0,-834,unconformity1
933,0,-830,unconformity1
965,0,-830,unconformity1
1014,0,-831,unconformity1
1057,0,-836,unconformity1
1070,0,-873,unconformity1
1084,0,-920,unconformity1
1086,0,-1005,unconformity1
1084,0,-1068,unconformity1
1086,0,-1081,unconformity1
1138,0,-1079,unconformity1
1131,0,-982,unconformity1
1133,0,-944,unconformity1
1130,0,-908,unconformity1
1145,0,-885,unconformity1
1122,0,-873,unconformity1
1110,0,-842,unconformity1
1174,0,-829,unconformity1
1196,0,-824,unconformity1
1237,0,-959,unconformity1
1253,0,-949,unconformity1
1265,0,-935,unconformity1
1279,0,-876,unconformity1
1287,0,-845,unconformity1
1297,0,-829,unconformity1
1317,0,-905,unconformity1
1360,0,-950,unconformity1
1420,0,-977,unconformity1
1460,0,-1001,unconformity1
1486,0,-1022,unconformity1
1507,0,-1030,unconformity1
1495,0,-993,unconformity1
1453,0,-949,unconformity1
1410,0,-919,unconformity1
1378,0,-899,unconformity1
1354,0,-865,unconformity1
1347,0,-836,unconformity1
1339,0,-777,unconformity1
1363,0,-777,unconformity1
1369,0,-777,unconformity1
1393,0,-849,unconformity1
1407,0,-887,unconformity1
1426,0,-913,unconformity1
1461,0,-928,unconformity1
1491,0,-934,unconformity1
1514,0,-942,unconformity1
1460,0,-892,unconformity1
1446,0,-866,unconformity1
1418,0,-827,unconformity1
1406,0,-796,unconformity1
1399,0,-784,unconformity1
1453,0,-784,unconformity1
1506,0,-794,unconformity1
1570,0,-817,unconformity1
1639,0,-832,unconformity1
1695,0,-833,unconformity1
