X,Y,Z,formation
1371,0,-1084,pitporphyryintrusion
1348,0,-1050,pitporphyryintrusion
1328,0,-1018,pitporphyryintrusion
1297,0,-978,pitporphyryintrusion
1288,0,-959,pitporphyryintrusion
1277,0,-949,pitporphyryintrusion
1261,0,-937,pitporphyryintrusion
1266,0,-908,pitporphyryintrusion
1278,0,-872,pitporphyryintrusion
1296,0,-831,pitporphyryintrusion
1309,0,-800,pitporphyryintrusion
1336,0,-780,pitporphyryintrusion
1363,0,-780,pitporphyryintrusion
1425,0,-786,pitporphyryintrusion
1467,0,-786,pitporphyryintrusion
1544,0,-805,pitporphyryintrusion
1575,0,-819,pitporphyryintrusion
1626,0,-828,pitporphyryintrusion
1699,0,-831,pitporphyryintrusion
