X,Y,Z,formation
735,2000,-1024,questagraniteporphyry
824,2000,-1035,questagraniteporphyry
897,2000,-1041,questagraniteporphyry
964,2000,-1043,questagraniteporphyry
992,2000,-1047,questagraniteporphyry
1015,2000,-1049,questagraniteporphyry
1043,2000,-1082,questagraniteporphyry
1098,2000,-1106,questagraniteporphyry
1146,2000,-1121,questagraniteporphyry
1198,2000,-1128,questagraniteporphyry
1249,2000,-1129,questagraniteporphyry
1338,2000,-1120,questagraniteporphyry
1383,2000,-1123,questagraniteporphyry
1484,2000,-1138,questagraniteporphyry
1529,2000,-1152,questagraniteporphyry
