X,Y,Z,formation
860,0,-1083,southwestporphyry
791,0,-1044,southwestporphyry
766,0,-1031,southwestporphyry
741,0,-1013,southwestporphyry
714,0,-1005,southwestporphyry
685,0,-991,southwestporphyry
661,0,-972,southwestporphyry
643,0,-959,southwestporphyry
622,0,-941,southwestporphyry
608,0,-924,southwestporphyry
639,0,-933,southwestporphyry
665,0,-933,southwestporphyry
680,0,-932,southwestporphyry
694,0,-919,southwestporphyry
703,0,-901,southwestporphyry
728,0,-897,southwestporphyry
736,0,-867,southwestporphyry
776,0,-847,southwestporphyry
795,0,-836,southwestporphyry
822,0,-837,southwestporphyry
843,0,-843,southwestporphyry
891,0,-840,southwestporphyry
915,0,-835,southwestporphyry
935,0,-834,southwestporphyry
919,0,-856,southwestporphyry
891,0,-878,southwestporphyry
871,0,-878,southwestporphyry
867,0,-884,southwestporphyry
881,0,-902,southwestporphyry
928,0,-937,southwestporphyry
971,0,-977,southwestporphyry
1002,0,-1011,southwestporphyry
1039,0,-1037,southwestporphyry
