X,Y,Z,formation
511,0,-360,topo
532,0,-350,topo
584,0,-328,topo
634,0,-315,topo
669,0,-326,topo
702,0,-331,topo
753,0,-332,topo
799,0,-337,topo
850,0,-345,topo
894,0,-346,topo
918,0,-358,topo
968,0,-386,topo
1001,0,-393,topo
1030,0,-398,topo
1070,0,-400,topo
1093,0,-396,topo
1155,0,-401,topo
1187,0,-414,topo
1249,0,-428,topo
1303,0,-430,topo
1373,0,-426,topo
1424,0,-425,topo
1457,0,-414,topo
1498,0,-401,topo
1538,0,-393,topo
1586,0,-377,topo
1609,0,-378,topo
1630,0,-379,topo
1664,0,-375,topo
1698,0,-366,topo
1723,0,-346,topo
