X,Y,Z,formation
643,1000,-309,topo
690,1000,-316,topo
722,1000,-314,topo
746,1000,-316,topo
768,1000,-315,topo
801,1000,-305,topo
837,1000,-300,topo
852,1000,-299,topo
862,1000,-299,topo
876,1000,-299,topo
894,1000,-299,topo
912,1000,-307,topo
934,1000,-300,topo
958,1000,-294,topo
976,1000,-293,topo
992,1000,-289,topo
1002,1000,-278,topo
1019,1000,-289,topo
1035,1000,-275,topo
1051,1000,-262,topo
1072,1000,-250,topo
1084,1000,-266,topo
1121,1000,-287,topo
1160,1000,-298,topo
1236,1000,-298,topo
1304,1000,-301,topo
1353,1000,-296,topo
1386,1000,-295,topo
1394,1000,-303,topo
1429,1000,-288,topo
1467,1000,-267,topo
1494,1000,-265,topo
1515,1000,-239,topo
1539,1000,-212,topo
1559,1000,-202,topo
1582,1000,-204,topo
1620,1000,-211,topo
