X,Y,Z,formation
512,0,-902,unconformity
555,0,-910,unconformity
576,0,-915,unconformity
609,0,-926,unconformity
643,0,-933,unconformity
681,0,-926,unconformity
693,0,-912,unconformity
705,0,-892,unconformity
725,0,-897,unconformity
734,0,-874,unconformity
756,0,-856,unconformity
785,0,-836,unconformity
802,0,-836,unconformity
831,0,-842,unconformity
856,0,-841,unconformity
889,0,-833,unconformity
911,0,-832,unconformity
942,0,-829,unconformity
964,0,-829,unconformity
998,0,-832,unconformity
1035,0,-835,unconformity
1061,0,-837,unconformity
1089,0,-835,unconformity
1123,0,-835,unconformity
1153,0,-829,unconformity
1177,0,-826,unconformity
1198,0,-824,unconformity
1210,0,-862,unconformity
1223,0,-912,unconformity
1235,0,-944,unconformity
1237,0,-961,unconformity
1256,0,-944,unconformity
1268,0,-918,unconformity
1276,0,-886,unconformity
1290,0,-837,unconformity
1301,0,-816,unconformity
1316,0,-795,unconformity
1340,0,-777,unconformity
1364,0,-777,unconformity
1396,0,-782,unconformity
1427,0,-785,unconformity
1462,0,-786,unconformity
1504,0,-795,unconformity
1534,0,-803,unconformity
1574,0,-814,unconformity
1605,0,-822,unconformity
1647,0,-827,unconformity
1689,0,-830,unconformity
1717,0,-828,unconformity
