X,Y,Z,formation
695,1000,-677,unconformity
718,1000,-669,unconformity
742,1000,-660,unconformity
753,1000,-656,unconformity
763,1000,-656,unconformity
778,1000,-650,unconformity
789,1000,-653,unconformity
802,1000,-641,unconformity
813,1000,-637,unconformity
840,1000,-637,unconformity
864,1000,-638,unconformity
881,1000,-634,unconformity
907,1000,-634,unconformity
927,1000,-641,unconformity
952,1000,-661,unconformity
971,1000,-680,unconformity
993,1000,-697,unconformity
1037,1000,-716,unconformity
1074,1000,-737,unconformity
1097,1000,-754,unconformity
1144,1000,-783,unconformity
1182,1000,-816,unconformity
1202,1000,-842,unconformity
1239,1000,-863,unconformity
1288,1000,-881,unconformity
1320,1000,-882,unconformity
1360,1000,-884,unconformity
1395,1000,-905,unconformity
1456,1000,-925,unconformity
1506,1000,-940,unconformity
1532,1000,-940,unconformity
1564,1000,-952,unconformity
