X,Y,Z,formation
623.73,30.0,-585.0,6.0
623.73,30.0,-569.4000000000001,6.0
648.19,30.0,-600.6,6.0
648.19,30.0,-585.0,6.0
648.19,30.0,-569.4000000000001,6.0
648.19,90.0,-585.0,6.0
672.6500000000001,30.0,-631.8000000000001,6.0
672.6500000000001,30.0,-616.2,6.0
672.6500000000001,30.0,-600.6,6.0
672.6500000000001,30.0,-585.0,6.0
672.6500000000001,30.0,-569.4000000000001,6.0
672.6500000000001,90.0,-616.2,6.0
672.6500000000001,90.0,-600.6,6.0
672.6500000000001,90.0,-585.0,6.0
672.6500000000001,150.0,-585.0,6.0
697.11,30.0,-663.0,6.0
697.11,30.0,-647.4000000000001,6.0
697.11,30.0,-631.8000000000001,6.0
697.11,30.0,-616.2,6.0
697.11,30.0,-600.6,6.0
697.11,30.0,-585.0,6.0
697.11,30.0,-569.4000000000001,6.0
697.11,90.0,-631.8000000000001,6.0
697.11,90.0,-616.2,6.0
697.11,90.0,-600.6,6.0
697.11,90.0,-585.0,6.0
697.11,150.0,-616.2,6.0
697.11,150.0,-600.6,6.0
697.11,150.0,-585.0,6.0
697.11,210.0,-585.0,6.0
721.57,30.0,-694.2,6.0
721.57,30.0,-678.6,6.0
721.57,30.0,-663.0,6.0
721.57,30.0,-647.4000000000001,6.0
721.57,30.0,-631.8000000000001,6.0
721.57,30.0,-616.2,6.0
721.57,30.0,-600.6,6.0
721.57,30.0,-585.0,6.0
721.57,30.0,-569.4000000000001,6.0
721.57,90.0,-663.0,6.0
721.57,90.0,-647.4000000000001,6.0
721.57,90.0,-631.8000000000001,6.0
721.57,90.0,-616.2,6.0
721.57,90.0,-600.6,6.0
721.57,90.0,-585.0,6.0
721.57,90.0,-569.4000000000001,6.0
721.57,150.0,-647.4000000000001,6.0
721.57,150.0,-631.8000000000001,6.0
721.57,150.0,-616.2,6.0
721.57,150.0,-600.6,6.0
721.57,150.0,-585.0,6.0
721.57,210.0,-616.2,6.0
721.57,210.0,-600.6,6.0
721.57,210.0,-585.0,6.0
721.57,270.0,-600.6,6.0
721.57,270.0,-585.0,6.0
721.57,330.0,-585.0,6.0
746.0300000000001,30.0,-709.8000000000001,6.0
746.0300000000001,30.0,-694.2,6.0
746.0300000000001,30.0,-678.6,6.0
746.0300000000001,30.0,-663.0,6.0
746.0300000000001,30.0,-647.4000000000001,6.0
746.0300000000001,30.0,-631.8000000000001,6.0
746.0300000000001,30.0,-616.2,6.0
746.0300000000001,30.0,-600.6,6.0
746.0300000000001,30.0,-585.0,6.0
746.0300000000001,30.0,-569.4000000000001,6.0
746.0300000000001,90.0,-694.2,6.0
746.0300000000001,90.0,-678.6,6.0
746.0300000000001,90.0,-663.0,6.0
746.0300000000001,90.0,-647.4000000000001,6.0
746.0300000000001,90.0,-631.8000000000001,6.0
746.0300000000001,90.0,-616.2,6.0
746.0300000000001,90.0,-600.6,6.0
746.0300000000001,90.0,-585.0,6.0
746.0300000000001,90.0,-569.4000000000001,6.0
746.0300000000001,150.0,-678.6,6.0
746.0300000000001,150.0,-663.0,6.0
746.0300000000001,150.0,-647.4000000000001,6.0
746.0300000000001,150.0,-631.8000000000001,6.0
746.0300000000001,150.0,-616.2,6.0
746.0300000000001,150.0,-600.6,6.0
746.0300000000001,150.0,-585.0,6.0
746.0300000000001,210.0,-647.4000000000001,6.0
746.0300000000001,210.0,-631.8000000000001,6.0
746.0300000000001,210.0,-616.2,6.0
746.0300000000001,210.0,-600.6,6.0
746.0300000000001,210.0,-585.0,6.0
746.0300000000001,270.0,-631.8000000000001,6.0
746.0300000000001,270.0,-616.2,6.0
746.0300000000001,270.0,-600.6,6.0
746.0300000000001,270.0,-585.0,6.0
746.0300000000001,330.0,-616.2,6.0
746.0300000000001,330.0,-600.6,6.0
746.0300000000001,330.0,-585.0,6.0
746.0300000000001,390.0,-600.6,6.0
746.0300000000001,390.0,-585.0,6.0
746.0300000000001,570.0,-600.6,6.0
746.0300000000001,630.0,-600.6,6.0
746.0300000000001,630.0,-585.0,6.0
746.0300000000001,690.0,-600.6,6.0
746.0300000000001,750.0,-600.6,6.0
770.49,30.0,-741.0,6.0
770.49,30.0,-725.4000000000001,6.0
770.49,30.0,-709.8000000000001,6.0
770.49,30.0,-694.2,6.0
770.49,30.0,-678.6,6.0
770.49,30.0,-663.0,6.0
770.49,30.0,-647.4000000000001,6.0
770.49,30.0,-631.8000000000001,6.0
770.49,30.0,-616.2,6.0
770.49,30.0,-600.6,6.0
770.49,30.0,-585.0,6.0
770.49,30.0,-569.4000000000001,6.0
770.49,90.0,-725.4000000000001,6.0
770.49,90.0,-709.8000000000001,6.0
770.49,90.0,-694.2,6.0
770.49,90.0,-678.6,6.0
770.49,90.0,-663.0,6.0
770.49,90.0,-647.4000000000001,6.0
770.49,90.0,-631.8000000000001,6.0
770.49,90.0,-616.2,6.0
770.49,90.0,-600.6,6.0
770.49,90.0,-585.0,6.0
770.49,90.0,-569.4000000000001,6.0
770.49,150.0,-694.2,6.0
770.49,150.0,-678.6,6.0
770.49,150.0,-663.0,6.0
770.49,150.0,-647.4000000000001,6.0
770.49,150.0,-631.8000000000001,6.0
770.49,150.0,-616.2,6.0
770.49,150.0,-600.6,6.0
770.49,150.0,-585.0,6.0
770.49,150.0,-569.4000000000001,6.0
770.49,210.0,-678.6,6.0
770.49,210.0,-663.0,6.0
770.49,210.0,-647.4000000000001,6.0
770.49,210.0,-631.8000000000001,6.0
770.49,210.0,-616.2,6.0
770.49,210.0,-600.6,6.0
770.49,210.0,-585.0,6.0
770.49,210.0,-569.4000000000001,6.0
770.49,270.0,-663.0,6.0
770.49,270.0,-647.4000000000001,6.0
770.49,270.0,-631.8000000000001,6.0
770.49,270.0,-616.2,6.0
770.49,270.0,-600.6,6.0
770.49,270.0,-585.0,6.0
770.49,330.0,-647.4000000000001,6.0
770.49,330.0,-631.8000000000001,6.0
770.49,330.0,-616.2,6.0
770.49,330.0,-600.6,6.0
770.49,330.0,-585.0,6.0
770.49,390.0,-647.4000000000001,6.0
770.49,390.0,-631.8000000000001,6.0
770.49,390.0,-616.2,6.0
770.49,390.0,-600.6,6.0
770.49,390.0,-585.0,6.0
770.49,450.0,-631.8000000000001,6.0
770.49,450.0,-616.2,6.0
770.49,450.0,-600.6,6.0
770.49,450.0,-585.0,6.0
770.49,450.0,-569.4000000000001,6.0
770.49,510.0,-631.8000000000001,6.0
770.49,510.0,-616.2,6.0
770.49,510.0,-600.6,6.0
770.49,510.0,-585.0,6.0
770.49,510.0,-569.4000000000001,6.0
770.49,510.0,-553.8,6.0
770.49,510.0,-538.2,6.0
770.49,570.0,-631.8000000000001,6.0
770.49,570.0,-616.2,6.0
770.49,570.0,-600.6,6.0
770.49,570.0,-585.0,6.0
770.49,630.0,-631.8000000000001,6.0
770.49,630.0,-616.2,6.0
770.49,630.0,-600.6,6.0
770.49,630.0,-585.0,6.0
770.49,690.0,-631.8000000000001,6.0
770.49,690.0,-616.2,6.0
770.49,690.0,-600.6,6.0
770.49,750.0,-631.8000000000001,6.0
770.49,750.0,-616.2,6.0
770.49,750.0,-600.6,6.0
770.49,810.0,-631.8000000000001,6.0
770.49,810.0,-616.2,6.0
770.49,870.0,-616.2,6.0
794.95,30.0,-772.2,6.0
794.95,30.0,-756.6,6.0
794.95,30.0,-741.0,6.0
794.95,30.0,-725.4000000000001,6.0
794.95,30.0,-709.8000000000001,6.0
794.95,30.0,-694.2,6.0
794.95,30.0,-678.6,6.0
794.95,30.0,-663.0,6.0
794.95,30.0,-647.4000000000001,6.0
794.95,30.0,-631.8000000000001,6.0
794.95,30.0,-616.2,6.0
794.95,30.0,-600.6,6.0
794.95,30.0,-585.0,6.0
794.95,30.0,-569.4000000000001,6.0
794.95,90.0,-741.0,6.0
794.95,90.0,-725.4000000000001,6.0
794.95,90.0,-709.8000000000001,6.0
794.95,90.0,-694.2,6.0
794.95,90.0,-678.6,6.0
794.95,90.0,-663.0,6.0
794.95,90.0,-647.4000000000001,6.0
794.95,90.0,-631.8000000000001,6.0
794.95,90.0,-616.2,6.0
794.95,90.0,-600.6,6.0
794.95,90.0,-585.0,6.0
794.95,90.0,-569.4000000000001,6.0
794.95,150.0,-725.4000000000001,6.0
794.95,150.0,-709.8000000000001,6.0
794.95,150.0,-694.2,6.0
794.95,150.0,-678.6,6.0
794.95,150.0,-663.0,6.0
794.95,150.0,-647.4000000000001,6.0
794.95,150.0,-631.8000000000001,6.0
794.95,150.0,-616.2,6.0
794.95,150.0,-600.6,6.0
794.95,150.0,-585.0,6.0
794.95,150.0,-569.4000000000001,6.0
794.95,210.0,-709.8000000000001,6.0
794.95,210.0,-694.2,6.0
794.95,210.0,-678.6,6.0
794.95,210.0,-663.0,6.0
794.95,210.0,-647.4000000000001,6.0
794.95,210.0,-631.8000000000001,6.0
794.95,210.0,-616.2,6.0
794.95,210.0,-600.6,6.0
794.95,210.0,-585.0,6.0
794.95,210.0,-569.4000000000001,6.0
794.95,270.0,-694.2,6.0
794.95,270.0,-678.6,6.0
794.95,270.0,-663.0,6.0
794.95,270.0,-647.4000000000001,6.0
794.95,270.0,-631.8000000000001,6.0
794.95,270.0,-616.2,6.0
794.95,270.0,-600.6,6.0
794.95,270.0,-585.0,6.0
794.95,270.0,-569.4000000000001,6.0
794.95,330.0,-678.6,6.0
794.95,330.0,-663.0,6.0
794.95,330.0,-647.4000000000001,6.0
794.95,330.0,-631.8000000000001,6.0
794.95,330.0,-616.2,6.0
794.95,330.0,-600.6,6.0
794.95,330.0,-585.0,6.0
794.95,330.0,-569.4000000000001,6.0
794.95,390.0,-678.6,6.0
794.95,390.0,-663.0,6.0
794.95,390.0,-647.4000000000001,6.0
794.95,390.0,-631.8000000000001,6.0
794.95,390.0,-616.2,6.0
794.95,390.0,-600.6,6.0
794.95,390.0,-585.0,6.0
794.95,450.0,-663.0,6.0
794.95,450.0,-647.4000000000001,6.0
794.95,450.0,-631.8000000000001,6.0
794.95,450.0,-616.2,6.0
794.95,450.0,-600.6,6.0
794.95,450.0,-585.0,6.0
794.95,450.0,-569.4000000000001,6.0
794.95,510.0,-663.0,6.0
794.95,510.0,-647.4000000000001,6.0
794.95,510.0,-631.8000000000001,6.0
794.95,510.0,-616.2,6.0
794.95,510.0,-600.6,6.0
794.95,510.0,-585.0,6.0
794.95,570.0,-663.0,6.0
794.95,570.0,-647.4000000000001,6.0
794.95,570.0,-631.8000000000001,6.0
794.95,570.0,-616.2,6.0
794.95,570.0,-600.6,6.0
794.95,570.0,-585.0,6.0
794.95,630.0,-663.0,6.0
794.95,630.0,-647.4000000000001,6.0
794.95,630.0,-631.8000000000001,6.0
794.95,630.0,-616.2,6.0
794.95,630.0,-600.6,6.0
794.95,630.0,-585.0,6.0
794.95,690.0,-663.0,6.0
794.95,690.0,-647.4000000000001,6.0
794.95,690.0,-631.8000000000001,6.0
794.95,690.0,-616.2,6.0
794.95,690.0,-600.6,6.0
794.95,750.0,-663.0,6.0
794.95,750.0,-647.4000000000001,6.0
794.95,750.0,-631.8000000000001,6.0
794.95,750.0,-616.2,6.0
794.95,750.0,-600.6,6.0
794.95,810.0,-663.0,6.0
794.95,810.0,-647.4000000000001,6.0
794.95,810.0,-631.8000000000001,6.0
794.95,810.0,-616.2,6.0
794.95,870.0,-647.4000000000001,6.0
794.95,870.0,-631.8000000000001,6.0
794.95,870.0,-616.2,6.0
794.95,930.0,-631.8000000000001,6.0
819.4100000000001,30.0,-772.2,6.0
819.4100000000001,30.0,-756.6,6.0
819.4100000000001,30.0,-741.0,6.0
819.4100000000001,30.0,-725.4000000000001,6.0
819.4100000000001,30.0,-709.8000000000001,6.0
819.4100000000001,30.0,-694.2,6.0
819.4100000000001,30.0,-678.6,6.0
819.4100000000001,30.0,-663.0,6.0
819.4100000000001,30.0,-647.4000000000001,6.0
819.4100000000001,30.0,-631.8000000000001,6.0
819.4100000000001,30.0,-616.2,6.0
819.4100000000001,30.0,-600.6,6.0
819.4100000000001,30.0,-585.0,6.0
819.4100000000001,30.0,-569.4000000000001,6.0
819.4100000000001,90.0,-772.2,6.0
819.4100000000001,90.0,-756.6,6.0
819.4100000000001,90.0,-741.0,6.0
819.4100000000001,90.0,-725.4000000000001,6.0
819.4100000000001,90.0,-709.8000000000001,6.0
819.4100000000001,90.0,-694.2,6.0
819.4100000000001,90.0,-678.6,6.0
819.4100000000001,90.0,-663.0,6.0
819.4100000000001,90.0,-647.4000000000001,6.0
819.4100000000001,90.0,-631.8000000000001,6.0
819.4100000000001,90.0,-616.2,6.0
819.4100000000001,90.0,-600.6,6.0
819.4100000000001,90.0,-585.0,6.0
819.4100000000001,90.0,-569.4000000000001,6.0
819.4100000000001,150.0,-756.6,6.0
819.4100000000001,150.0,-741.0,6.0
819.4100000000001,150.0,-725.4000000000001,6.0
819.4100000000001,150.0,-709.8000000000001,6.0
819.4100000000001,150.0,-694.2,6.0
819.4100000000001,150.0,-678.6,6.0
819.4100000000001,150.0,-663.0,6.0
819.4100000000001,150.0,-647.4000000000001,6.0
819.4100000000001,150.0,-631.8000000000001,6.0
819.4100000000001,150.0,-616.2,6.0
819.4100000000001,150.0,-600.6,6.0
819.4100000000001,150.0,-585.0,6.0
819.4100000000001,150.0,-569.4000000000001,6.0
819.4100000000001,210.0,-741.0,6.0
819.4100000000001,210.0,-725.4000000000001,6.0
819.4100000000001,210.0,-709.8000000000001,6.0
819.4100000000001,210.0,-694.2,6.0
819.4100000000001,210.0,-678.6,6.0
819.4100000000001,210.0,-663.0,6.0
819.4100000000001,210.0,-647.4000000000001,6.0
819.4100000000001,210.0,-631.8000000000001,6.0
819.4100000000001,210.0,-616.2,6.0
819.4100000000001,210.0,-600.6,6.0
819.4100000000001,210.0,-585.0,6.0
819.4100000000001,210.0,-569.4000000000001,6.0
819.4100000000001,270.0,-725.4000000000001,6.0
819.4100000000001,270.0,-709.8000000000001,6.0
819.4100000000001,270.0,-694.2,6.0
819.4100000000001,270.0,-678.6,6.0
819.4100000000001,270.0,-663.0,6.0
819.4100000000001,270.0,-647.4000000000001,6.0
819.4100000000001,270.0,-631.8000000000001,6.0
819.4100000000001,270.0,-616.2,6.0
819.4100000000001,270.0,-600.6,6.0
819.4100000000001,270.0,-585.0,6.0
819.4100000000001,270.0,-569.4000000000001,6.0
819.4100000000001,330.0,-709.8000000000001,6.0
819.4100000000001,330.0,-694.2,6.0
819.4100000000001,330.0,-678.6,6.0
819.4100000000001,330.0,-663.0,6.0
819.4100000000001,330.0,-647.4000000000001,6.0
819.4100000000001,330.0,-631.8000000000001,6.0
819.4100000000001,330.0,-616.2,6.0
819.4100000000001,330.0,-600.6,6.0
819.4100000000001,330.0,-585.0,6.0
819.4100000000001,330.0,-569.4000000000001,6.0
819.4100000000001,390.0,-709.8000000000001,6.0
819.4100000000001,390.0,-694.2,6.0
819.4100000000001,390.0,-678.6,6.0
819.4100000000001,390.0,-663.0,6.0
819.4100000000001,390.0,-647.4000000000001,6.0
819.4100000000001,390.0,-631.8000000000001,6.0
819.4100000000001,390.0,-616.2,6.0
819.4100000000001,390.0,-600.6,6.0
819.4100000000001,390.0,-585.0,6.0
819.4100000000001,450.0,-694.2,6.0
819.4100000000001,450.0,-678.6,6.0
819.4100000000001,450.0,-663.0,6.0
819.4100000000001,450.0,-647.4000000000001,6.0
819.4100000000001,450.0,-631.8000000000001,6.0
819.4100000000001,450.0,-616.2,6.0
819.4100000000001,450.0,-600.6,6.0
819.4100000000001,510.0,-694.2,6.0
819.4100000000001,510.0,-678.6,6.0
819.4100000000001,510.0,-663.0,6.0
819.4100000000001,510.0,-647.4000000000001,6.0
819.4100000000001,510.0,-631.8000000000001,6.0
819.4100000000001,510.0,-616.2,6.0
819.4100000000001,570.0,-694.2,6.0
819.4100000000001,570.0,-678.6,6.0
819.4100000000001,570.0,-663.0,6.0
819.4100000000001,570.0,-647.4000000000001,6.0
819.4100000000001,570.0,-631.8000000000001,6.0
819.4100000000001,570.0,-616.2,6.0
819.4100000000001,570.0,-600.6,6.0
819.4100000000001,570.0,-585.0,6.0
819.4100000000001,630.0,-694.2,6.0
819.4100000000001,630.0,-678.6,6.0
819.4100000000001,630.0,-663.0,6.0
819.4100000000001,630.0,-647.4000000000001,6.0
819.4100000000001,630.0,-631.8000000000001,6.0
819.4100000000001,630.0,-616.2,6.0
819.4100000000001,630.0,-600.6,6.0
819.4100000000001,630.0,-585.0,6.0
819.4100000000001,690.0,-694.2,6.0
819.4100000000001,690.0,-678.6,6.0
819.4100000000001,690.0,-663.0,6.0
819.4100000000001,690.0,-647.4000000000001,6.0
819.4100000000001,690.0,-631.8000000000001,6.0
819.4100000000001,690.0,-616.2,6.0
819.4100000000001,690.0,-600.6,6.0
819.4100000000001,750.0,-694.2,6.0
819.4100000000001,750.0,-678.6,6.0
819.4100000000001,750.0,-663.0,6.0
819.4100000000001,750.0,-647.4000000000001,6.0
819.4100000000001,750.0,-631.8000000000001,6.0
819.4100000000001,750.0,-616.2,6.0
819.4100000000001,750.0,-600.6,6.0
819.4100000000001,810.0,-678.6,6.0
819.4100000000001,810.0,-663.0,6.0
819.4100000000001,810.0,-647.4000000000001,6.0
819.4100000000001,810.0,-631.8000000000001,6.0
819.4100000000001,810.0,-616.2,6.0
819.4100000000001,870.0,-678.6,6.0
819.4100000000001,870.0,-663.0,6.0
