X,Y,Z,formation
12.23,30.0,-631.8000000000001,7
12.23,90.0,-631.8000000000001,7
12.23,150.0,-631.8000000000001,7
12.23,210.0,-647.4000000000001,7
12.23,270.0,-647.4000000000001,7
12.23,330.0,-647.4000000000001,7
12.23,390.0,-647.4000000000001,7
12.23,450.0,-647.4000000000001,7
12.23,510.0,-647.4000000000001,7
12.23,570.0,-647.4000000000001,7
12.23,570.0,-631.8000000000001,7
12.23,630.0,-647.4000000000001,7
12.23,630.0,-631.8000000000001,7
12.23,630.0,-616.2,7
12.23,630.0,-600.6,7
12.23,630.0,-585.0,7
12.23,1770.0,-460.20000000000005,7
12.23,1950.0,-553.8,7
12.23,2010.0,-585.0,7
12.23,2070.0,-600.6,7
12.23,2130.0,-616.2,7
12.23,2190.0,-616.2,7
12.23,2250.0,-631.8000000000001,7
12.23,2310.0,-631.8000000000001,7
12.23,2430.0,-647.4000000000001,7
12.23,2490.0,-647.4000000000001,7
12.23,2550.0,-663.0,7
12.23,2610.0,-663.0,7
12.23,2730.0,-663.0,7
12.23,2790.0,-647.4000000000001,7
12.23,2850.0,-631.8000000000001,7
36.69,90.0,-647.4000000000001,7
36.69,150.0,-647.4000000000001,7
36.69,210.0,-663.0,7
36.69,270.0,-663.0,7
36.69,390.0,-678.6,7
36.69,450.0,-678.6,7
36.69,510.0,-678.6,7
36.69,510.0,-663.0,7
36.69,570.0,-678.6,7
36.69,570.0,-663.0,7
36.69,630.0,-678.6,7
36.69,630.0,-663.0,7
36.69,630.0,-647.4000000000001,7
36.69,630.0,-631.8000000000001,7
36.69,630.0,-616.2,7
36.69,630.0,-600.6,7
36.69,630.0,-585.0,7
36.69,1830.0,-491.40000000000003,7
36.69,1890.0,-522.6,7
36.69,1950.0,-569.4000000000001,7
36.69,2010.0,-600.6,7
36.69,2070.0,-616.2,7
36.69,2190.0,-631.8000000000001,7
36.69,2250.0,-631.8000000000001,7
36.69,2370.0,-647.4000000000001,7
36.69,2430.0,-647.4000000000001,7
36.69,2550.0,-663.0,7
36.69,2610.0,-678.6,7
36.69,2670.0,-678.6,7
36.69,2730.0,-678.6,7
36.69,2790.0,-663.0,7
36.69,2970.0,-616.2,7
61.150000000000006,150.0,-663.0,7
61.150000000000006,210.0,-678.6,7
61.150000000000006,270.0,-678.6,7
61.150000000000006,330.0,-694.2,7
61.150000000000006,390.0,-694.2,7
61.150000000000006,450.0,-694.2,7
61.150000000000006,510.0,-709.8000000000001,7
61.150000000000006,510.0,-694.2,7
61.150000000000006,570.0,-709.8000000000001,7
61.150000000000006,570.0,-694.2,7
61.150000000000006,630.0,-694.2,7
61.150000000000006,630.0,-678.6,7
61.150000000000006,630.0,-663.0,7
61.150000000000006,630.0,-647.4000000000001,7
61.150000000000006,630.0,-631.8000000000001,7
61.150000000000006,630.0,-616.2,7
61.150000000000006,630.0,-600.6,7
61.150000000000006,630.0,-585.0,7
61.150000000000006,690.0,-678.6,7
61.150000000000006,1710.0,-460.20000000000005,7
61.150000000000006,1830.0,-507.0,7
61.150000000000006,1890.0,-538.2,7
61.150000000000006,1950.0,-585.0,7
61.150000000000006,2010.0,-616.2,7
61.150000000000006,2130.0,-631.8000000000001,7
61.150000000000006,2190.0,-631.8000000000001,7
61.150000000000006,2310.0,-647.4000000000001,7
61.150000000000006,2370.0,-647.4000000000001,7
61.150000000000006,2490.0,-663.0,7
61.150000000000006,2610.0,-678.6,7
61.150000000000006,2670.0,-678.6,7
61.150000000000006,2730.0,-678.6,7
61.150000000000006,2790.0,-663.0,7
61.150000000000006,2850.0,-647.4000000000001,7
61.150000000000006,2910.0,-631.8000000000001,7
85.61,30.0,-663.0,7
85.61,90.0,-663.0,7
85.61,150.0,-678.6,7
85.61,270.0,-694.2,7
85.61,330.0,-709.8000000000001,7
85.61,390.0,-725.4000000000001,7
85.61,450.0,-725.4000000000001,7
85.61,510.0,-725.4000000000001,7
85.61,570.0,-741.0,7
85.61,570.0,-725.4000000000001,7
85.61,630.0,-709.8000000000001,7
85.61,630.0,-694.2,7
85.61,630.0,-678.6,7
85.61,630.0,-663.0,7
85.61,630.0,-647.4000000000001,7
85.61,630.0,-631.8000000000001,7
85.61,630.0,-616.2,7
85.61,630.0,-600.6,7
85.61,630.0,-585.0,7
85.61,1050.0,-460.20000000000005,7
85.61,1110.0,-460.20000000000005,7
85.61,1650.0,-460.20000000000005,7
85.61,1710.0,-475.8,7
85.61,1770.0,-491.40000000000003,7
85.61,1830.0,-507.0,7
85.61,1950.0,-600.6,7
85.61,2010.0,-631.8000000000001,7
85.61,2070.0,-631.8000000000001,7
85.61,2130.0,-631.8000000000001,7
85.61,2250.0,-647.4000000000001,7
85.61,2310.0,-647.4000000000001,7
85.61,2490.0,-663.0,7
85.61,2550.0,-678.6,7
85.61,2610.0,-678.6,7
85.61,2670.0,-678.6,7
85.61,2730.0,-678.6,7
85.61,2790.0,-678.6,7
85.61,2790.0,-663.0,7
85.61,2850.0,-647.4000000000001,7
85.61,2970.0,-631.8000000000001,7
110.07000000000001,30.0,-678.6,7
110.07000000000001,90.0,-678.6,7
110.07000000000001,210.0,-694.2,7
110.07000000000001,270.0,-709.8000000000001,7
110.07000000000001,330.0,-725.4000000000001,7
110.07000000000001,390.0,-741.0,7
110.07000000000001,450.0,-756.6,7
110.07000000000001,510.0,-756.6,7
110.07000000000001,570.0,-756.6,7
110.07000000000001,630.0,-725.4000000000001,7
110.07000000000001,630.0,-709.8000000000001,7
110.07000000000001,630.0,-694.2,7
110.07000000000001,630.0,-678.6,7
110.07000000000001,630.0,-663.0,7
110.07000000000001,630.0,-647.4000000000001,7
110.07000000000001,630.0,-631.8000000000001,7
110.07000000000001,630.0,-616.2,7
110.07000000000001,630.0,-600.6,7
110.07000000000001,630.0,-585.0,7
110.07000000000001,630.0,-569.4000000000001,7
110.07000000000001,1050.0,-475.8,7
110.07000000000001,1110.0,-475.8,7
110.07000000000001,1170.0,-475.8,7
110.07000000000001,1230.0,-444.6,7
110.07000000000001,1650.0,-475.8,7
110.07000000000001,1710.0,-491.40000000000003,7
110.07000000000001,1770.0,-507.0,7
110.07000000000001,1830.0,-522.6,7
110.07000000000001,1890.0,-553.8,7
110.07000000000001,1950.0,-616.2,7
