X,Y,Z,formation
511.86,875,7.04000000000019,topo
547.78,725,7.04000000000019,topo
368.18,125,-19.5199999999999,topo
314.3,1825,7.04000000000019,topo
278.38,1325,7.04000000000019,topo
368.18,1625,7.04000000000019,topo
224.5,25,-19.5199999999999,topo
386.14,425,7.04000000000019,topo
314.3,1625,7.04000000000019,topo
440.02,1325,7.04000000000019,topo
440.02,525,7.04000000000019,topo
242.46,225,-19.5199999999999,topo
278.38,1975,7.04000000000019,topo
386.14,825,7.04000000000019,topo
314.3,275,-19.5199999999999,topo
350.22,375,7.04000000000019,topo
188.58,425,7.04000000000019,topo
368.18,1375,7.04000000000019,topo
188.58,1275,-46.0799999999999,easterncreekvolcanics
62.86,425,-72.6399999999998,easterncreekvolcanics
8.98,2375,-125.76,easterncreekvolcanics
98.78,175,-736.64,easterncreekvolcanics
368.18,125,-1081.92,easterncreekvolcanics
8.98,425,-152.319999999999,easterncreekvolcanics
224.5,25,-975.68,easterncreekvolcanics
386.14,425,-1135.04,easterncreekvolcanics
170.62,2275,-19.5199999999999,easterncreekvolcanics
601.66,75,-1161.6,easterncreekvolcanics
296.34,125,-1028.8,easterncreekvolcanics
242.46,225,-975.68,easterncreekvolcanics
278.38,1975,-19.5199999999999,easterncreekvolcanics
260.42,2425,-19.5199999999999,easterncreekvolcanics
511.86,75,-1135.04,easterncreekvolcanics
314.3,275,-1055.36,easterncreekvolcanics
80.82,975,-99.2,easterncreekvolcanics
619.62,25,-1188.16,easterncreekvolcanics
350.22,375,-1081.92,easterncreekvolcanics
188.58,425,-896,easterncreekvolcanics
98.78,1375,-125.76,easterncreekvolcanics
296.34,2325,-19.5199999999999,easterncreekvolcanics
565.74,125,-1161.6,easterncreekvolcanics
26.94,1875,-72.6399999999998,easterncreekvolcanics
98.78,175,-577.28,silicadolomitealteration
368.18,125,-763.2,silicadolomitealteration
224.5,25,-232,silicadolomitealteration
601.66,75,-763.2,silicadolomitealteration
296.34,125,-683.52,silicadolomitealteration
242.46,225,-630.4,silicadolomitealteration
511.86,75,-949.12,silicadolomitealteration
314.3,275,-736.64,silicadolomitealteration
619.62,25,-710.079999999999,silicadolomitealteration
350.22,375,-975.68,silicadolomitealteration
565.74,125,-896,silicadolomitealteration
0,2000,-535.585335,silicadolomitealteration
42.0546,2000,-526.70823,silicadolomitealteration
94.0044,2000,-532.6263,silicadolomitealteration
113.7948,2000,-600.684105,silicadolomitealteration
118.7424,2000,-711.154745,silicadolomitealteration
98.952,2000,-776.253515,silicadolomitealteration
98.952,2000,-821.625385,silicadolomitealteration
107.6103,2000,-875.87436,silicadolomitealteration
95.2413,2000,-925.19161,silicadolomitealteration
95.2413,2000,-947.877545,silicadolomitealteration
95.2413,2000,-1015.93535,silicadolomitealteration
96.4782,2000,-1060.320875,silicadolomitealteration
106.3734,2000,-1138.24213,silicadolomitealteration
115.0317,2000,-1189.53207,silicadolomitealteration
142.2435,2000,-1178.682275,silicadolomitealteration
129.8745,2000,-1101.747365,silicadolomitealteration
129.8745,2000,-980.747365,silicadolomitealteration
143.4804,2000,-863.051875,silicadolomitealteration
139.7697,2000,-801.898485,silicadolomitealteration
139.7697,2000,-741.73144,silicadolomitealteration
149.6649,2000,-682.55074,silicadolomitealteration
145.9542,2000,-603.64314,silicadolomitealteration
138.5328,2000,-519.803815,silicadolomitealteration
116.2686,2000,-467.52753,silicadolomitealteration
68.0295,2000,-406.37414,silicadolomitealteration
16.0797,2000,-352.125165,silicadolomitealteration
188.58,1275,-550.72,spearsiltstone
8.98,2375,-922.56,spearsiltstone
98.78,175,-550.72,spearsiltstone
314.3,1825,-285.119999999999,spearsiltstone
386.14,2075,-178.879999999999,spearsiltstone
278.38,1325,-364.8,spearsiltstone
368.18,1625,-178.879999999999,spearsiltstone
224.5,25,-205.44,spearsiltstone
332.26,2075,-258.559999999999,spearsiltstone
314.3,1625,-285.119999999999,spearsiltstone
440.02,1325,-46.0799999999999,spearsiltstone
170.62,2275,-550.72,spearsiltstone
350.22,2125,-232,spearsiltstone
296.34,125,-125.76,spearsiltstone
242.46,225,-285.119999999999,spearsiltstone
278.38,1975,-311.679999999999,spearsiltstone
260.42,2425,-417.92,spearsiltstone
386.14,825,-72.6399999999998,spearsiltstone
