X,Y,Z,dip,azimuth,polarity,formation,section
0,0,-32,10,90,1,topo,Mt Isa
123,0,-38,10,90,1,topo,Mt Isa
209,0,-46,-10,90,1,topo,Mt Isa
273,0,-37,-10,90,1,topo,Mt Isa
338,0,-32,-20,90,1,topo,Mt Isa
441,0,-25,-30,90,1,topo,Mt Isa
526,0,0,0,90,1,topo,Mt Isa
619,0,-22,10,90,1,topo,Mt Isa
756,0,-40,20,90,1,topo,Mt Isa
898,0,-53,30,90,1,topo,Mt Isa
59,0,-42,-70,90,1,easterncreekvolcanics,Mt Isa
37,0,-137,-80,90,1,easterncreekvolcanics,Mt Isa
21,0,-221,-70,90,1,easterncreekvolcanics,Mt Isa
49,0,-375,-120,90,1,easterncreekvolcanics,Mt Isa
93,0,-523,-100,90,1,easterncreekvolcanics,Mt Isa
84,0,-680,-80,90,1,easterncreekvolcanics,Mt Isa
121,0,-826,-140,90,1,easterncreekvolcanics,Mt Isa
244,0,-973,-140,90,1,easterncreekvolcanics,Mt Isa
309,0,-1047,-170,90,1,easterncreekvolcanics,Mt Isa
515,0,-1106,-170,90,1,easterncreekvolcanics,Mt Isa
642,0,-1190,-120,90,1,easterncreekvolcanics,Mt Isa
670,0,-1228,-100,90,1,easterncreekvolcanics,Mt Isa
343,0,-31,-80,90,1,spearsiltstone,Mt Isa
295,0,-131,-70,90,1,spearsiltstone,Mt Isa
279,0,-201,-60,90,1,spearsiltstone,Mt Isa
242,0,-273,-120,90,1,spearsiltstone,Mt Isa
199,0,-392,-50,90,1,spearsiltstone,Mt Isa
146,0,-523,-80,90,1,spearsiltstone,Mt Isa
98,0,-628,-70,90,1,spearsiltstone,Mt Isa
82,0,-448,140,90,1,silicadolomitealteration,Mt Isa
105,0,-448,-150,90,1,silicadolomitealteration,Mt Isa
107,0,-505,-120,90,1,silicadolomitealteration,Mt Isa
129,0,-522,150,90,1,silicadolomitealteration,Mt Isa
143,0,-436,130,90,1,silicadolomitealteration,Mt Isa
180,0,-291,140,90,1,silicadolomitealteration,Mt Isa
224,0,-185,170,90,1,silicadolomitealteration,Mt Isa
242,0,-244,-120,90,1,silicadolomitealteration,Mt Isa
259,0,-230,130,90,1,silicadolomitealteration,Mt Isa
281,0,-192,140,90,1,silicadolomitealteration,Mt Isa
299,0,-207,-60,90,1,silicadolomitealteration,Mt Isa
267,0,-304,-70,90,1,silicadolomitealteration,Mt Isa
238,0,-370,-80,90,1,silicadolomitealteration,Mt Isa
202,0,-462,-110,90,1,silicadolomitealteration,Mt Isa
196,0,-533,-120,90,1,silicadolomitealteration,Mt Isa
241,0,-584,-120,90,1,silicadolomitealteration,Mt Isa
267,0,-619,160,90,1,silicadolomitealteration,Mt Isa
289,0,-653,-80,90,1,silicadolomitealteration,Mt Isa
273,0,-706,-130,90,1,silicadolomitealteration,Mt Isa
334,0,-705,-160,90,1,silicadolomitealteration,Mt Isa
382,0,-709,-80,90,1,silicadolomitealteration,Mt Isa
373,0,-773,-50,90,1,silicadolomitealteration,Mt Isa
357,0,-822,-70,90,1,silicadolomitealteration,Mt Isa
386,0,-837,-140,90,1,silicadolomitealteration,Mt Isa
383,0,-916,-60,90,1,silicadolomitealteration,Mt Isa
350,0,-969,-70,90,1,silicadolomitealteration,Mt Isa
347,0,-1022,150,90,1,silicadolomitealteration,Mt Isa
470,0,-938,160,90,1,silicadolomitealteration,Mt Isa
486,0,-979,-170,90,1,silicadolomitealteration,Mt Isa
547,0,-916,130,90,1,silicadolomitealteration,Mt Isa
636,0,-673,150,90,1,silicadolomitealteration,Mt Isa
699,0,-627,-150,90,1,silicadolomitealteration,Mt Isa
719,0,-713,-100,90,1,silicadolomitealteration,Mt Isa
776,0,-643,130,90,1,silicadolomitealteration,Mt Isa
786,0,-682,-80,90,1,silicadolomitealteration,Mt Isa
737,0,-780,-50,90,1,silicadolomitealteration,Mt Isa
704,0,-883,-80,90,1,silicadolomitealteration,Mt Isa
707,0,-993,-70,90,1,silicadolomitealteration,Mt Isa
654,0,-1101,-70,90,1,silicadolomitealteration,Mt Isa
654,0,-1151,-70,90,1,silicadolomitealteration,Mt Isa
3.7107,2000,-13.80883,-10,90,1,topo,Hilton
227.5896,2000,-5.91807,-10,90,1,topo,Hilton
351.2796,2000,-10.849795,10,90,1,topo,Hilton
460.1268,2000,-8.877105,10,90,1,topo,Hilton
597.4227,2000,-19.7269,10,90,1,topo,Hilton
795.3267,2000,-7.89076,10,90,1,topo,Hilton
896.7525,2000,-7.89076,-10,90,1,topo,Hilton
285.7239,2000,-12.822485,-50,90,1,easterncreekvolcanics,Hilton
269.6442,2000,-86.79836,-50,90,1,easterncreekvolcanics,Hilton
194.1933,2000,-222.91397,-50,90,1,easterncreekvolcanics,Hilton
