,X,Y,Z,grade,borehole
0,428.94000000000005,1375.0,-1108.48,2.8294986657700667,1.0
15,428.94000000000005,1375.0,-710.0799999999999,2.8181043039561913,1.0
30,428.94000000000005,1375.0,-311.67999999999995,2.8406875832317473,1.0
45,149.5,925.0,-1055.3600000000001,2.8679184441767895,2.0
60,149.5,925.0,-656.96,2.8688464651867807,2.0
75,608.58,2475.0,-364.79999999999995,2.8285807219317554,3.0
90,428.94000000000005,375.0,-1108.48,2.9777865582230163,4.0
105,428.94000000000005,375.0,-710.0799999999999,2.992508637716955,4.0
120,428.94000000000005,375.0,-311.67999999999995,2.9459992032423097,4.0
135,688.4200000000001,325.0,-922.56,3.000575143088066,5.0
150,688.4200000000001,325.0,-524.16,2.947431529641409,5.0
165,688.4200000000001,325.0,-125.75999999999999,2.898601210239997,5.0
180,848.1,25.0,-497.5999999999999,2.945459177179647,6.0
195,848.1,25.0,-99.20000000000005,2.8921342073236973,6.0
210,269.26000000000005,1075.0,-869.44,2.857300419134668,7.0
225,269.26000000000005,1075.0,-471.03999999999996,2.859549179025799,7.0
240,448.9000000000001,125.0,-789.76,3.189097077560793,8.0
255,448.9000000000001,125.0,-391.3599999999999,3.0555504996090166,8.0
270,588.62,2025.0,-683.52,2.6579767683044815,9.0
285,588.62,2025.0,-285.1199999999999,2.7898007023306426,9.0
300,488.82000000000005,575.0,-1108.48,2.9117951242179236,10.0
315,488.82000000000005,575.0,-710.0799999999999,2.917816190350173,10.0
330,488.82000000000005,575.0,-311.67999999999995,2.8984496933595056,10.0
345,508.7800000000001,1575.0,-816.3199999999999,2.7654600944606016,11.0
360,508.7800000000001,1575.0,-417.91999999999996,2.802184307637723,11.0
375,508.7800000000001,1575.0,-19.519999999999982,2.8491395567769064,11.0
390,389.02000000000004,2475.0,-789.76,2.7612437083130423,12.0
405,389.02000000000004,2475.0,-391.3599999999999,2.8051380677278335,12.0
420,49.7,1825.0,-1002.24,2.5561419692604828,13.0
435,329.14000000000004,1125.0,-1002.24,2.854192628769283,14.0
450,329.14000000000004,1125.0,-603.8399999999999,2.854212587949156,14.0
465,129.54000000000002,1575.0,-1188.16,2.7800236879621743,15.0
480,129.54000000000002,1575.0,-789.76,2.7223835240192016,15.0
495,309.18000000000006,375.0,-763.2,2.9935490333964974,16.0
510,309.18000000000006,375.0,-364.79999999999995,2.9643884241485337,16.0
525,369.06000000000006,1025.0,-1055.3600000000001,2.8627947639915963,17.0
540,369.06000000000006,1025.0,-656.96,2.8625060075518243,17.0
555,369.06000000000006,1025.0,-258.55999999999995,2.8645678651246724,17.0
570,568.6600000000001,775.0,-789.76,2.8840227178630817,18.0
585,568.6600000000001,775.0,-391.3599999999999,2.8784902584403125,18.0
600,708.3800000000001,2225.0,-391.3599999999999,2.809020875068031,19.0
615,648.5,125.0,-1108.48,3.125090348608038,20.0
630,648.5,125.0,-710.0799999999999,3.096534902208291,20.0
645,648.5,125.0,-311.67999999999995,2.954024595816364,20.0
660,428.94000000000005,2375.0,-975.6800000000001,2.7360009094250817,21.0
675,428.94000000000005,2375.0,-577.28,2.7375403379574883,21.0
690,428.94000000000005,2375.0,-178.87999999999988,2.8258836251569828,21.0
705,508.7800000000001,575.0,-896.0,2.9199581642951267,22.0
720,508.7800000000001,575.0,-497.5999999999999,2.9076032048669456,22.0
735,508.7800000000001,575.0,-99.20000000000005,2.8858488142687317,22.0
750,468.86,1375.0,-763.2,2.820365048955813,23.0
765,468.86,1375.0,-364.79999999999995,2.8386175195808607,23.0
780,468.86,1625.0,-949.12,2.743644079839075,24.0
795,468.86,1625.0,-550.72,2.7536063123544303,24.0
810,468.86,1625.0,-152.31999999999994,2.8319888375864575,24.0
825,588.62,175.0,-896.0,3.1495988257865717,25.0
840,588.62,175.0,-497.5999999999999,3.00788767032934,25.0
855,588.62,175.0,-99.20000000000005,2.921477835238329,25.0
870,269.26000000000005,1625.0,-1214.72,2.7700689869556405,27.0
885,269.26000000000005,1625.0,-816.3199999999999,2.679592788724318,27.0
900,269.26000000000005,1625.0,-417.91999999999996,2.7603611697981063,27.0
915,508.7800000000001,1175.0,-683.52,2.8517007088782584,28.0
930,508.7800000000001,1175.0,-285.1199999999999,2.8580477577204406,28.0
945,468.86,1325.0,-949.12,2.8325640954757585,29.0
