,X,Y,Z,grade,borehole
0,548.7,75.0,-1108.48,0.7095813723230384,1.0
15,548.7,75.0,-710.0799999999999,0.7959715448264737,1.0
30,548.7,75.0,-311.67999999999995,0.8360380865747431,1.0
45,588.62,2375.0,-577.28,0.6413937348691479,2.0
60,588.62,2375.0,-178.87999999999988,0.6442838819332436,2.0
75,628.5400000000001,1875.0,-285.1199999999999,0.5800344049975429,3.0
90,628.5400000000001,425.0,-896.0,0.7047629207841117,4.0
105,628.5400000000001,425.0,-497.5999999999999,0.7234098838994457,4.0
120,628.5400000000001,425.0,-99.20000000000005,0.725297798938799,4.0
135,488.82000000000005,575.0,-842.88,0.6993428114398882,5.0
150,488.82000000000005,575.0,-444.48,0.708727946736694,5.0
165,488.82000000000005,575.0,-46.07999999999993,0.7051876969560698,5.0
180,608.58,475.0,-1055.3600000000001,0.6953284050671208,7.0
195,608.58,475.0,-656.96,0.712139932494258,7.0
210,608.58,475.0,-258.55999999999995,0.720484431963807,7.0
225,89.62000000000002,2425.0,-1002.24,0.6512105254277266,8.0
240,249.3,1525.0,-1055.3600000000001,0.6563930535135808,9.0
255,249.3,1525.0,-656.96,0.6510063865863968,9.0
270,428.94000000000005,1075.0,-1028.8,0.6818200698564224,10.0
285,428.94000000000005,1075.0,-630.4,0.6818902207554005,10.0
300,428.94000000000005,1075.0,-232.0,0.6827879311721852,10.0
315,169.46000000000004,1025.0,-1002.24,0.6826591272934733,11.0
330,169.46000000000004,1025.0,-603.8399999999999,0.6833433460219889,11.0
345,648.5,1575.0,-232.0,0.6527851622481747,12.0
360,329.14000000000004,1525.0,-1002.24,0.6553660289470056,13.0
375,329.14000000000004,1525.0,-603.8399999999999,0.650234458558905,13.0
390,488.82000000000005,1175.0,-1002.24,0.67949920860927,14.0
405,488.82000000000005,1175.0,-603.8399999999999,0.678646371459169,14.0
420,488.82000000000005,1175.0,-205.43999999999994,0.6798377578325013,14.0
435,309.18000000000006,1875.0,-975.6800000000001,0.5712269866626177,15.0
450,309.18000000000006,1875.0,-577.28,0.5637570647734851,15.0
465,448.9000000000001,1525.0,-922.56,0.6562118712659077,16.0
480,448.9000000000001,1525.0,-524.16,0.6510065967330534,16.0
495,448.9000000000001,1525.0,-125.75999999999999,0.6593914876498034,16.0
510,548.7,1975.0,-417.91999999999996,0.5461688019266184,17.0
525,329.14000000000004,1625.0,-1188.16,0.6514668224758765,18.0
540,329.14000000000004,1625.0,-789.76,0.6335275388900132,18.0
555,329.14000000000004,1625.0,-391.3599999999999,0.636814358195172,18.0
570,608.58,125.0,-896.0,0.7348929776109658,19.0
585,608.58,125.0,-497.5999999999999,0.7897427057113735,19.0
600,608.58,125.0,-99.20000000000005,0.8188297310507179,19.0
615,189.42000000000002,925.0,-869.44,0.6850775148010323,20.0
630,428.94000000000005,1875.0,-975.6800000000001,0.591958191059707,21.0
645,428.94000000000005,1875.0,-577.28,0.5629158636959959,21.0
660,428.94000000000005,1875.0,-178.87999999999988,0.5785539444615471,21.0
675,568.6600000000001,1525.0,-471.03999999999996,0.6540546685408771,22.0
690,568.6600000000001,1525.0,-72.63999999999987,0.6620231945305739,22.0
705,768.2600000000001,725.0,-338.24,0.6933247701192129,23.0
720,728.34,175.0,-816.3199999999999,0.7241365087039859,24.0
735,728.34,175.0,-417.91999999999996,0.7604656482466972,24.0
750,688.4200000000001,1325.0,-497.5999999999999,0.6738886264670215,25.0
765,808.1800000000001,25.0,-816.3199999999999,0.7191588246269001,26.0
780,808.1800000000001,25.0,-417.91999999999996,0.7571241081889439,26.0
795,249.3,1475.0,-1108.48,0.663451202603272,27.0
810,249.3,1475.0,-710.0799999999999,0.6573900467959103,27.0
825,269.26000000000005,1825.0,-1108.48,0.5970417667247587,28.0
840,269.26000000000005,1825.0,-710.0799999999999,0.5786105917795399,28.0
855,428.94000000000005,975.0,-1188.16,0.6835970834285579,29.0
870,428.94000000000005,975.0,-789.76,0.684396712889644,29.0
885,428.94000000000005,975.0,-391.3599999999999,0.6854636779351018,29.0
900,249.3,1425.0,-1188.16,0.6696249031620276,30.0
915,249.3,1425.0,-789.76,0.6629817283491645,30.0
930,129.54000000000002,875.0,-1002.24,0.6853918108351827,31.0
945,468.86,1475.0,-975.6800000000001,0.6632841565991636,32.0
960,468.86,1475.0,-577.28,0.6578433221776175,32.0
975,468.86,1475.0,-178.87999999999988,0.6626767675371947,32.0
990,408.98,1775.0,-842.88,0.6024431685087168,33.0
1005,408.98,1775.0,-444.48,0.594804007070036,33.0
1020,868.0600000000001,1325.0,-125.75999999999999,0.6781120456453248,34.0
1035,189.42000000000002,1675.0,-842.88,0.6248995280215749,35.0
1050,808.1800000000001,675.0,-577.28,0.6932344531642829,36.0
1065,808.1800000000001,675.0,-178.87999999999988,0.6950669650785708,36.0
1080,568.6600000000001,1525.0,-656.96,0.6556402143094965,38.0
1095,568.6600000000001,1525.0,-258.55999999999995,0.6559846012288759,38.0
1110,408.98,575.0,-1028.8,0.6939005785712828,39.0
1125,408.98,575.0,-630.4,0.7061906629500384,39.0
1140,408.98,575.0,-232.0,0.7087919847496574,39.0
1155,668.46,2475.0,-417.91999999999996,0.6578281166883247,40.0
1170,668.46,1075.0,-683.52,0.6824060622204481,41.0
1185,668.46,1075.0,-285.1199999999999,0.6829093413582737,41.0
1200,628.5400000000001,575.0,-816.3199999999999,0.6978187865589595,42.0
1215,628.5400000000001,575.0,-417.91999999999996,0.7061827255121753,42.0
1230,149.5,1075.0,-1135.04,0.681809407264545,43.0
1245,149.5,1075.0,-736.64,0.6817262516435907,43.0
1260,249.3,2075.0,-949.12,0.550768323146775,44.0
1275,249.3,2075.0,-550.72,0.5579613812405234,44.0
1290,568.6600000000001,1425.0,-603.8399999999999,0.6651408284991223,45.0
1305,568.6600000000001,1425.0,-205.43999999999994,0.6671843120302458,45.0
1320,49.7,1775.0,-949.12,0.6156623492565724,46.0
1335,329.14000000000004,2275.0,-949.12,0.6154374125346498,47.0
1350,329.14000000000004,2275.0,-550.72,0.6090400972288963,47.0
1365,209.38000000000005,975.0,-1108.48,0.68349485204969,48.0
1380,209.38000000000005,975.0,-710.0799999999999,0.6844269272567972,48.0
1395,229.34000000000003,2225.0,-1055.3600000000001,0.6049908394264351,49.0
1410,229.34000000000003,2225.0,-656.96,0.5973487141155743,49.0
1425,608.58,725.0,-842.88,0.6907697499704831,50.0
1440,608.58,725.0,-444.48,0.6950076274235499,50.0
1455,189.42000000000002,2175.0,-1188.16,0.6090969539861572,51.0
1470,189.42000000000002,2175.0,-789.76,0.5822392539985951,51.0
1485,428.94000000000005,425.0,-1055.3600000000001,0.7000033008853926,52.0
1500,428.94000000000005,425.0,-656.96,0.725968231700845,52.0
1515,428.94000000000005,425.0,-258.55999999999995,0.7331406471247592,52.0
1530,588.62,925.0,-842.88,0.6854419220005511,53.0
1545,588.62,925.0,-444.48,0.6868493731153625,53.0
1560,249.3,125.0,-949.12,0.7354906006984465,54.0
1575,249.3,125.0,-550.72,0.8194617420292837,54.0
1590,768.2600000000001,625.0,-656.96,0.6952781050953286,55.0
1605,768.2600000000001,625.0,-258.55999999999995,0.6991090725221777,55.0
1620,29.74000000000001,1425.0,-949.12,0.6679067000175128,56.0
1635,768.2600000000001,925.0,-311.67999999999995,0.6865843185751106,57.0
1650,768.2600000000001,125.0,-710.0799999999999,0.7315633469453047,58.0
1665,768.2600000000001,125.0,-311.67999999999995,0.7735729854968963,58.0
1680,229.34000000000003,2175.0,-975.6800000000001,0.5833232173484099,59.0
1695,229.34000000000003,2175.0,-577.28,0.5862614496189207,59.0
1710,448.9000000000001,25.0,-842.88,0.7884103731482122,60.0
1725,448.9000000000001,25.0,-444.48,0.8561277298202865,60.0
1740,448.9000000000001,25.0,-46.07999999999993,0.841545349884551,60.0
1755,349.1,1475.0,-842.88,0.6582179957497835,61.0
1770,349.1,1475.0,-444.48,0.658025092231692,61.0
1785,488.82000000000005,1075.0,-922.56,0.6818657566034421,62.0
1800,488.82000000000005,1075.0,-524.16,0.6821517690187482,62.0
1815,488.82000000000005,1075.0,-125.75999999999999,0.6830829907011013,62.0
1830,269.26000000000005,675.0,-842.88,0.6935452195700976,63.0
1845,269.26000000000005,675.0,-444.48,0.698652045264374,63.0
1860,748.3000000000001,675.0,-550.72,0.6946605123300665,64.0
1875,748.3000000000001,675.0,-152.31999999999994,0.6960387206949986,64.0
1890,289.22,325.0,-630.4,0.748348812475061,65.0
1905,289.22,325.0,-232.0,0.7507914069543364,65.0
1920,488.82000000000005,325.0,-816.3199999999999,0.7296435554647196,66.0
1935,488.82000000000005,325.0,-417.91999999999996,0.7563944255018211,66.0
1950,488.82000000000005,325.0,-19.519999999999982,0.7432740639156462,66.0
1965,229.34000000000003,2125.0,-842.88,0.5638027249343299,67.0
1980,229.34000000000003,2125.0,-444.48,0.5840791606880312,67.0
1995,329.14000000000004,175.0,-656.96,0.8000754235818399,68.0
2010,329.14000000000004,175.0,-258.55999999999995,0.8060488197152539,68.0
2025,568.6600000000001,2425.0,-577.28,0.6478075484940576,69.0
2040,568.6600000000001,2425.0,-178.87999999999988,0.6514465175138727,69.0
