X,Y,Z,grade_value,grade,section
227,0,-334,3.32,Copper,Mount Isa
221,0,-362,3.37,Copper,Mount Isa
214,0,-401,3.23,Copper,Mount Isa
216,0,-489,3.25,Copper,Mount Isa
297,0,-849,3.35,Copper,Mount Isa
276,0,-885,3.27,Copper,Mount Isa
294,0,-863,3.32,Copper,Mount Isa
301,0,-966,3.37,Copper,Mount Isa
282,0,-975,3.28,Copper,Mount Isa
289,0,-974,3.24,Copper,Mount Isa
617,0,-851,3.24,Copper,Mount Isa
617,0,-844,3.34,Copper,Mount Isa
604,0,-904,3.34,Copper,Mount Isa
593,0,-910,3.25,Copper,Mount Isa
566,0,-949,3.36,Copper,Mount Isa
554,0,-961,3.28,Copper,Mount Isa
558,0,-984,3.38,Copper,Mount Isa
550,0,-1007,3.34,Copper,Mount Isa
573,0,-1012,3.32,Copper,Mount Isa
554,0,-1039,3.34,Copper,Mount Isa
541,0,-1071,3.27,Copper,Mount Isa
560,0,-1036,3.4,Copper,Mount Isa
614,0,-1062,3.3,Copper,Mount Isa
607,0,-1027,3.22,Copper,Mount Isa
633,0,-999,3.24,Copper,Mount Isa
616,0,-1046,3.32,Copper,Mount Isa
602,0,-1068,3.35,Copper,Mount Isa
577,0,-1086,3.34,Copper,Mount Isa
598,0,-1065,3.21,Copper,Mount Isa
615,0,-1063,3.22,Copper,Mount Isa
173.166,2000,-750.608545,2.18,Copper,Hilton
194.1933,2000,-650.9877,2.11,Copper,Hilton
268.4073,2000,-584.902585,2.27,Copper,Hilton
210.273,2000,-667.755565,2.18,Copper,Hilton
215.2206,2000,-772.308135,2.15,Copper,Hilton
174.4029,2000,-825.570765,2.25,Copper,Hilton
149.6649,2000,-940.97313,2.18,Copper,Hilton
212.7468,2000,-866.01091,2.23,Copper,Hilton
275.8287,2000,-707.209365,2.14,Copper,Hilton
222.642,2000,-735.81337,2.18,Copper,Hilton
295.6191,2000,-654.93308,2.17,Copper,Hilton
278.3025,2000,-720.03185,2.27,Copper,Hilton
213.9837,2000,-852.20208,2.26,Copper,Hilton
166.9815,2000,-939.00044,2.16,Copper,Hilton
138.5328,2000,-1031.71687,2.28,Copper,Hilton
200.3778,2000,-958.72734,2.14,Copper,Hilton
237.4848,2000,-877.84705,2.21,Copper,Hilton
222.642,2000,-920.259885,2.21,Copper,Hilton
263.4597,2000,-866.997255,2.23,Copper,Hilton
305.5143,2000,-711.154745,2.2,Copper,Hilton
283.2501,2000,-795.980415,2.15,Copper,Hilton
307.9881,2000,-706.22302,2.16,Copper,Hilton
212.7468,2000,-607.58852,2.28,Copper,Hilton
267.1704,2000,-719.045505,2.13,Copper,Hilton
