X,Y,Z,grade_value,grade,section
327,0,-220,0.859122515,Pb/Zn,Mount Isa
328,0,-236,0.865216318,Pb/Zn,Mount Isa
347,0,-145,0.865657885,Pb/Zn,Mount Isa
345,0,-137,0.865545674,Pb/Zn,Mount Isa
278,0,-370,0.853228326,Pb/Zn,Mount Isa
285,0,-352,0.860938727,Pb/Zn,Mount Isa
309,0,-319,0.869762081,Pb/Zn,Mount Isa
337,0,-283,0.855543417,Pb/Zn,Mount Isa
341,0,-232,0.850583597,Pb/Zn,Mount Isa
349,0,-200,0.850859755,Pb/Zn,Mount Isa
357,0,-172,0.859171029,Pb/Zn,Mount Isa
364,0,-138,0.85469044,Pb/Zn,Mount Isa
339,0,-280,0.850410921,Pb/Zn,Mount Isa
350,0,-272,0.858473044,Pb/Zn,Mount Isa
362,0,-255,0.862078099,Pb/Zn,Mount Isa
369,0,-245,0.857277613,Pb/Zn,Mount Isa
382,0,-203,0.850441082,Pb/Zn,Mount Isa
359,0,-233,0.863156232,Pb/Zn,Mount Isa
328,0,-323,0.85231516,Pb/Zn,Mount Isa
305,0,-365,0.865072074,Pb/Zn,Mount Isa
273,0,-394,0.865523893,Pb/Zn,Mount Isa
275,0,-404,0.852839608,Pb/Zn,Mount Isa
252,0,-445,0.855664933,Pb/Zn,Mount Isa
349,0,-312,0.863980807,Pb/Zn,Mount Isa
392,0,-160,0.861478822,Pb/Zn,Mount Isa
392,0,-120,0.869383217,Pb/Zn,Mount Isa
384,0,-265,0.856709666,Pb/Zn,Mount Isa
379,0,-276,0.865856281,Pb/Zn,Mount Isa
418,0,-177,0.867196908,Pb/Zn,Mount Isa
408,0,-217,0.851538546,Pb/Zn,Mount Isa
403,0,-256,0.856550653,Pb/Zn,Mount Isa
249,0,-477,0.85787025,Pb/Zn,Mount Isa
267,0,-466,0.858944085,Pb/Zn,Mount Isa
263,0,-458,0.863932033,Pb/Zn,Mount Isa
283,0,-444,0.865026875,Pb/Zn,Mount Isa
305,0,-402,0.862442593,Pb/Zn,Mount Isa
445,0,-158,0.864570069,Pb/Zn,Mount Isa
491,0,-84,0.868969733,Pb/Zn,Mount Isa
475,0,-110,0.859927089,Pb/Zn,Mount Isa
493,0,-116,0.861736211,Pb/Zn,Mount Isa
465,0,-149,0.857947334,Pb/Zn,Mount Isa
485,0,-173,0.855703544,Pb/Zn,Mount Isa
456,0,-214,0.852958685,Pb/Zn,Mount Isa
491,0,-154,0.854838066,Pb/Zn,Mount Isa
418,0,-285,0.857734397,Pb/Zn,Mount Isa
413,0,-309,0.858360004,Pb/Zn,Mount Isa
438,0,-272,0.861401689,Pb/Zn,Mount Isa
429,0,-294,0.86558599,Pb/Zn,Mount Isa
424,0,-313,0.850528965,Pb/Zn,Mount Isa
239,0,-543,0.862293031,Pb/Zn,Mount Isa
256,0,-521,0.861574628,Pb/Zn,Mount Isa
292,0,-486,0.858284774,Pb/Zn,Mount Isa
302,0,-459,0.864034289,Pb/Zn,Mount Isa
308,0,-438,0.868234047,Pb/Zn,Mount Isa
328,0,-401,0.86581041,Pb/Zn,Mount Isa
339,0,-381,0.852880909,Pb/Zn,Mount Isa
358,0,-352,0.857817651,Pb/Zn,Mount Isa
370,0,-345,0.857233298,Pb/Zn,Mount Isa
345,0,-438,0.867667791,Pb/Zn,Mount Isa
361,0,-431,0.863472606,Pb/Zn,Mount Isa
347,0,-462,0.863018645,Pb/Zn,Mount Isa
464,0,-274,0.869850605,Pb/Zn,Mount Isa
447,0,-313,0.858136188,Pb/Zn,Mount Isa
428,0,-363,0.851615263,Pb/Zn,Mount Isa
401,0,-427,0.859628497,Pb/Zn,Mount Isa
403,0,-417,0.861197994,Pb/Zn,Mount Isa
375,0,-481,0.868508715,Pb/Zn,Mount Isa
365,0,-537,0.863322906,Pb/Zn,Mount Isa
326,0,-586,0.863439623,Pb/Zn,Mount Isa
343,0,-565,0.865640909,Pb/Zn,Mount Isa
309,0,-671,0.864758719,Pb/Zn,Mount Isa
337,0,-616,0.862981172,Pb/Zn,Mount Isa
397,0,-495,0.863653791,Pb/Zn,Mount Isa
379,0,-546,0.860705673,Pb/Zn,Mount Isa
483,0,-338,0.864176694,Pb/Zn,Mount Isa
456,0,-413,0.862382437,Pb/Zn,Mount Isa
430,0,-471,0.856542916,Pb/Zn,Mount Isa
412,0,-523,0.855128713,Pb/Zn,Mount Isa
391,0,-552,0.859339622,Pb/Zn,Mount Isa
381,0,-574,0.862228588,Pb/Zn,Mount Isa
374,0,-592,0.851500987,Pb/Zn,Mount Isa
371,0,-619,0.868109096,Pb/Zn,Mount Isa
363,0,-629,0.8686274,Pb/Zn,Mount Isa
360,0,-648,0.86916667,Pb/Zn,Mount Isa
352,0,-662,0.862175087,Pb/Zn,Mount Isa
389,0,-566,0.860330023,Pb/Zn,Mount Isa
413,0,-511,0.863061503,Pb/Zn,Mount Isa
441,0,-492,0.858616555,Pb/Zn,Mount Isa
427,0,-511,0.859953897,Pb/Zn,Mount Isa
426,0,-529,0.869844046,Pb/Zn,Mount Isa
416,0,-549,0.856967699,Pb/Zn,Mount Isa
410,0,-573,0.859910307,Pb/Zn,Mount Isa
404,0,-585,0.864872697,Pb/Zn,Mount Isa
390,0,-614,0.862726617,Pb/Zn,Mount Isa
378,0,-632,0.869230765,Pb/Zn,Mount Isa
375,0,-651,0.860731999,Pb/Zn,Mount Isa
360,0,-680,0.850715437,Pb/Zn,Mount Isa
364,0,-673,0.869883778,Pb/Zn,Mount Isa
633,0,-126,0.863761029,Pb/Zn,Mount Isa
623,0,-149,0.862492152,Pb/Zn,Mount Isa
646,0,-112,0.860360044,Pb/Zn,Mount Isa
660,0,-174,0.865463862,Pb/Zn,Mount Isa
653,0,-189,0.851475725,Pb/Zn,Mount Isa
742,0,-100,0.852472,Pb/Zn,Mount Isa
730,0,-117,0.850817148,Pb/Zn,Mount Isa
740,0,-98,0.851539341,Pb/Zn,Mount Isa
726,0,-114,0.854319848,Pb/Zn,Mount Isa
681,0,-160,0.860330789,Pb/Zn,Mount Isa
681,0,-155,0.861367448,Pb/Zn,Mount Isa
465,0,-501,0.856215517,Pb/Zn,Mount Isa
451,0,-535,0.86251521,Pb/Zn,Mount Isa
459,0,-537,0.85221944,Pb/Zn,Mount Isa
445,0,-572,0.852665901,Pb/Zn,Mount Isa
433,0,-597,0.859190154,Pb/Zn,Mount Isa
411,0,-639,0.858214074,Pb/Zn,Mount Isa
