X,Y,Z,grade_value,grade,section
907,0,-936,2.239862176951762,Copper,Hilton
904,0,-922,2.180885203176909,Copper,Hilton
924,0,-878,2.1225783580326123,Copper,Hilton
930,0,-839,2.1679176957545354,Copper,Hilton
939,0,-771,2.2991696555448997,Copper,Hilton
921,0,-821,2.106629548926156,Copper,Hilton
966,0,-821,2.2605992047987837,Copper,Hilton
968,0,-783,2.1157497023524896,Copper,Hilton
963,0,-783,2.284842272662288,Copper,Hilton
981,0,-754,2.2729042057805566,Copper,Hilton
982,0,-774,2.1370125330924528,Copper,Hilton
980,0,-805,2.239284600344875,Copper,Hilton
949,0,-834,2.1082457451564567,Copper,Hilton
934,0,-838,2.1777095004011326,Copper,Hilton
992,0,-849,2.1085889836192173,Copper,Hilton
961,0,-863,2.2146157049489408,Copper,Hilton
944,0,-921,2.2977649978745736,Copper,Hilton
938,0,-944,2.148331671568857,Copper,Hilton
928,0,-963,2.1067589572521905,Copper,Hilton
923,0,-976,2.2230092844774445,Copper,Hilton
916,0,-989,2.2018065810317102,Copper,Hilton
905,0,-998,2.246878743961429,Copper,Hilton
898,0,-1032,2.2279522510121503,Copper,Hilton
881,0,-1053,2.1396204279894633,Copper,Hilton
891,0,-1109,2.1107023777821605,Copper,Hilton
885,0,-1115,2.176609562221009,Copper,Hilton
893,0,-1130,2.217224805594333,Copper,Hilton
890,0,-1144,2.1591571821636837,Copper,Hilton
919,0,-1063,2.11407448338587,Copper,Hilton
936,0,-1039,2.2331746526037355,Copper,Hilton
947,0,-1007,2.299915526374903,Copper,Hilton
962,0,-974,2.2982026869331293,Copper,Hilton
983,0,-913,2.2211179397443,Copper,Hilton
987,0,-878,2.1361100948735756,Copper,Hilton
1003,0,-845,2.1749876478962364,Copper,Hilton
1000,0,-811,2.2215329006433016,Copper,Hilton
966,0,-854,2.25160464528681,Copper,Hilton
944,0,-907,2.18118846377454,Copper,Hilton
937,0,-940,2.2602926014766993,Copper,Hilton
960,0,-929,2.2496680906134845,Copper,Hilton
919,0,-994,2.1968283961060546,Copper,Hilton
1003,0,-825,2.1674889512773046,Copper,Hilton
1000,0,-836,2.2956587762745215,Copper,Hilton
993,0,-863,2.154424143106075,Copper,Hilton
978,0,-909,2.1274387013236558,Copper,Hilton
989,0,-891,2.2663260782180186,Copper,Hilton
977,0,-886,2.278854762285205,Copper,Hilton
967,0,-946,2.262402272261312,Copper,Hilton
957,0,-983,2.2103746291050705,Copper,Hilton
937,0,-1025,2.2559448031234584,Copper,Hilton
927,0,-1042,2.2022411990835433,Copper,Hilton
927,0,-1057,2.1281446715900754,Copper,Hilton
914,0,-1077,2.2220464923253203,Copper,Hilton
899,0,-1113,2.1634478168768645,Copper,Hilton
895,0,-1134,2.220365743248359,Copper,Hilton
902,0,-1091,2.10479511934867,Copper,Hilton
885,0,-1107,2.240273928535865,Copper,Hilton
876,0,-1207,2.2764115317815166,Copper,Hilton
885,0,-1216,2.202088066318897,Copper,Hilton
883,0,-1179,2.298161784311646,Copper,Hilton
902,0,-1174,2.2333201685336626,Copper,Hilton
926,0,-1133,2.139838940941687,Copper,Hilton
926,0,-1118,2.2525228416091596,Copper,Hilton
935,0,-1097,2.2233772677254615,Copper,Hilton
956,0,-1079,2.286164044564072,Copper,Hilton
956,0,-1051,2.2082816332852433,Copper,Hilton
975,0,-1030,2.2837471590418774,Copper,Hilton
965,0,-1023,2.1464116897109515,Copper,Hilton
950,0,-1063,2.263968855950125,Copper,Hilton
944,0,-1094,2.213443353157328,Copper,Hilton
987,0,-979,2.1550185608351184,Copper,Hilton
984,0,-984,2.2604151233549037,Copper,Hilton
960,0,-1019,2.165844720075669,Copper,Hilton
977,0,-1040,2.2302899553999183,Copper,Hilton
977,0,-994,2.269992607154155,Copper,Hilton
997,0,-944,2.221273317865256,Copper,Hilton
996,0,-917,2.143193741777825,Copper,Hilton
1011,0,-882,2.198813668813355,Copper,Hilton
1020,0,-875,2.2914962767164377,Copper,Hilton
1022,0,-899,2.202705643167655,Copper,Hilton
1008,0,-930,2.2396458851837706,Copper,Hilton
993,0,-968,2.1547867522562094,Copper,Hilton
985,0,-998,2.1857119492227723,Copper,Hilton
1001,0,-921,2.2631108805487528,Copper,Hilton
1015,0,-889,2.19100099491237,Copper,Hilton
1013,0,-877,2.1579964959764983,Copper,Hilton
984,0,-758,2.1020032579626595,Copper,Hilton
974,0,-759,2.2953809623809014,Copper,Hilton
942,0,-755,2.2698623983964854,Copper,Hilton
936,0,-777,2.283797265924809,Copper,Hilton
917,0,-825,2.1789097547933913,Copper,Hilton
964,0,-824,2.136116764807599,Copper,Hilton
994,0,-841,2.20581159220426,Copper,Hilton
980,0,-890,2.128689564051004,Copper,Hilton
1009,0,-816,2.2771255505197225,Copper,Hilton
984,0,-900,2.1903710714454587,Copper,Hilton
