X,Y,Z,grade_value,grade,section
879,0,-515,3.317895911412622,Copper,Mount Isa
871,0,-520,3.3464480978746196,Copper,Mount Isa
871,0,-543,3.396936331475627,Copper,Mount Isa
896,0,-536,3.2489907716041215,Copper,Mount Isa
873,0,-543,3.365402542951931,Copper,Mount Isa
876,0,-574,3.215853354430025,Copper,Mount Isa
892,0,-555,3.3451355902674846,Copper,Mount Isa
870,0,-559,3.326457323250601,Copper,Mount Isa
866,0,-582,3.227973779467534,Copper,Mount Isa
869,0,-598,3.226765670300027,Copper,Mount Isa
886,0,-583,3.364709621606941,Copper,Mount Isa
902,0,-535,3.339551694400692,Copper,Mount Isa
868,0,-670,3.251064334080509,Copper,Mount Isa
860,0,-677,3.356097039258923,Copper,Mount Isa
859,0,-687,3.286691066655432,Copper,Mount Isa
864,0,-671,3.3182792780761257,Copper,Mount Isa
949,0,-1030,3.346291165156347,Copper,Mount Isa
928,0,-1041,3.3893849713641226,Copper,Mount Isa
908,0,-1067,3.389955183542175,Copper,Mount Isa
915,0,-1072,3.2224148958431447,Copper,Mount Isa
928,0,-1066,3.2651371039966985,Copper,Mount Isa
935,0,-1045,3.2966745506258626,Copper,Mount Isa
953,0,-1037,3.28187202632565,Copper,Mount Isa
961,0,-1029,3.3113433153386023,Copper,Mount Isa
946,0,-1044,3.3207610816925364,Copper,Mount Isa
920,0,-1081,3.2018992634344037,Copper,Mount Isa
945,0,-1131,3.268379503963959,Copper,Mount Isa
951,0,-1137,3.3963003527124807,Copper,Mount Isa
953,0,-1147,3.367104453820897,Copper,Mount Isa
969,0,-1142,3.372372483738026,Copper,Mount Isa
949,0,-1160,3.37274638436616,Copper,Mount Isa
948,0,-1163,3.264525536210837,Copper,Mount Isa
934,0,-1156,3.283314547604177,Copper,Mount Isa
940,0,-1143,3.276879888993731,Copper,Mount Isa
940,0,-1134,3.234503599229455,Copper,Mount Isa
953,0,-1151,3.3176107994995148,Copper,Mount Isa
941,0,-1155,3.238771648262649,Copper,Mount Isa
1279,0,-990,3.361670131919478,Copper,Mount Isa
1272,0,-1005,3.2762736823070364,Copper,Mount Isa
1272,0,-1017,3.288543971468051,Copper,Mount Isa
1269,0,-1032,3.235723673791321,Copper,Mount Isa
1269,0,-1041,3.3931677187835128,Copper,Mount Isa
1276,0,-1022,3.257491304344989,Copper,Mount Isa
1276,0,-990,3.2686804236326976,Copper,Mount Isa
1269,0,-1025,3.3370685004111844,Copper,Mount Isa
1267,0,-1047,3.3720636986844044,Copper,Mount Isa
1243,0,-1070,3.2144724053089533,Copper,Mount Isa
1249,0,-1073,3.3448437429345246,Copper,Mount Isa
1256,0,-1085,3.338672412751757,Copper,Mount Isa
1242,0,-1085,3.3112985911473474,Copper,Mount Isa
1226,0,-1098,3.2706935908086696,Copper,Mount Isa
1240,0,-1108,3.2524681460679923,Copper,Mount Isa
1245,0,-1091,3.2515270508243788,Copper,Mount Isa
1250,0,-1107,3.3857262892597584,Copper,Mount Isa
1238,0,-1120,3.394253024025029,Copper,Mount Isa
1224,0,-1116,3.204241123425627,Copper,Mount Isa
1218,0,-1130,3.3630467068309136,Copper,Mount Isa
1228,0,-1137,3.344212550499202,Copper,Mount Isa
1234,0,-1122,3.2312121847279043,Copper,Mount Isa
1238,0,-1102,3.245656369460757,Copper,Mount Isa
1206,0,-1142,3.2765268288794553,Copper,Mount Isa
1230,0,-1147,3.3325382308428675,Copper,Mount Isa
1214,0,-1135,3.3195777376508575,Copper,Mount Isa
1203,0,-1135,3.361671451770857,Copper,Mount Isa
