X,Y,Z,grade_value,grade,section
227,0,-334,3.31789591141262,Copper,Mount Isa
219,0,-339,3.34644809787461,Copper,Mount Isa
219,0,-362,3.39693633147562,Copper,Mount Isa
244,0,-355,3.24899077160412,Copper,Mount Isa
221,0,-362,3.36540254295193,Copper,Mount Isa
224,0,-393,3.21585335443002,Copper,Mount Isa
240,0,-374,3.34513559026748,Copper,Mount Isa
218,0,-378,3.3264573232506,Copper,Mount Isa
214,0,-401,3.22797377946753,Copper,Mount Isa
217,0,-417,3.22676567030002,Copper,Mount Isa
234,0,-402,3.36470962160694,Copper,Mount Isa
250,0,-354,3.33955169440069,Copper,Mount Isa
216,0,-489,3.2510643340805,Copper,Mount Isa
208,0,-496,3.35609703925892,Copper,Mount Isa
207,0,-506,3.28669106665543,Copper,Mount Isa
212,0,-490,3.31827927807612,Copper,Mount Isa
297,0,-849,3.34629116515634,Copper,Mount Isa
276,0,-860,3.38938497136412,Copper,Mount Isa
256,0,-886,3.38995518354217,Copper,Mount Isa
263,0,-891,3.22241489584314,Copper,Mount Isa
276,0,-885,3.26513710399669,Copper,Mount Isa
283,0,-864,3.29667455062586,Copper,Mount Isa
301,0,-856,3.28187202632565,Copper,Mount Isa
309,0,-848,3.3113433153386,Copper,Mount Isa
294,0,-863,3.32076108169253,Copper,Mount Isa
268,0,-900,3.2018992634344,Copper,Mount Isa
293,0,-950,3.26837950396395,Copper,Mount Isa
299,0,-956,3.39630035271248,Copper,Mount Isa
301,0,-966,3.36710445382089,Copper,Mount Isa
317,0,-961,3.37237248373802,Copper,Mount Isa
297,0,-979,3.37274638436616,Copper,Mount Isa
296,0,-982,3.26452553621083,Copper,Mount Isa
282,0,-975,3.28331454760417,Copper,Mount Isa
288,0,-962,3.27687988899373,Copper,Mount Isa
288,0,-953,3.23450359922945,Copper,Mount Isa
301,0,-970,3.31761079949951,Copper,Mount Isa
289,0,-974,3.23877164826264,Copper,Mount Isa
627,0,-809,3.36167013191947,Copper,Mount Isa
620,0,-824,3.27627368230703,Copper,Mount Isa
620,0,-836,3.28854397146805,Copper,Mount Isa
617,0,-851,3.23572367379132,Copper,Mount Isa
617,0,-860,3.39316771878351,Copper,Mount Isa
624,0,-841,3.25749130434498,Copper,Mount Isa
624,0,-809,3.26868042363269,Copper,Mount Isa
617,0,-844,3.33706850041118,Copper,Mount Isa
615,0,-866,3.3720636986844,Copper,Mount Isa
591,0,-889,3.21447240530895,Copper,Mount Isa
597,0,-892,3.34484374293452,Copper,Mount Isa
604,0,-904,3.33867241275175,Copper,Mount Isa
590,0,-904,3.31129859114734,Copper,Mount Isa
574,0,-917,3.27069359080866,Copper,Mount Isa
588,0,-927,3.25246814606799,Copper,Mount Isa
593,0,-910,3.25152705082437,Copper,Mount Isa
598,0,-926,3.38572628925975,Copper,Mount Isa
586,0,-939,3.39425302402502,Copper,Mount Isa
572,0,-935,3.20424112342562,Copper,Mount Isa
566,0,-949,3.36304670683091,Copper,Mount Isa
576,0,-956,3.3442125504992,Copper,Mount Isa
582,0,-941,3.2312121847279,Copper,Mount Isa
586,0,-921,3.24565636946075,Copper,Mount Isa
554,0,-961,3.27652682887945,Copper,Mount Isa
578,0,-966,3.33253823084286,Copper,Mount Isa
562,0,-954,3.31957773765085,Copper,Mount Isa
551,0,-954,3.36167145177085,Copper,Mount Isa
558,0,-984,3.38184653505479,Copper,Mount Isa
549,0,-995,3.24546631589886,Copper,Mount Isa
564,0,-984,3.36148919007848,Copper,Mount Isa
554,0,-977,3.23027949377699,Copper,Mount Isa
550,0,-1007,3.33597834212024,Copper,Mount Isa
542,0,-1022,3.33175507391921,Copper,Mount Isa
543,0,-993,3.38743251889588,Copper,Mount Isa
562,0,-1028,3.3860417151821,Copper,Mount Isa
573,0,-1012,3.32230636344783,Copper,Mount Isa
592,0,-988,3.31767718296541,Copper,Mount Isa
591,0,-975,3.36559818620977,Copper,Mount Isa
583,0,-996,3.34436004584061,Copper,Mount Isa
554,0,-1039,3.33582456248868,Copper,Mount Isa
545,0,-1039,3.20060735845341,Copper,Mount Isa
534,0,-1043,3.21368034777761,Copper,Mount Isa
532,0,-1058,3.25383785554617,Copper,Mount Isa
541,0,-1071,3.26650741131101,Copper,Mount Isa
528,0,-1071,3.21797831514887,Copper,Mount Isa
539,0,-1065,3.30184449606455,Copper,Mount Isa
560,0,-1036,3.39645525038481,Copper,Mount Isa
558,0,-1018,3.21430235722302,Copper,Mount Isa
591,0,-1082,3.34268493280132,Copper,Mount Isa
600,0,-1067,3.22494430065871,Copper,Mount Isa
614,0,-1062,3.30003131269932,Copper,Mount Isa
596,0,-1043,3.21179284336933,Copper,Mount Isa
601,0,-1032,3.32891841070202,Copper,Mount Isa
608,0,-1011,3.2427505256124,Copper,Mount Isa
607,0,-1027,3.22450623613422,Copper,Mount Isa
614,0,-1000,3.23435875120403,Copper,Mount Isa
619,0,-984,3.36596561348556,Copper,Mount Isa
617,0,-963,3.21270644769129,Copper,Mount Isa
633,0,-999,3.23623560830366,Copper,Mount Isa
630,0,-1019,3.23119674503928,Copper,Mount Isa
622,0,-1020,3.20080255979212,Copper,Mount Isa
625,0,-1043,3.26831371530662,Copper,Mount Isa
616,0,-1046,3.32162062628071,Copper,Mount Isa
624,0,-1046,3.36890863470741,Copper,Mount Isa
619,0,-1069,3.34882529520603,Copper,Mount Isa
590,0,-1065,3.3649612318635,Copper,Mount Isa
602,0,-1068,3.3482188670333,Copper,Mount Isa
611,0,-1079,3.33232460461426,Copper,Mount Isa
611,0,-1090,3.23749649338361,Copper,Mount Isa
593,0,-1086,3.21365297237665,Copper,Mount Isa
577,0,-1086,3.3365732545658,Copper,Mount Isa
