X,Y,Z,grade_value,grade,section
1147,0,-313,0.5398256871469095,Pb/Zn,Hilton
1142,0,-323,0.5331646963362329,Pb/Zn,Hilton
1128,0,-345,0.5309665282494072,Pb/Zn,Hilton
1120,0,-374,0.5366719699526554,Pb/Zn,Hilton
1129,0,-353,0.5469762657626651,Pb/Zn,Hilton
1140,0,-338,0.5438302750363515,Pb/Zn,Hilton
1144,0,-322,0.5341623698337635,Pb/Zn,Hilton
1114,0,-375,0.5306869434609881,Pb/Zn,Hilton
1113,0,-406,0.5380201411813322,Pb/Zn,Hilton
1124,0,-382,0.5483163949997634,Pb/Zn,Hilton
1106,0,-426,0.5468943066843109,Pb/Zn,Hilton
1102,0,-446,0.5451723131967844,Pb/Zn,Hilton
1039,0,-605,0.5317516530450932,Pb/Zn,Hilton
1036,0,-618,0.5355668320623601,Pb/Zn,Hilton
1024,0,-632,0.5399613924579145,Pb/Zn,Hilton
1014,0,-655,0.54480735558202,Pb/Zn,Hilton
1003,0,-666,0.5345874159860242,Pb/Zn,Hilton
983,0,-720,0.5422623121886309,Pb/Zn,Hilton
1003,0,-697,0.5425574896137434,Pb/Zn,Hilton
1010,0,-680,0.5498158758180118,Pb/Zn,Hilton
1006,0,-706,0.5447091155918483,Pb/Zn,Hilton
1025,0,-667,0.5330263277665716,Pb/Zn,Hilton
1028,0,-625,0.5321868919099634,Pb/Zn,Hilton
1040,0,-606,0.5315026147137327,Pb/Zn,Hilton
916,0,-841,0.5346851448713398,Pb/Zn,Hilton
908,0,-858,0.5436581132581274,Pb/Zn,Hilton
917,0,-845,0.5365906677764462,Pb/Zn,Hilton
906,0,-867,0.5412694939378772,Pb/Zn,Hilton
901,0,-879,0.5378344902515869,Pb/Zn,Hilton
888,0,-892,0.5466530416459985,Pb/Zn,Hilton
881,0,-913,0.5367101411386191,Pb/Zn,Hilton
893,0,-900,0.5376565547247669,Pb/Zn,Hilton
892,0,-914,0.5403754760884528,Pb/Zn,Hilton
888,0,-921,0.5325480655046365,Pb/Zn,Hilton
879,0,-927,0.5423562824768032,Pb/Zn,Hilton
867,0,-942,0.5338883954210759,Pb/Zn,Hilton
866,0,-956,0.5492836999563758,Pb/Zn,Hilton
874,0,-968,0.5478796224365706,Pb/Zn,Hilton
879,0,-946,0.5412765152743295,Pb/Zn,Hilton
