X,Y,Z,grade_value,grade,section
327,0,-220,0.859122514752696,Pb/Zn,Mount Isa
328,0,-231,0.868148285543965,Pb/Zn,Mount Isa
327,0,-243,0.856958879755,Pb/Zn,Mount Isa
326,0,-250,0.858599060553745,Pb/Zn,Mount Isa
328,0,-236,0.865216317630693,Pb/Zn,Mount Isa
328,0,-228,0.861601187887719,Pb/Zn,Mount Isa
339,0,-156,0.869436918060248,Pb/Zn,Mount Isa
343,0,-152,0.859783029110481,Pb/Zn,Mount Isa
347,0,-145,0.865657884532933,Pb/Zn,Mount Isa
354,0,-131,0.866309017527003,Pb/Zn,Mount Isa
354,0,-115,0.863290983305586,Pb/Zn,Mount Isa
361,0,-126,0.856798610185882,Pb/Zn,Mount Isa
345,0,-137,0.865545673869035,Pb/Zn,Mount Isa
340,0,-151,0.851310146764961,Pb/Zn,Mount Isa
336,0,-164,0.853467546997897,Pb/Zn,Mount Isa
266,0,-390,0.866200123637723,Pb/Zn,Mount Isa
278,0,-370,0.853228326178094,Pb/Zn,Mount Isa
272,0,-375,0.85101893352923,Pb/Zn,Mount Isa
279,0,-362,0.859575420615821,Pb/Zn,Mount Isa
290,0,-358,0.855444849722764,Pb/Zn,Mount Isa
285,0,-352,0.860938726761775,Pb/Zn,Mount Isa
298,0,-346,0.859884311473075,Pb/Zn,Mount Isa
307,0,-339,0.850616623991512,Pb/Zn,Mount Isa
307,0,-333,0.866608473805209,Pb/Zn,Mount Isa
309,0,-319,0.869762081415822,Pb/Zn,Mount Isa
316,0,-314,0.860108434972857,Pb/Zn,Mount Isa
328,0,-299,0.851012767560071,Pb/Zn,Mount Isa
328,0,-292,0.861289560242855,Pb/Zn,Mount Isa
337,0,-283,0.8555434173493,Pb/Zn,Mount Isa
343,0,-271,0.85044625134299,Pb/Zn,Mount Isa
338,0,-270,0.853559028474202,Pb/Zn,Mount Isa
344,0,-249,0.865281617079321,Pb/Zn,Mount Isa
341,0,-232,0.850583597083317,Pb/Zn,Mount Isa
346,0,-222,0.869446284099615,Pb/Zn,Mount Isa
343,0,-218,0.860298812670007,Pb/Zn,Mount Isa
349,0,-208,0.854798870394351,Pb/Zn,Mount Isa
349,0,-200,0.850859755166159,Pb/Zn,Mount Isa
349,0,-190,0.868809766262243,Pb/Zn,Mount Isa
351,0,-191,0.853528751272521,Pb/Zn,Mount Isa
354,0,-179,0.853182309583912,Pb/Zn,Mount Isa
357,0,-172,0.859171029344128,Pb/Zn,Mount Isa
361,0,-162,0.867012544547815,Pb/Zn,Mount Isa
365,0,-159,0.851934832453675,Pb/Zn,Mount Isa
363,0,-158,0.864002044282384,Pb/Zn,Mount Isa
