X,Y,Z,formation,section
1455,4000,-183,nativebeesiltstone_1000,Hilton
1432,4000,-256,nativebeesiltstone_1000,Hilton
1424,4000,-288,nativebeesiltstone_1000,Hilton
1414,4000,-339,nativebeesiltstone_1000,Hilton
1383,4000,-407,nativebeesiltstone_1000,Hilton
1375,4000,-441,nativebeesiltstone_1000,Hilton
1366,4000,-484,nativebeesiltstone_1000,Hilton
1345,4000,-520,nativebeesiltstone_1000,Hilton
1316,4000,-608,nativebeesiltstone_1000,Hilton
1297,4000,-681,nativebeesiltstone_1000,Hilton
1271,4000,-747,nativebeesiltstone_1000,Hilton
1241,4000,-864,nativebeesiltstone_1000,Hilton
1216,4000,-918,nativebeesiltstone_1000,Hilton
1180,4000,-998,nativebeesiltstone_1000,Hilton
1172,4000,-1048,nativebeesiltstone_1000,Hilton
1161,4000,-1091,nativebeesiltstone_1000,Hilton
1127,4000,-1171,nativebeesiltstone_1000,Hilton
1107,4000,-1221,nativebeesiltstone_1000,Hilton
1077,4000,-1273,nativebeesiltstone_1000,Hilton
1062,4000,-1322,nativebeesiltstone_1000,Hilton
1036,4000,-1368,nativebeesiltstone_1000,Hilton
1023,4000,-1406,nativebeesiltstone_1000,Hilton
