X,Y,Z,formation,section
711,0,-223,easterncreekvolcanics,Mt Isa
702,0,-255,easterncreekvolcanics,Mt Isa
689,0,-318,easterncreekvolcanics,Mt Isa
680,0,-353,easterncreekvolcanics,Mt Isa
673,0,-402,easterncreekvolcanics,Mt Isa
673,0,-467,easterncreekvolcanics,Mt Isa
701,0,-556,easterncreekvolcanics,Mt Isa
733,0,-645,easterncreekvolcanics,Mt Isa
745,0,-704,easterncreekvolcanics,Mt Isa
737,0,-773,easterncreekvolcanics,Mt Isa
736,0,-861,easterncreekvolcanics,Mt Isa
741,0,-930,easterncreekvolcanics,Mt Isa
773,0,-1007,easterncreekvolcanics,Mt Isa
830,0,-1073,easterncreekvolcanics,Mt Isa
896,0,-1154,easterncreekvolcanics,Mt Isa
928,0,-1199,easterncreekvolcanics,Mt Isa
961,0,-1228,easterncreekvolcanics,Mt Isa
1064,0,-1264,easterncreekvolcanics,Mt Isa
1167,0,-1287,easterncreekvolcanics,Mt Isa
1236,0,-1317,easterncreekvolcanics,Mt Isa
1294,0,-1371,easterncreekvolcanics,Mt Isa
1322,0,-1409,easterncreekvolcanics,Mt Isa
