X,Y,Z,formation,section
995,4000,-174,easterncreekvolcanics_1000,Hilton
994,4000,-201,easterncreekvolcanics_1000,Hilton
982,4000,-249,easterncreekvolcanics_1000,Hilton
942,4000,-350,easterncreekvolcanics_1000,Hilton
921,4000,-387,easterncreekvolcanics_1000,Hilton
916,4000,-421,easterncreekvolcanics_1000,Hilton
915,4000,-450,easterncreekvolcanics_1000,Hilton
887,4000,-533,easterncreekvolcanics_1000,Hilton
864,4000,-633,easterncreekvolcanics_1000,Hilton
854,4000,-693,easterncreekvolcanics_1000,Hilton
840,4000,-757,easterncreekvolcanics_1000,Hilton
821,4000,-808,easterncreekvolcanics_1000,Hilton
794,4000,-875,easterncreekvolcanics_1000,Hilton
766,4000,-937,easterncreekvolcanics_1000,Hilton
