X,Y,Z,formation,section
734,0,-629,silicadolomitealteration,Mt Isa
749,0,-625,silicadolomitealteration,Mt Isa
757,0,-629,silicadolomitealteration,Mt Isa
759,0,-658,silicadolomitealteration,Mt Isa
759,0,-686,silicadolomitealteration,Mt Isa
759,0,-710,silicadolomitealteration,Mt Isa
781,0,-703,silicadolomitealteration,Mt Isa
795,0,-661,silicadolomitealteration,Mt Isa
795,0,-617,silicadolomitealteration,Mt Isa
807,0,-573,silicadolomitealteration,Mt Isa
832,0,-472,silicadolomitealteration,Mt Isa
852,0,-411,silicadolomitealteration,Mt Isa
876,0,-366,silicadolomitealteration,Mt Isa
885,0,-384,silicadolomitealteration,Mt Isa
894,0,-425,silicadolomitealteration,Mt Isa
908,0,-416,silicadolomitealteration,Mt Isa
911,0,-411,silicadolomitealteration,Mt Isa
928,0,-383,silicadolomitealteration,Mt Isa
933,0,-373,silicadolomitealteration,Mt Isa
958,0,-357,silicadolomitealteration,Mt Isa
951,0,-388,silicadolomitealteration,Mt Isa
943,0,-455,silicadolomitealteration,Mt Isa
919,0,-485,silicadolomitealteration,Mt Isa
908,0,-517,silicadolomitealteration,Mt Isa
890,0,-551,silicadolomitealteration,Mt Isa
863,0,-608,silicadolomitealteration,Mt Isa
854,0,-643,silicadolomitealteration,Mt Isa
849,0,-681,silicadolomitealteration,Mt Isa
848,0,-714,silicadolomitealteration,Mt Isa
845,0,-761,silicadolomitealteration,Mt Isa
893,0,-765,silicadolomitealteration,Mt Isa
870,0,-804,silicadolomitealteration,Mt Isa
838,0,-841,silicadolomitealteration,Mt Isa
841,0,-854,silicadolomitealteration,Mt Isa
919,0,-800,silicadolomitealteration,Mt Isa
951,0,-810,silicadolomitealteration,Mt Isa
941,0,-834,silicadolomitealteration,Mt Isa
924,0,-860,silicadolomitealteration,Mt Isa
925,0,-887,silicadolomitealteration,Mt Isa
961,0,-882,silicadolomitealteration,Mt Isa
986,0,-886,silicadolomitealteration,Mt Isa
1018,0,-863,silicadolomitealteration,Mt Isa
1034,0,-890,silicadolomitealteration,Mt Isa
1045,0,-906,silicadolomitealteration,Mt Isa
1025,0,-954,silicadolomitealteration,Mt Isa
1011,0,-983,silicadolomitealteration,Mt Isa
1009,0,-1003,silicadolomitealteration,Mt Isa
1010,0,-1012,silicadolomitealteration,Mt Isa
1038,0,-1018,silicadolomitealteration,Mt Isa
1048,0,-1043,silicadolomitealteration,Mt Isa
1035,0,-1097,silicadolomitealteration,Mt Isa
1021,0,-1118,silicadolomitealteration,Mt Isa
1002,0,-1150,silicadolomitealteration,Mt Isa
987,0,-1171,silicadolomitealteration,Mt Isa
999,0,-1203,silicadolomitealteration,Mt Isa
1055,0,-1160,silicadolomitealteration,Mt Isa
1122,0,-1119,silicadolomitealteration,Mt Isa
1128,0,-1120,silicadolomitealteration,Mt Isa
1138,0,-1160,silicadolomitealteration,Mt Isa
1162,0,-1150,silicadolomitealteration,Mt Isa
1199,0,-1097,silicadolomitealteration,Mt Isa
1247,0,-934,silicadolomitealteration,Mt Isa
1288,0,-854,silicadolomitealteration,Mt Isa
1324,0,-820,silicadolomitealteration,Mt Isa
1351,0,-808,silicadolomitealteration,Mt Isa
1364,0,-842,silicadolomitealteration,Mt Isa
1371,0,-894,silicadolomitealteration,Mt Isa
1396,0,-878,silicadolomitealteration,Mt Isa
1428,0,-824,silicadolomitealteration,Mt Isa
1464,0,-788,silicadolomitealteration,Mt Isa
1438,0,-863,silicadolomitealteration,Mt Isa
1412,0,-924,silicadolomitealteration,Mt Isa
1389,0,-961,silicadolomitealteration,Mt Isa
1362,0,-1021,silicadolomitealteration,Mt Isa
1356,0,-1064,silicadolomitealteration,Mt Isa
1363,0,-1115,silicadolomitealteration,Mt Isa
1359,0,-1174,silicadolomitealteration,Mt Isa
1330,0,-1222,silicadolomitealteration,Mt Isa
1306,0,-1282,silicadolomitealteration,Mt Isa
