X,Y,Z,formation,section
764,4000,-704,silicadolomitealteration_1000,Hilton
798,4000,-695,silicadolomitealteration_1000,Hilton
840,4000,-701,silicadolomitealteration_1000,Hilton
856,4000,-770,silicadolomitealteration_1000,Hilton
860,4000,-882,silicadolomitealteration_1000,Hilton
844,4000,-948,silicadolomitealteration_1000,Hilton
844,4000,-994,silicadolomitealteration_1000,Hilton
851,4000,-1049,silicadolomitealteration_1000,Hilton
841,4000,-1099,silicadolomitealteration_1000,Hilton
841,4000,-1122,silicadolomitealteration_1000,Hilton
841,4000,-1191,silicadolomitealteration_1000,Hilton
842,4000,-1236,silicadolomitealteration_1000,Hilton
850,4000,-1315,silicadolomitealteration_1000,Hilton
857,4000,-1367,silicadolomitealteration_1000,Hilton
879,4000,-1356,silicadolomitealteration_1000,Hilton
869,4000,-1278,silicadolomitealteration_1000,Hilton
886,4000,-1151,silicadolomitealteration_1000,Hilton
880,4000,-1036,silicadolomitealteration_1000,Hilton
877,4000,-974,silicadolomitealteration_1000,Hilton
877,4000,-913,silicadolomitealteration_1000,Hilton
885,4000,-853,silicadolomitealteration_1000,Hilton
882,4000,-773,silicadolomitealteration_1000,Hilton
876,4000,-688,silicadolomitealteration_1000,Hilton
858,4000,-635,silicadolomitealteration_1000,Hilton
819,4000,-573,silicadolomitealteration_1000,Hilton
777,4000,-518,silicadolomitealteration_1000,Hilton
