X,Y,Z,formation,section
1148,4000,-177,spearsiltstone_1000,Hilton
1135,4000,-209,spearsiltstone_1000,Hilton
1115,4000,-255,spearsiltstone_1000,Hilton
1092,4000,-308,spearsiltstone_1000,Hilton
1069,4000,-358,spearsiltstone_1000,Hilton
1044,4000,-407,spearsiltstone_1000,Hilton
1002,4000,-486,spearsiltstone_1000,Hilton
972,4000,-526,spearsiltstone_1000,Hilton
960,4000,-549,spearsiltstone_1000,Hilton
951,4000,-578,spearsiltstone_1000,Hilton
935,4000,-631,spearsiltstone_1000,Hilton
909,4000,-700,spearsiltstone_1000,Hilton
886,4000,-763,spearsiltstone_1000,Hilton
866,4000,-803,spearsiltstone_1000,Hilton
857,4000,-849,spearsiltstone_1000,Hilton
832,4000,-891,spearsiltstone_1000,Hilton
820,4000,-931,spearsiltstone_1000,Hilton
811,4000,-970,spearsiltstone_1000,Hilton
797,4000,-1005,spearsiltstone_1000,Hilton
789,4000,-1048,spearsiltstone_1000,Hilton
777,4000,-1102,spearsiltstone_1000,Hilton
777,4000,-1131,spearsiltstone_1000,Hilton
771,4000,-1168,spearsiltstone_1000,Hilton
