X,Y,Z,formation
-90.02,1025.0,-816.3199999999999,4.0
-90.02,1025.0,-789.76,4.0
-90.02,1025.0,-763.2,4.0
-90.02,1025.0,-736.64,4.0
-90.02,1025.0,-710.0799999999999,4.0
-90.02,1025.0,-683.52,4.0
-90.02,1025.0,-656.96,4.0
-90.02,1025.0,-630.4,4.0
-90.02,1025.0,-603.8399999999999,4.0
-90.02,1025.0,-577.28,4.0
-90.02,1075.0,-949.12,4.0
-90.02,1075.0,-922.56,4.0
-90.02,1075.0,-896.0,4.0
-90.02,1075.0,-869.44,4.0
-90.02,1075.0,-842.88,4.0
-90.02,1075.0,-816.3199999999999,4.0
-90.02,1075.0,-789.76,4.0
-90.02,1075.0,-763.2,4.0
-90.02,1075.0,-736.64,4.0
-90.02,1075.0,-710.0799999999999,4.0
-90.02,1075.0,-683.52,4.0
-90.02,1075.0,-656.96,4.0
-90.02,1075.0,-630.4,4.0
-90.02,1075.0,-603.8399999999999,4.0
-90.02,1075.0,-577.28,4.0
-90.02,1075.0,-550.72,4.0
-90.02,1075.0,-524.16,4.0
-90.02,1125.0,-1055.3600000000001,4.0
-90.02,1125.0,-1028.8,4.0
-90.02,1125.0,-1002.24,4.0
-90.02,1125.0,-975.6800000000001,4.0
-90.02,1125.0,-949.12,4.0
-90.02,1125.0,-922.56,4.0
-90.02,1125.0,-896.0,4.0
-90.02,1125.0,-869.44,4.0
-90.02,1125.0,-842.88,4.0
-90.02,1125.0,-816.3199999999999,4.0
-90.02,1125.0,-789.76,4.0
-90.02,1125.0,-763.2,4.0
-90.02,1125.0,-736.64,4.0
-90.02,1125.0,-710.0799999999999,4.0
-90.02,1125.0,-683.52,4.0
-90.02,1125.0,-656.96,4.0
-90.02,1125.0,-630.4,4.0
-90.02,1125.0,-603.8399999999999,4.0
-90.02,1125.0,-577.28,4.0
-90.02,1125.0,-550.72,4.0
-90.02,1125.0,-524.16,4.0
-90.02,1125.0,-497.5999999999999,4.0
-90.02,1125.0,-471.03999999999996,4.0
-90.02,1175.0,-1135.04,4.0
-90.02,1175.0,-1108.48,4.0
-90.02,1175.0,-1081.92,4.0
-90.02,1175.0,-1055.3600000000001,4.0
-90.02,1175.0,-1028.8,4.0
-90.02,1175.0,-1002.24,4.0
-90.02,1175.0,-975.6800000000001,4.0
-90.02,1175.0,-949.12,4.0
-90.02,1175.0,-922.56,4.0
-90.02,1175.0,-896.0,4.0
-90.02,1175.0,-869.44,4.0
-90.02,1175.0,-842.88,4.0
-90.02,1175.0,-816.3199999999999,4.0
-90.02,1175.0,-789.76,4.0
-90.02,1175.0,-763.2,4.0
-90.02,1175.0,-736.64,4.0
-90.02,1175.0,-710.0799999999999,4.0
-90.02,1175.0,-683.52,4.0
-90.02,1175.0,-656.96,4.0
-90.02,1175.0,-630.4,4.0
-90.02,1175.0,-603.8399999999999,4.0
-90.02,1175.0,-577.28,4.0
-90.02,1175.0,-550.72,4.0
-90.02,1175.0,-524.16,4.0
-90.02,1175.0,-497.5999999999999,4.0
-90.02,1175.0,-471.03999999999996,4.0
-90.02,1175.0,-444.48,4.0
-90.02,1225.0,-1108.48,4.0
-90.02,1225.0,-1081.92,4.0
-90.02,1225.0,-1055.3600000000001,4.0
-90.02,1225.0,-1028.8,4.0
-90.02,1225.0,-1002.24,4.0
-90.02,1225.0,-975.6800000000001,4.0
-90.02,1225.0,-949.12,4.0
-90.02,1225.0,-922.56,4.0
-90.02,1225.0,-896.0,4.0
-90.02,1225.0,-869.44,4.0
-90.02,1225.0,-842.88,4.0
-90.02,1225.0,-816.3199999999999,4.0
-90.02,1225.0,-789.76,4.0
-90.02,1225.0,-763.2,4.0
-90.02,1225.0,-736.64,4.0
-90.02,1225.0,-710.0799999999999,4.0
-90.02,1225.0,-683.52,4.0
-90.02,1225.0,-656.96,4.0
-90.02,1225.0,-630.4,4.0
-90.02,1225.0,-603.8399999999999,4.0
-90.02,1225.0,-577.28,4.0
-90.02,1225.0,-550.72,4.0
-90.02,1225.0,-524.16,4.0
-90.02,1225.0,-497.5999999999999,4.0
-90.02,1225.0,-471.03999999999996,4.0
-90.02,1225.0,-444.48,4.0
-90.02,1225.0,-417.91999999999996,4.0
-90.02,1275.0,-1108.48,4.0
-90.02,1275.0,-1081.92,4.0
-90.02,1275.0,-1055.3600000000001,4.0
-90.02,1275.0,-1028.8,4.0
-90.02,1275.0,-1002.24,4.0
-90.02,1275.0,-975.6800000000001,4.0
-90.02,1275.0,-949.12,4.0
-90.02,1275.0,-922.56,4.0
-90.02,1275.0,-896.0,4.0
-90.02,1275.0,-869.44,4.0
-90.02,1275.0,-842.88,4.0
-90.02,1275.0,-816.3199999999999,4.0
-90.02,1275.0,-789.76,4.0
-90.02,1275.0,-763.2,4.0
-90.02,1275.0,-736.64,4.0
-90.02,1275.0,-710.0799999999999,4.0
-90.02,1275.0,-683.52,4.0
-90.02,1275.0,-656.96,4.0
-90.02,1275.0,-630.4,4.0
-90.02,1275.0,-603.8399999999999,4.0
-90.02,1275.0,-577.28,4.0
-90.02,1275.0,-550.72,4.0
-90.02,1275.0,-524.16,4.0
-90.02,1275.0,-497.5999999999999,4.0
-90.02,1275.0,-471.03999999999996,4.0
-90.02,1275.0,-444.48,4.0
-90.02,1275.0,-417.91999999999996,4.0
-90.02,1275.0,-391.3599999999999,4.0
-90.02,1325.0,-1081.92,4.0
-90.02,1325.0,-1055.3600000000001,4.0
-90.02,1325.0,-1028.8,4.0
-90.02,1325.0,-1002.24,4.0
-90.02,1325.0,-975.6800000000001,4.0
-90.02,1325.0,-949.12,4.0
-90.02,1325.0,-922.56,4.0
-90.02,1325.0,-896.0,4.0
-90.02,1325.0,-869.44,4.0
-90.02,1325.0,-842.88,4.0
-90.02,1325.0,-816.3199999999999,4.0
-90.02,1325.0,-789.76,4.0
-90.02,1325.0,-763.2,4.0
-90.02,1325.0,-736.64,4.0
-90.02,1325.0,-710.0799999999999,4.0
-90.02,1325.0,-683.52,4.0
-90.02,1325.0,-656.96,4.0
-90.02,1325.0,-630.4,4.0
-90.02,1325.0,-603.8399999999999,4.0
-90.02,1325.0,-577.28,4.0
-90.02,1325.0,-550.72,4.0
-90.02,1325.0,-524.16,4.0
-90.02,1325.0,-497.5999999999999,4.0
-90.02,1325.0,-471.03999999999996,4.0
-90.02,1325.0,-444.48,4.0
-90.02,1325.0,-417.91999999999996,4.0
-90.02,1325.0,-391.3599999999999,4.0
-90.02,1325.0,-364.79999999999995,4.0
-90.02,1375.0,-1081.92,4.0
-90.02,1375.0,-1055.3600000000001,4.0
-90.02,1375.0,-1028.8,4.0
-90.02,1375.0,-1002.24,4.0
-90.02,1375.0,-975.6800000000001,4.0
-90.02,1375.0,-949.12,4.0
-90.02,1375.0,-922.56,4.0
-90.02,1375.0,-896.0,4.0
-90.02,1375.0,-869.44,4.0
-90.02,1375.0,-842.88,4.0
-90.02,1375.0,-816.3199999999999,4.0
-90.02,1375.0,-789.76,4.0
-90.02,1375.0,-763.2,4.0
-90.02,1375.0,-736.64,4.0
-90.02,1375.0,-710.0799999999999,4.0
-90.02,1375.0,-683.52,4.0
-90.02,1375.0,-656.96,4.0
-90.02,1375.0,-630.4,4.0
