X,Y,Z,formation
145.25,870,-263,topo
1639.25,710,-197,topo
1929.75,530,-175,topo
394.25,990,-263,topo
1680.75,750,-197,topo
1680.75,730,-197,topo
1058.25,850,-219,topo
643.25,630,-219,topo
1929.75,770,-197,topo
1265.75,670,-197,topo
228.25,130,-285,topo
1888.25,130,-153,topo
1805.25,750,-197,topo
1888.25,870,-197,topo
1224.25,370,-219,topo
352.75,570,-241,topo
809.25,890,-219,topo
1929.75,270,-175,topo
1473.25,750,-197,topo
1556.25,90,-197,topo
1058.25,210,-263,topo
2012.75,630,-197,topo
477.25,230,-197,topo
2054.25,750,-197,topo
2012.75,970,-197,topo
394.25,290,-219,topo
643.25,950,-241,topo
767.75,250,-219,topo
1722.25,610,-175,topo
518.75,190,-197,topo
1680.75,250,-175,topo
269.75,670,-263,topo
850.75,470,-219,topo
186.75,170,-285,topo
518.75,70,-175,topo
1224.25,830,-219,topo
2012.75,590,-175,topo
1058.25,890,-219,topo
1431.75,410,-197,topo
311.25,950,-263,topo
809.25,130,-219,topo
1805.25,710,-197,topo
1639.25,350,-175,topo
1929.75,710,-197,topo
1224.25,350,-219,topo
601.75,950,-241,topo
1141.25,830,-219,topo
352.75,150,-219,topo
1888.25,590,-175,topo
1556.25,170,-197,topo
726.25,810,-219,topo
1265.75,430,-197,topo
809.25,390,-219,topo
1556.25,10,-197,topo
103.75,570,-285,topo
1597.75,630,-197,topo
601.75,890,-241,topo
767.75,730,-219,topo
1846.75,910,-197,topo
1141.25,810,-219,topo
1939.25,710,-395,SanhedongFm
2229.75,530,-571,SanhedongFm
1980.75,750,-439,SanhedongFm
1980.75,730,-439,SanhedongFm
1358.25,850,-241,SanhedongFm
2229.75,770,-681,SanhedongFm
2188.25,130,-285,SanhedongFm
2105.25,750,-549,SanhedongFm
2188.25,870,-681,SanhedongFm
1109.25,890,-241,SanhedongFm
2229.75,270,-461,SanhedongFm
1773.25,750,-307,SanhedongFm
2312.75,630,-725,SanhedongFm
2354.25,750,-813,SanhedongFm
2312.75,970,-835,SanhedongFm
943.25,950,-263,SanhedongFm
2022.25,610,-395,SanhedongFm
1980.75,250,-197,SanhedongFm
1524.25,830,-263,SanhedongFm
2312.75,590,-703,SanhedongFm
1358.25,890,-263,SanhedongFm
2105.25,710,-527,SanhedongFm
1939.25,350,-219,SanhedongFm
2229.75,710,-659,SanhedongFm
901.75,950,-263,SanhedongFm
1441.25,830,-241,SanhedongFm
2188.25,590,-549,SanhedongFm
2197.75,630,-307,SanhedongFm
2146.75,910,-659,SanhedongFm
1441.25,810,-241,SanhedongFm
145.25,870,-285,HuakaizuoFm
1639.25,710,-439,HuakaizuoFm
1929.75,530,-659,HuakaizuoFm
394.25,990,-285,HuakaizuoFm
1680.75,750,-505,HuakaizuoFm
1680.75,730,-483,HuakaizuoFm
1058.25,850,-285,HuakaizuoFm
643.25,630,-241,HuakaizuoFm
1929.75,770,-747,HuakaizuoFm
1265.75,670,-241,HuakaizuoFm
1888.25,130,-549,HuakaizuoFm
1805.25,750,-615,HuakaizuoFm
1888.25,870,-747,HuakaizuoFm
352.75,570,-263,HuakaizuoFm
809.25,890,-285,HuakaizuoFm
1929.75,270,-571,HuakaizuoFm
1473.25,750,-351,HuakaizuoFm
1556.25,90,-219,HuakaizuoFm
2012.75,630,-813,HuakaizuoFm
477.25,230,-219,HuakaizuoFm
2054.25,750,-879,HuakaizuoFm
2012.75,970,-901,HuakaizuoFm
394.25,290,-241,HuakaizuoFm
643.25,950,-307,HuakaizuoFm
1722.25,610,-461,HuakaizuoFm
518.75,190,-219,HuakaizuoFm
1680.75,250,-285,HuakaizuoFm
269.75,670,-285,HuakaizuoFm
518.75,70,-219,HuakaizuoFm
1224.25,830,-307,HuakaizuoFm
2012.75,590,-791,HuakaizuoFm
