,X,Y,Z,grade,borehole
0,103.75,950.0,-452.0,7.853109104230056,1.0
5,103.75,950.0,-372.0,7.853109446424918,1.0
10,103.75,950.0,-292.0,7.85310966575861,1.0
15,103.75,350.0,-468.0,7.853129792118111,2.0
20,103.75,350.0,-388.0,7.853131670849838,2.0
25,1473.25,290.0,-404.0,7.8535998699132765,3.0
30,1473.25,290.0,-324.0,7.853200756520994,3.0
35,1473.25,290.0,-244.0,7.85341092889712,3.0
40,1888.25,610.0,-660.0,7.852825261035165,4.0
45,601.75,130.0,-340.0,7.853525180425294,5.0
50,601.75,130.0,-260.0,7.853550600672387,5.0
55,477.25,110.0,-388.0,7.853327994978456,6.0
60,477.25,110.0,-308.0,7.853343894843709,6.0
65,1639.25,530.0,-628.0,7.853572793287489,7.0
70,1639.25,530.0,-548.0,7.853279762628118,7.0
75,1639.25,530.0,-468.0,7.852936610505163,7.0
80,1639.25,530.0,-388.0,7.852613276303722,7.0
85,1597.75,370.0,-468.0,7.85318695805924,8.0
90,1597.75,370.0,-388.0,7.852194779021463,8.0
95,1597.75,370.0,-308.0,7.851475929506132,8.0
100,767.75,430.0,-340.0,7.853589185357352,9.0
105,767.75,430.0,-260.0,7.853619001929871,9.0
110,269.75,210.0,-420.0,7.853177054946502,10.0
115,269.75,210.0,-340.0,7.853181931649673,10.0
120,477.25,770.0,-452.0,7.853153589271167,11.0
125,477.25,770.0,-372.0,7.853156878233264,11.0
130,1390.25,290.0,-356.0,7.854754954625812,12.0
135,1390.25,290.0,-276.0,7.8552569759807644,12.0
140,477.25,290.0,-436.0,7.853277920258508,13.0
145,477.25,290.0,-356.0,7.853292748404138,13.0
150,477.25,290.0,-276.0,7.853302953041318,13.0
155,186.75,990.0,-404.0,7.853110870164283,14.0
160,186.75,990.0,-324.0,7.85311119799809,14.0
165,1888.25,330.0,-644.0,7.851904760755304,15.0
170,1888.25,330.0,-564.0,7.850903697243655,15.0
175,1348.75,850.0,-500.0,7.853237447346093,16.0
180,1348.75,850.0,-420.0,7.8532283373628555,16.0
185,1431.75,350.0,-356.0,7.853910047871953,17.0
190,1431.75,350.0,-276.0,7.853986520272858,17.0
195,1099.75,690.0,-420.0,7.853458222055363,18.0
200,1099.75,690.0,-340.0,7.853479957563208,18.0
205,1099.75,690.0,-260.0,7.853494935487235,18.0
210,477.25,430.0,-372.0,7.85324606151492,19.0
215,477.25,430.0,-292.0,7.853253980330432,19.0
220,145.25,570.0,-452.0,7.853125197262132,20.0
225,145.25,570.0,-372.0,7.853126586076329,20.0
230,1639.25,450.0,-596.0,7.853806792074929,21.0
235,1639.25,450.0,-516.0,7.853254944173998,21.0
240,1639.25,450.0,-436.0,7.85263914283899,21.0
245,1639.25,450.0,-356.0,7.852101076434938,21.0
250,1556.25,530.0,-484.0,7.853304577395837,22.0
255,1556.25,530.0,-404.0,7.853035875735233,22.0
260,1763.75,750.0,-692.0,7.853114866574803,23.0
265,1763.75,750.0,-612.0,7.853041658804061,23.0
270,975.25,790.0,-404.0,7.853296043825784,24.0
275,975.25,790.0,-324.0,7.853305925103951,24.0
280,726.25,330.0,-340.0,7.853642078140244,25.0
285,726.25,330.0,-260.0,7.853676928601841,25.0
290,518.75,490.0,-404.0,7.853246641962954,26.0
295,518.75,490.0,-324.0,7.853256233266039,26.0
300,767.75,570.0,-388.0,7.8533954895338605,27.0
305,767.75,570.0,-308.0,7.853415916585885,27.0
310,186.75,90.0,-500.0,7.853152136201199,28.0
315,186.75,90.0,-420.0,7.8531564271786864,28.0
320,186.75,90.0,-340.0,7.853159763416646,28.0
325,850.75,730.0,-404.0,7.853299199359295,29.0
