X,Y,Z,grade_value,grade,section
1474,0,-591,5.022570751024142,Zn-PB,AB
1483,0,-604,5.08189239225619,Zn-PB,AB
1495,0,-614,5.093713723888566,Zn-PB,AB
1484,0,-599,5.0262671956357385,Zn-PB,AB
1517,0,-628,5.090298405376616,Zn-PB,AB
1534,0,-639,5.0549024588740386,Zn-PB,AB
1555,0,-643,5.078126086891274,Zn-PB,AB
1555,0,-654,5.058458725208183,Zn-PB,AB
1547,0,-649,5.086330213313624,Zn-PB,AB
1504,0,-619,5.088458433108874,Zn-PB,AB
1496,0,-603,5.083932375410451,Zn-PB,AB
1471,0,-586,5.07427021511817,Zn-PB,AB
1581,0,-669,5.067267180148937,Zn-PB,AB
1561,0,-655,5.058720594742357,Zn-PB,AB
1593,0,-669,5.001001958975398,Zn-PB,AB
1623,0,-703,5.002784556462412,Zn-PB,AB
1635,0,-715,5.035036803139284,Zn-PB,AB
1663,0,-749,5.05621114596133,Zn-PB,AB
1681,0,-764,5.0143783653015666,Zn-PB,AB
1701,0,-783,5.0522395962026625,Zn-PB,AB
1716,0,-797,5.067840036715723,Zn-PB,AB
1747,0,-826,5.033743281613259,Zn-PB,AB
1760,0,-856,5.094709945237556,Zn-PB,AB
1770,0,-872,5.064466757355629,Zn-PB,AB
1787,0,-900,5.030449427815483,Zn-PB,AB
1801,0,-918,5.031967063318307,Zn-PB,AB
1817,0,-940,5.084424661059766,Zn-PB,AB
1822,0,-962,5.083635671769708,Zn-PB,AB
1873,0,-969,5.090382335473102,Zn-PB,AB
1861,0,-945,5.070083086732145,Zn-PB,AB
1839,0,-932,5.015668331277704,Zn-PB,AB
1834,0,-910,5.079191311477581,Zn-PB,AB
1811,0,-892,5.0750266448431205,Zn-PB,AB
1804,0,-871,5.058708151010876,Zn-PB,AB
1785,0,-848,5.017275650868199,Zn-PB,AB
1775,0,-834,5.078191385610395,Zn-PB,AB
1763,0,-822,5.022097340321319,Zn-PB,AB
1764,0,-802,5.04180788602273,Zn-PB,AB
1746,0,-797,5.090803634901313,Zn-PB,AB
1736,0,-777,5.093889726826055,Zn-PB,AB
1714,0,-769,5.016113735534399,Zn-PB,AB
1715,0,-745,5.03144890811338,Zn-PB,AB
1688,0,-732,5.045462517427487,Zn-PB,AB
1718,0,-759,5.03017690187416,Zn-PB,AB
1689,0,-733,5.000587938874156,Zn-PB,AB
1676,0,-708,5.047965950123944,Zn-PB,AB
1666,0,-693,5.098363232746242,Zn-PB,AB
1633,0,-692,5.01113278422713,Zn-PB,AB
1618,0,-672,5.0524097225224525,Zn-PB,AB
1592,0,-672,5.088928118183224,Zn-PB,AB
1562,0,-659,5.012807939525718,Zn-PB,AB
1559,0,-645,5.062829979182778,Zn-PB,AB
1593,0,-667,5.054306008980322,Zn-PB,AB
1544,0,-643,5.045427577957775,Zn-PB,AB
1524,0,-638,5.035211894485864,Zn-PB,AB
1548,0,-595,5.086214075617049,Zn-PB,AB
1587,0,-606,5.092327171590104,Zn-PB,AB
1574,0,-612,5.056830720492589,Zn-PB,AB
1621,0,-613,5.016786146104487,Zn-PB,AB
1634,0,-635,5.010309006166256,Zn-PB,AB
1644,0,-656,5.052305940886723,Zn-PB,AB
1656,0,-657,5.002325699743282,Zn-PB,AB
1660,0,-670,5.093381580239507,Zn-PB,AB
1675,0,-671,5.072780149667808,Zn-PB,AB
1684,0,-690,5.027897468899005,Zn-PB,AB
1703,0,-699,5.014294428228275,Zn-PB,AB
1720,0,-715,5.085687436561407,Zn-PB,AB
1730,0,-730,5.039173270758623,Zn-PB,AB
1725,0,-723,5.032826873459477,Zn-PB,AB
1752,0,-733,5.005038643651451,Zn-PB,AB
1756,0,-756,5.03247297263895,Zn-PB,AB
1746,0,-746,5.027109878035825,Zn-PB,AB
1767,0,-766,5.077972925904123,Zn-PB,AB
1784,0,-777,5.073769250676287,Zn-PB,AB
1785,0,-778,5.026138124987951,Zn-PB,AB
1802,0,-801,5.093873979943411,Zn-PB,AB
1811,0,-819,5.038906510972263,Zn-PB,AB
1821,0,-839,5.056687255601389,Zn-PB,AB
1836,0,-845,5.0154730022735565,Zn-PB,AB
1832,0,-854,5.014326536412211,Zn-PB,AB
1851,0,-872,5.07059904413326,Zn-PB,AB
1852,0,-859,5.086798775496658,Zn-PB,AB
1860,0,-881,5.006899560956558,Zn-PB,AB
1868,0,-896,5.052545039717054,Zn-PB,AB
1880,0,-903,5.03866151747361,Zn-PB,AB
1885,0,-929,5.011465653298955,Zn-PB,AB
1900,0,-943,5.085562331478382,Zn-PB,AB
1908,0,-950,5.057764204061522,Zn-PB,AB
1912,0,-965,5.067110746417603,Zn-PB,AB
1926,0,-967,5.024018903159627,Zn-PB,AB
920,0,-630,4.096104417743655,Zn-PB,AB
899,0,-622,4.017368757379405,Zn-PB,AB
897,0,-641,4.02961349338698,Zn-PB,AB
881,0,-641,4.033760039833117,Zn-PB,AB
868,0,-641,4.087386946137805,Zn-PB,AB
854,0,-639,4.02041083403878,Zn-PB,AB
902,0,-636,4.050534753484285,Zn-PB,AB
898,0,-624,4.065266814392614,Zn-PB,AB
861,0,-637,4.092768130362486,Zn-PB,AB
282,0,-695,4.0182981467911585,Zn-PB,AB
304,0,-683,4.053244415577025,Zn-PB,AB
284,0,-709,4.089163147917666,Zn-PB,AB
278,0,-696,4.009977894991665,Zn-PB,AB
