X,Y,Z,dip,azimuth,polarity,formation,section
72,0,-327,0,90,1,topo,12
104,0,-331,0,90,1,topo,12
136,0,-319,0,90,1,topo,12
190,0,-309,0,90,1,topo,12
225,0,-288,0,90,1,topo,12
278,0,-264,0,90,1,topo,12
316,0,-252,0,90,1,topo,12
367,0,-231,0,90,1,topo,12
430,0,-210,0,90,1,topo,12
494,0,-191,0,90,1,topo,12
562,0,-176,0,90,1,topo,12
591,0,-169,0,90,1,topo,12
623,0,-168,0,90,1,topo,12
653,0,-169,0,90,1,topo,12
691,0,-183,0,90,1,topo,12
739,0,-208,0,90,1,topo,12
805,0,-229,0,90,1,topo,12
835,0,-246,0,90,1,topo,12
866,0,-271,0,90,1,topo,12
925,0,-289,0,90,1,topo,12
949,0,-303,0,90,1,topo,12
977,0,-312,0,90,1,topo,12
1002,0,-299,0,90,1,topo,12
1021,0,-294,0,90,1,topo,12
1058,0,-294,0,90,1,topo,12
1117,0,-260,0,90,1,topo,12
1164,0,-232,0,90,1,topo,12
1247,0,-204,0,90,1,topo,12
1271,0,-183,0,90,1,topo,12
1304,0,-174,0,90,1,topo,12
1356,0,-173,0,90,1,topo,12
1395,0,-186,0,90,1,topo,12
1453,0,-194,0,90,1,topo,12
1489,0,-212,0,90,1,topo,12
1536,0,-213,0,90,1,topo,12
1613,0,-212,0,90,1,topo,12
1666,0,-199,0,90,1,topo,12
1710,0,-181,0,90,1,topo,12
1763,0,-162,0,90,1,topo,12
1787,0,-147,0,90,1,topo,12
1817,0,-136,0,90,1,topo,12
1837,0,-135,0,90,1,topo,12
1873,0,-145,0,90,1,topo,12
1902,0,-154,0,90,1,topo,12
1963,0,-178,0,90,1,topo,12
2014,0,-196,0,90,1,topo,12
2032,0,-209,0,90,1,topo,12
326,0,-124,0,90,1,SanhedongFm,AB
442,0,-166,0,90,1,SanhedongFm,AB
504,0,-186,0,90,1,SanhedongFm,AB
543,0,-190,0,90,1,SanhedongFm,AB
602,0,-196,0,90,1,SanhedongFm,AB
664,0,-188,0,90,1,SanhedongFm,AB
700,0,-169,0,90,1,SanhedongFm,AB
872,0,-89,0,90,1,SanhedongFm,AB
1024,0,-13,0,90,1,SanhedongFm,AB
1127,0,0,0,90,1,SanhedongFm,AB
1285,0,-13,0,90,1,SanhedongFm,AB
1402,0,-24,0,90,1,SanhedongFm,AB
1508,0,-28,0,90,1,SanhedongFm,AB
1622,0,-50,0,90,1,SanhedongFm,AB
1712,0,-75,0,90,1,SanhedongFm,AB
1766,0,-119,0,90,1,SanhedongFm,AB
1806,0,-152,0,90,1,SanhedongFm,AB
1845,0,-184,0,90,1,SanhedongFm,AB
1875,0,-217,0,90,1,SanhedongFm,AB
1906,0,-257,0,90,1,SanhedongFm,AB
1932,0,-285,0,90,1,SanhedongFm,AB
1963,0,-325,0,90,1,SanhedongFm,AB
1991,0,-354,0,90,1,SanhedongFm,AB
1997,0,-375,0,90,1,SanhedongFm,AB
2028,0,-411,0,90,1,SanhedongFm,AB
2041,0,-441,0,90,1,SanhedongFm,AB
2051,0,-453,0,90,1,SanhedongFm,AB
213,0,-246,0,90,1,HuakaizuoFm,AB
283,0,-256,0,90,1,HuakaizuoFm,AB
339,0,-258,0,90,1,HuakaizuoFm,AB
402,0,-258,0,90,1,HuakaizuoFm,AB
500,0,-228,0,90,1,HuakaizuoFm,AB
546,0,-216,0,90,1,HuakaizuoFm,AB
616,0,-218,0,90,1,HuakaizuoFm,AB
670,0,-219,0,90,1,HuakaizuoFm,AB
736,0,-211,0,90,1,HuakaizuoFm,AB
828,0,-189,0,90,1,HuakaizuoFm,AB
890,0,-154,0,90,1,HuakaizuoFm,AB
950,0,-117,0,90,1,HuakaizuoFm,AB
1024,0,-64,0,90,1,HuakaizuoFm,AB
1121,0,-60,0,90,1,HuakaizuoFm,AB
1194,0,-80,0,90,1,HuakaizuoFm,AB
1287,0,-100,0,90,1,HuakaizuoFm,AB
1327,0,-122,0,90,1,HuakaizuoFm,AB
1446,0,-177,0,90,1,HuakaizuoFm,AB
1501,0,-202,0,90,1,HuakaizuoFm,AB
1548,0,-235,0,90,1,HuakaizuoFm,AB
1586,0,-276,0,90,1,HuakaizuoFm,AB
1629,0,-312,0,90,1,HuakaizuoFm,AB
1675,0,-349,0,90,1,HuakaizuoFm,AB
1715,0,-402,0,90,1,HuakaizuoFm,AB
1751,0,-450,0,90,1,HuakaizuoFm,AB
1779,0,-490,0,90,1,HuakaizuoFm,AB
1818,0,-544,0,90,1,HuakaizuoFm,AB
1845,0,-578,0,90,1,HuakaizuoFm,AB
1854,0,-600,0,90,1,HuakaizuoFm,AB
207,0,-482,0,90,1,UpperYunlongFm,AB
226,0,-461,0,90,1,UpperYunlongFm,AB
283,0,-429,0,90,1,UpperYunlongFm,AB
374,0,-419,0,90,1,UpperYunlongFm,AB
466,0,-411,0,90,1,UpperYunlongFm,AB
541,0,-407,0,90,1,UpperYunlongFm,AB
623,0,-404,0,90,1,UpperYunlongFm,AB
693,0,-402,0,90,1,UpperYunlongFm,AB
