X,Y,Z,dip,azimuth,polarity,formation,section
1025,-308,-512,0,90,1,topo,CD
1025,-388,-469,0,90,1,topo,CD
1025,-464,-434,0,90,1,topo,CD
1025,-524,-396,0,90,1,topo,CD
1025,-625,-355,0,90,1,topo,CD
1025,-709,-335,0,90,1,topo,CD
1025,-814,-295,0,90,1,topo,CD
1025,-888,-267,0,90,1,topo,CD
1025,-977,-233,0,90,1,topo,CD
1025,-1052,-201,0,90,1,topo,CD
1025,-1116,-167,0,90,1,topo,CD
1025,-1141,-156,0,90,1,topo,CD
1025,-1189,-151,0,90,1,topo,CD
1025,-1226,-147,0,90,1,topo,CD
1025,-1293,-152,0,90,1,topo,CD
1025,-1332,-141,0,90,1,topo,CD
1025,-1399,-118,0,90,1,topo,CD
1025,-1438,-96,0,90,1,topo,CD
1025,-1510,-68,0,90,1,topo,CD
1025,-1563,-42,0,90,1,topo,CD
1025,-1647,0,0,90,1,topo,CD
1025,-1734,-7,0,90,1,topo,CD
1025,-1777,-26,0,90,1,topo,CD
1025,-1829,-50,0,90,1,topo,CD
1025,-1866,-89,0,90,1,topo,CD
1025,-1959,-121,0,90,1,topo,CD
1025,-2003,-127,0,90,1,topo,CD
1025,-2047,-136,0,90,1,topo,CD
1025,-2129,-160,0,90,1,topo,CD
1025,-2211,-182,0,90,1,topo,CD
1025,-2294,-208,0,90,1,topo,CD
1025,-1344,-1,0,90,1,SanhedongFm,CD
1025,-1417,-44,0,90,1,SanhedongFm,CD
1025,-1471,-67,0,90,1,SanhedongFm,CD
1025,-1551,-90,0,90,1,SanhedongFm,CD
1025,-1627,-91,0,90,1,SanhedongFm,CD
1025,-1740,-96,0,90,1,SanhedongFm,CD
1025,-1824,-99,0,90,1,SanhedongFm,CD
1025,-1885,-104,0,90,1,SanhedongFm,CD
1025,-1934,-90,0,90,1,SanhedongFm,CD
1025,-2019,-54,0,90,1,SanhedongFm,CD
1025,-1003,-52,0,90,1,HuakaizuoFm,CD
1025,-1115,-82,0,90,1,HuakaizuoFm,CD
1025,-1244,-111,0,90,1,HuakaizuoFm,CD
1025,-1337,-156,0,90,1,HuakaizuoFm,CD
1025,-1443,-182,0,90,1,HuakaizuoFm,CD
1025,-1556,-196,0,90,1,HuakaizuoFm,CD
1025,-1632,-188,0,90,1,HuakaizuoFm,CD
1025,-1751,-165,0,90,1,HuakaizuoFm,CD
1025,-1877,-152,0,90,1,HuakaizuoFm,CD
1025,-2032,-164,0,90,1,HuakaizuoFm,CD
1025,-2167,-179,0,90,1,HuakaizuoFm,CD
1025,-2238,-195,0,90,1,HuakaizuoFm,CD
1025,-256,-694,0,90,1,UpperYunlongFm,CD
1025,-349,-676,0,90,1,UpperYunlongFm,CD
1025,-488,-650,0,90,1,UpperYunlongFm,CD
1025,-597,-641,0,90,1,UpperYunlongFm,CD
1025,-668,-625,0,90,1,UpperYunlongFm,CD
1025,-814,-613,0,90,1,UpperYunlongFm,CD
1025,-967,-605,0,90,1,UpperYunlongFm,CD
1025,-1103,-596,0,90,1,UpperYunlongFm,CD
1025,-1210,-585,0,90,1,UpperYunlongFm,CD
1025,-1413,-576,0,90,1,UpperYunlongFm,CD
1025,-1500,-562,0,90,1,UpperYunlongFm,CD
1025,-1600,-575,0,90,1,UpperYunlongFm,CD
1025,-1677,-624,0,90,1,UpperYunlongFm,CD
1025,-1774,-681,0,90,1,UpperYunlongFm,CD
1025,-1879,-745,0,90,1,UpperYunlongFm,CD
1025,-2006,-801,0,90,1,UpperYunlongFm,CD
1025,-2152,-874,0,90,1,UpperYunlongFm,CD
1025,-2253,-934,0,90,1,UpperYunlongFm,CD
1025,-333,-1021,0,90,1,LowerYunlongFm,CD
1025,-453,-954,0,90,1,LowerYunlongFm,CD
1025,-570,-900,0,90,1,LowerYunlongFm,CD
1025,-766,-860,0,90,1,LowerYunlongFm,CD
1025,-980,-857,0,90,1,LowerYunlongFm,CD
1025,-1197,-853,0,90,1,LowerYunlongFm,CD
1025,-1396,-843,0,90,1,LowerYunlongFm,CD
1025,-1563,-846,0,90,1,LowerYunlongFm,CD
1025,-1686,-856,0,90,1,LowerYunlongFm,CD
1025,-1882,-932,0,90,1,LowerYunlongFm,CD
1025,-1991,-986,0,90,1,LowerYunlongFm,CD
1025,-2133,-1060,0,90,1,LowerYunlongFm,CD
1025,-2230,-1104,0,90,1,LowerYunlongFm,CD
