X,Y,Z,formation,section
1025,-308,-512,topo,CD
1025,-388,-469,topo,CD
1025,-464,-434,topo,CD
1025,-524,-396,topo,CD
1025,-625,-355,topo,CD
1025,-709,-335,topo,CD
1025,-814,-295,topo,CD
1025,-888,-267,topo,CD
1025,-977,-233,topo,CD
1025,-1052,-201,topo,CD
1025,-1116,-167,topo,CD
1025,-1141,-156,topo,CD
1025,-1189,-151,topo,CD
1025,-1226,-147,topo,CD
1025,-1293,-152,topo,CD
1025,-1332,-141,topo,CD
1025,-1399,-118,topo,CD
1025,-1438,-96,topo,CD
1025,-1510,-68,topo,CD
1025,-1563,-42,topo,CD
1025,-1647,0,topo,CD
1025,-1734,-7,topo,CD
1025,-1777,-26,topo,CD
1025,-1829,-50,topo,CD
1025,-1866,-89,topo,CD
1025,-1959,-121,topo,CD
1025,-2003,-127,topo,CD
1025,-2047,-136,topo,CD
1025,-2129,-160,topo,CD
1025,-2211,-182,topo,CD
1025,-2294,-208,topo,CD
1025,-1344,-1,SanhedongFm,CD
1025,-1417,-44,SanhedongFm,CD
1025,-1471,-67,SanhedongFm,CD
1025,-1551,-90,SanhedongFm,CD
1025,-1627,-91,SanhedongFm,CD
1025,-1740,-96,SanhedongFm,CD
1025,-1824,-99,SanhedongFm,CD
1025,-1885,-104,SanhedongFm,CD
1025,-1934,-90,SanhedongFm,CD
1025,-2019,-54,SanhedongFm,CD
1025,-1003,-52,HuakaizuoFm,CD
1025,-1115,-82,HuakaizuoFm,CD
1025,-1244,-111,HuakaizuoFm,CD
1025,-1337,-156,HuakaizuoFm,CD
1025,-1443,-182,HuakaizuoFm,CD
1025,-1556,-196,HuakaizuoFm,CD
1025,-1632,-188,HuakaizuoFm,CD
1025,-1751,-165,HuakaizuoFm,CD
1025,-1877,-152,HuakaizuoFm,CD
1025,-2032,-164,HuakaizuoFm,CD
1025,-2167,-179,HuakaizuoFm,CD
1025,-2238,-195,HuakaizuoFm,CD
1025,-256,-694,UpperYunlongFm,CD
1025,-349,-676,UpperYunlongFm,CD
1025,-488,-650,UpperYunlongFm,CD
1025,-597,-641,UpperYunlongFm,CD
1025,-668,-625,UpperYunlongFm,CD
1025,-814,-613,UpperYunlongFm,CD
1025,-967,-605,UpperYunlongFm,CD
1025,-1103,-596,UpperYunlongFm,CD
1025,-1210,-585,UpperYunlongFm,CD
1025,-1413,-576,UpperYunlongFm,CD
1025,-1500,-562,UpperYunlongFm,CD
1025,-1600,-575,UpperYunlongFm,CD
1025,-1677,-624,UpperYunlongFm,CD
1025,-1774,-681,UpperYunlongFm,CD
1025,-1879,-745,UpperYunlongFm,CD
1025,-2006,-801,UpperYunlongFm,CD
1025,-2152,-874,UpperYunlongFm,CD
1025,-2253,-934,UpperYunlongFm,CD
1025,-333,-1021,LowerYunlongFm,CD
1025,-453,-954,LowerYunlongFm,CD
1025,-570,-900,LowerYunlongFm,CD
1025,-766,-860,LowerYunlongFm,CD
1025,-980,-857,LowerYunlongFm,CD
1025,-1197,-853,LowerYunlongFm,CD
1025,-1396,-843,LowerYunlongFm,CD
1025,-1563,-846,LowerYunlongFm,CD
1025,-1686,-856,LowerYunlongFm,CD
1025,-1882,-932,LowerYunlongFm,CD
1025,-1991,-986,LowerYunlongFm,CD
1025,-2133,-1060,LowerYunlongFm,CD
1025,-2230,-1104,LowerYunlongFm,CD
