X,Y,Z,formation,section
1025,-52,-512,topo,CD
1025,-132,-469,topo,CD
1025,-208,-434,topo,CD
1025,-268,-396,topo,CD
1025,-369,-355,topo,CD
1025,-453,-335,topo,CD
1025,-558,-295,topo,CD
1025,-632,-267,topo,CD
1025,-721,-233,topo,CD
1025,-796,-201,topo,CD
1025,-860,-167,topo,CD
1025,-885,-156,topo,CD
1025,-933,-151,topo,CD
1025,-970,-147,topo,CD
1025,-1037,-152,topo,CD
1025,-1076,-141,topo,CD
1025,-1143,-118,topo,CD
1025,-1182,-96,topo,CD
1025,-1254,-68,topo,CD
1025,-1307,-42,topo,CD
1025,-1391,0,topo,CD
1025,-1478,-7,topo,CD
1025,-1521,-26,topo,CD
1025,-1573,-50,topo,CD
1025,-1610,-89,topo,CD
1025,-1703,-121,topo,CD
1025,-1747,-127,topo,CD
1025,-1791,-136,topo,CD
1025,-1873,-160,topo,CD
1025,-1955,-182,topo,CD
1025,-2038,-208,topo,CD
1025,-1088,-1,SanhedongFm,CD
1025,-1161,-44,SanhedongFm,CD
1025,-1215,-67,SanhedongFm,CD
1025,-1295,-90,SanhedongFm,CD
1025,-1371,-91,SanhedongFm,CD
1025,-1484,-96,SanhedongFm,CD
1025,-1568,-99,SanhedongFm,CD
1025,-1629,-104,SanhedongFm,CD
1025,-1678,-90,SanhedongFm,CD
1025,-1763,-54,SanhedongFm,CD
1025,-747,-52,HuakaizuoFm,CD
1025,-859,-82,HuakaizuoFm,CD
1025,-988,-111,HuakaizuoFm,CD
1025,-1081,-156,HuakaizuoFm,CD
1025,-1187,-182,HuakaizuoFm,CD
1025,-1300,-196,HuakaizuoFm,CD
1025,-1376,-188,HuakaizuoFm,CD
1025,-1495,-165,HuakaizuoFm,CD
1025,-1621,-152,HuakaizuoFm,CD
1025,-1776,-164,HuakaizuoFm,CD
1025,-1911,-179,HuakaizuoFm,CD
1025,-1982,-195,HuakaizuoFm,CD
1025,0,-694,UpperYunlongFm,CD
1025,-93,-676,UpperYunlongFm,CD
1025,-232,-650,UpperYunlongFm,CD
1025,-341,-641,UpperYunlongFm,CD
1025,-412,-625,UpperYunlongFm,CD
1025,-558,-613,UpperYunlongFm,CD
1025,-711,-605,UpperYunlongFm,CD
1025,-847,-596,UpperYunlongFm,CD
1025,-954,-585,UpperYunlongFm,CD
1025,-1157,-576,UpperYunlongFm,CD
1025,-1244,-562,UpperYunlongFm,CD
1025,-1344,-575,UpperYunlongFm,CD
1025,-1421,-624,UpperYunlongFm,CD
1025,-1518,-681,UpperYunlongFm,CD
1025,-1623,-745,UpperYunlongFm,CD
1025,-1750,-801,UpperYunlongFm,CD
1025,-1896,-874,UpperYunlongFm,CD
1025,-1997,-934,UpperYunlongFm,CD
1025,-77,-1021,LowerYunlongFm,CD
1025,-197,-954,LowerYunlongFm,CD
1025,-314,-900,LowerYunlongFm,CD
1025,-510,-860,LowerYunlongFm,CD
1025,-724,-857,LowerYunlongFm,CD
1025,-941,-853,LowerYunlongFm,CD
1025,-1140,-843,LowerYunlongFm,CD
1025,-1307,-846,LowerYunlongFm,CD
1025,-1430,-856,LowerYunlongFm,CD
1025,-1626,-932,LowerYunlongFm,CD
1025,-1735,-986,LowerYunlongFm,CD
1025,-1877,-1060,LowerYunlongFm,CD
1025,-1974,-1104,LowerYunlongFm,CD
