X,Y,Z,formation,section
304,0,-629,HuakaizuoFm,AB
374,0,-639,HuakaizuoFm,AB
430,0,-641,HuakaizuoFm,AB
493,0,-641,HuakaizuoFm,AB
591,0,-611,HuakaizuoFm,AB
637,0,-599,HuakaizuoFm,AB
707,0,-601,HuakaizuoFm,AB
761,0,-602,HuakaizuoFm,AB
827,0,-594,HuakaizuoFm,AB
919,0,-572,HuakaizuoFm,AB
981,0,-537,HuakaizuoFm,AB
1041,0,-500,HuakaizuoFm,AB
1115,0,-447,HuakaizuoFm,AB
1212,0,-443,HuakaizuoFm,AB
1285,0,-463,HuakaizuoFm,AB
1378,0,-483,HuakaizuoFm,AB
1418,0,-505,HuakaizuoFm,AB
1537,0,-560,HuakaizuoFm,AB
1592,0,-585,HuakaizuoFm,AB
1639,0,-618,HuakaizuoFm,AB
1677,0,-659,HuakaizuoFm,AB
1720,0,-695,HuakaizuoFm,AB
1766,0,-732,HuakaizuoFm,AB
1806,0,-785,HuakaizuoFm,AB
1842,0,-833,HuakaizuoFm,AB
1870,0,-873,HuakaizuoFm,AB
1909,0,-927,HuakaizuoFm,AB
1936,0,-961,HuakaizuoFm,AB
1945,0,-983,HuakaizuoFm,AB
