X,Y,Z,formation,section
91,0,-1133,LowerYunlongFm,AB
169,0,-1103,LowerYunlongFm,AB
239,0,-1067,LowerYunlongFm,AB
311,0,-1034,LowerYunlongFm,AB
366,0,-1003,LowerYunlongFm,AB
475,0,-970,LowerYunlongFm,AB
511,0,-953,LowerYunlongFm,AB
615,0,-955,LowerYunlongFm,AB
693,0,-953,LowerYunlongFm,AB
749,0,-946,LowerYunlongFm,AB
801,0,-929,LowerYunlongFm,AB
861,0,-916,LowerYunlongFm,AB
922,0,-864,LowerYunlongFm,AB
964,0,-824,LowerYunlongFm,AB
988,0,-769,LowerYunlongFm,AB
1002,0,-737,LowerYunlongFm,AB
1019,0,-713,LowerYunlongFm,AB
1041,0,-699,LowerYunlongFm,AB
1071,0,-690,LowerYunlongFm,AB
1102,0,-706,LowerYunlongFm,AB
1159,0,-730,LowerYunlongFm,AB
1263,0,-760,LowerYunlongFm,AB
1342,0,-791,LowerYunlongFm,AB
1414,0,-838,LowerYunlongFm,AB
1497,0,-886,LowerYunlongFm,AB
1540,0,-935,LowerYunlongFm,AB
1603,0,-991,LowerYunlongFm,AB
1678,0,-1047,LowerYunlongFm,AB
