X,Y,Z,formation,section
417,0,-507,SanhedongFm,AB
533,0,-549,SanhedongFm,AB
595,0,-569,SanhedongFm,AB
634,0,-573,SanhedongFm,AB
693,0,-579,SanhedongFm,AB
755,0,-571,SanhedongFm,AB
791,0,-552,SanhedongFm,AB
963,0,-472,SanhedongFm,AB
1115,0,-396,SanhedongFm,AB
1218,0,-383,SanhedongFm,AB
1376,0,-396,SanhedongFm,AB
1493,0,-407,SanhedongFm,AB
1599,0,-411,SanhedongFm,AB
1713,0,-433,SanhedongFm,AB
1803,0,-458,SanhedongFm,AB
1857,0,-502,SanhedongFm,AB
1897,0,-535,SanhedongFm,AB
1936,0,-567,SanhedongFm,AB
1966,0,-600,SanhedongFm,AB
1997,0,-640,SanhedongFm,AB
2023,0,-668,SanhedongFm,AB
2054,0,-708,SanhedongFm,AB
2082,0,-737,SanhedongFm,AB
2088,0,-758,SanhedongFm,AB
2119,0,-794,SanhedongFm,AB
2132,0,-824,SanhedongFm,AB
2142,0,-836,SanhedongFm,AB
