X,Y,Z,formation,section
298,0,-865,UpperYunlongFm,AB
317,0,-844,UpperYunlongFm,AB
374,0,-812,UpperYunlongFm,AB
465,0,-802,UpperYunlongFm,AB
557,0,-794,UpperYunlongFm,AB
632,0,-790,UpperYunlongFm,AB
714,0,-787,UpperYunlongFm,AB
784,0,-785,UpperYunlongFm,AB
835,0,-768,UpperYunlongFm,AB
898,0,-735,UpperYunlongFm,AB
936,0,-721,UpperYunlongFm,AB
957,0,-707,UpperYunlongFm,AB
993,0,-663,UpperYunlongFm,AB
1039,0,-630,UpperYunlongFm,AB
1132,0,-601,UpperYunlongFm,AB
1214,0,-592,UpperYunlongFm,AB
1301,0,-587,UpperYunlongFm,AB
1359,0,-604,UpperYunlongFm,AB
1437,0,-648,UpperYunlongFm,AB
1462,0,-675,UpperYunlongFm,AB
1535,0,-722,UpperYunlongFm,AB
1588,0,-746,UpperYunlongFm,AB
1645,0,-793,UpperYunlongFm,AB
1685,0,-834,UpperYunlongFm,AB
1739,0,-882,UpperYunlongFm,AB
1777,0,-931,UpperYunlongFm,AB
1795,0,-971,UpperYunlongFm,AB
1832,0,-1025,UpperYunlongFm,AB
