X,Y,Z,formation,section
1025,-78,-960,UpperYunlongFm,CD
1025,-171,-942,UpperYunlongFm,CD
1025,-310,-916,UpperYunlongFm,CD
1025,-419,-907,UpperYunlongFm,CD
1025,-490,-891,UpperYunlongFm,CD
1025,-636,-879,UpperYunlongFm,CD
1025,-789,-871,UpperYunlongFm,CD
1025,-925,-862,UpperYunlongFm,CD
1025,-1032,-851,UpperYunlongFm,CD
1025,-1235,-842,UpperYunlongFm,CD
1025,-1322,-828,UpperYunlongFm,CD
1025,-1422,-841,UpperYunlongFm,CD
1025,-1499,-890,UpperYunlongFm,CD
1025,-1596,-947,UpperYunlongFm,CD
1025,-1701,-1011,UpperYunlongFm,CD
1025,-1828,-1067,UpperYunlongFm,CD
1025,-1974,-1140,UpperYunlongFm,CD
1025,-2075,-1200,UpperYunlongFm,CD
