X,Y,Z,formation,section
163,0,-710,topo,12
195,0,-714,topo,12
227,0,-702,topo,12
281,0,-692,topo,12
316,0,-671,topo,12
369,0,-647,topo,12
407,0,-635,topo,12
458,0,-614,topo,12
521,0,-593,topo,12
585,0,-574,topo,12
653,0,-559,topo,12
682,0,-552,topo,12
714,0,-551,topo,12
744,0,-552,topo,12
782,0,-566,topo,12
830,0,-591,topo,12
896,0,-612,topo,12
926,0,-629,topo,12
957,0,-654,topo,12
1016,0,-672,topo,12
1040,0,-686,topo,12
1068,0,-695,topo,12
1093,0,-682,topo,12
1112,0,-677,topo,12
1149,0,-677,topo,12
1208,0,-643,topo,12
1255,0,-615,topo,12
1338,0,-587,topo,12
1362,0,-566,topo,12
1395,0,-557,topo,12
1447,0,-556,topo,12
1486,0,-569,topo,12
1544,0,-577,topo,12
1580,0,-595,topo,12
1627,0,-596,topo,12
1704,0,-595,topo,12
1757,0,-582,topo,12
1801,0,-564,topo,12
1854,0,-545,topo,12
1878,0,-530,topo,12
1908,0,-519,topo,12
1928,0,-518,topo,12
1964,0,-528,topo,12
1993,0,-537,topo,12
2054,0,-561,topo,12
2105,0,-579,topo,12
2123,0,-592,topo,12
