X,Y,Z,formation,section
1025,-130,-778,topo,CD
1025,-210,-735,topo,CD
1025,-286,-700,topo,CD
1025,-346,-662,topo,CD
1025,-447,-621,topo,CD
1025,-531,-601,topo,CD
1025,-636,-561,topo,CD
1025,-710,-533,topo,CD
1025,-799,-499,topo,CD
1025,-874,-467,topo,CD
1025,-938,-433,topo,CD
1025,-963,-422,topo,CD
1025,-1011,-417,topo,CD
1025,-1048,-413,topo,CD
1025,-1115,-418,topo,CD
1025,-1154,-407,topo,CD
1025,-1221,-384,topo,CD
1025,-1260,-362,topo,CD
1025,-1332,-334,topo,CD
1025,-1385,-308,topo,CD
1025,-1469,-266,topo,CD
1025,-1556,-273,topo,CD
1025,-1599,-292,topo,CD
1025,-1651,-316,topo,CD
1025,-1688,-355,topo,CD
1025,-1781,-387,topo,CD
1025,-1825,-393,topo,CD
1025,-1869,-402,topo,CD
1025,-1951,-426,topo,CD
1025,-2033,-448,topo,CD
1025,-2116,-474,topo,CD
