X,Y,Z,formation
767.75,10.0,-692.0,7.0
767.75,10.0,-676.0,7.0
767.75,10.0,-660.0,7.0
767.75,30.0,-692.0,7.0
767.75,30.0,-676.0,7.0
767.75,30.0,-660.0,7.0
767.75,50.0,-692.0,7.0
767.75,50.0,-676.0,7.0
767.75,50.0,-660.0,7.0
767.75,70.0,-692.0,7.0
767.75,70.0,-676.0,7.0
767.75,70.0,-660.0,7.0
767.75,90.0,-692.0,7.0
767.75,90.0,-676.0,7.0
767.75,90.0,-660.0,7.0
767.75,110.0,-692.0,7.0
767.75,110.0,-676.0,7.0
767.75,110.0,-660.0,7.0
767.75,130.0,-692.0,7.0
767.75,130.0,-676.0,7.0
767.75,150.0,-692.0,7.0
767.75,150.0,-676.0,7.0
767.75,170.0,-692.0,7.0
767.75,170.0,-676.0,7.0
767.75,190.0,-692.0,7.0
767.75,210.0,-692.0,7.0
767.75,230.0,-692.0,7.0
809.25,10.0,-692.0,7.0
809.25,10.0,-676.0,7.0
809.25,10.0,-660.0,7.0
809.25,10.0,-644.0,7.0
809.25,10.0,-628.0,7.0
809.25,10.0,-612.0,7.0
809.25,10.0,-596.0,7.0
809.25,10.0,-580.0,7.0
809.25,30.0,-692.0,7.0
809.25,30.0,-676.0,7.0
809.25,30.0,-660.0,7.0
809.25,30.0,-644.0,7.0
809.25,30.0,-628.0,7.0
809.25,30.0,-612.0,7.0
809.25,30.0,-596.0,7.0
809.25,30.0,-580.0,7.0
809.25,50.0,-692.0,7.0
809.25,50.0,-676.0,7.0
809.25,50.0,-660.0,7.0
809.25,50.0,-644.0,7.0
809.25,50.0,-628.0,7.0
809.25,50.0,-612.0,7.0
809.25,50.0,-596.0,7.0
809.25,50.0,-580.0,7.0
809.25,70.0,-692.0,7.0
809.25,70.0,-676.0,7.0
809.25,70.0,-660.0,7.0
809.25,70.0,-644.0,7.0
809.25,70.0,-628.0,7.0
809.25,70.0,-612.0,7.0
809.25,70.0,-596.0,7.0
809.25,90.0,-692.0,7.0
809.25,90.0,-676.0,7.0
809.25,90.0,-660.0,7.0
809.25,90.0,-644.0,7.0
809.25,90.0,-628.0,7.0
809.25,90.0,-612.0,7.0
809.25,90.0,-596.0,7.0
809.25,110.0,-692.0,7.0
809.25,110.0,-676.0,7.0
809.25,110.0,-660.0,7.0
809.25,110.0,-644.0,7.0
809.25,110.0,-628.0,7.0
809.25,110.0,-612.0,7.0
809.25,130.0,-692.0,7.0
809.25,130.0,-676.0,7.0
809.25,130.0,-660.0,7.0
809.25,130.0,-644.0,7.0
809.25,130.0,-628.0,7.0
809.25,130.0,-612.0,7.0
809.25,150.0,-692.0,7.0
809.25,150.0,-676.0,7.0
809.25,150.0,-660.0,7.0
809.25,150.0,-644.0,7.0
809.25,150.0,-628.0,7.0
809.25,170.0,-692.0,7.0
809.25,170.0,-676.0,7.0
809.25,170.0,-660.0,7.0
809.25,170.0,-644.0,7.0
809.25,170.0,-628.0,7.0
809.25,190.0,-692.0,7.0
809.25,190.0,-676.0,7.0
809.25,190.0,-660.0,7.0
809.25,190.0,-644.0,7.0
809.25,210.0,-692.0,7.0
809.25,210.0,-676.0,7.0
809.25,210.0,-660.0,7.0
809.25,210.0,-644.0,7.0
809.25,230.0,-692.0,7.0
809.25,230.0,-676.0,7.0
809.25,230.0,-660.0,7.0
809.25,250.0,-692.0,7.0
809.25,250.0,-676.0,7.0
