X,Y,Z,formation
103.75,170.0,-692.0,7.0
103.75,190.0,-692.0,7.0
103.75,210.0,-692.0,7.0
103.75,230.0,-692.0,7.0
103.75,250.0,-692.0,7.0
103.75,270.0,-692.0,7.0
103.75,290.0,-692.0,7.0
103.75,290.0,-676.0,7.0
103.75,310.0,-692.0,7.0
103.75,310.0,-676.0,7.0
103.75,330.0,-692.0,7.0
103.75,330.0,-676.0,7.0
103.75,350.0,-692.0,7.0
103.75,350.0,-676.0,7.0
103.75,370.0,-692.0,7.0
103.75,370.0,-676.0,7.0
103.75,390.0,-692.0,7.0
103.75,390.0,-676.0,7.0
103.75,410.0,-692.0,7.0
103.75,430.0,-692.0,7.0
145.25,110.0,-692.0,7.0
145.25,130.0,-692.0,7.0
145.25,150.0,-692.0,7.0
145.25,150.0,-676.0,7.0
145.25,170.0,-692.0,7.0
145.25,170.0,-676.0,7.0
145.25,190.0,-692.0,7.0
145.25,210.0,-692.0,7.0
145.25,230.0,-692.0,7.0
145.25,250.0,-692.0,7.0
145.25,270.0,-692.0,7.0
145.25,270.0,-676.0,7.0
145.25,290.0,-692.0,7.0
145.25,290.0,-676.0,7.0
145.25,310.0,-692.0,7.0
145.25,310.0,-676.0,7.0
145.25,330.0,-692.0,7.0
145.25,330.0,-676.0,7.0
145.25,350.0,-692.0,7.0
145.25,350.0,-676.0,7.0
145.25,370.0,-692.0,7.0
145.25,370.0,-676.0,7.0
145.25,390.0,-692.0,7.0
145.25,390.0,-676.0,7.0
145.25,410.0,-692.0,7.0
145.25,410.0,-676.0,7.0
145.25,430.0,-692.0,7.0
145.25,430.0,-676.0,7.0
145.25,450.0,-692.0,7.0
145.25,470.0,-692.0,7.0
145.25,490.0,-692.0,7.0
186.75,170.0,-692.0,7.0
186.75,190.0,-692.0,7.0
186.75,210.0,-692.0,7.0
186.75,230.0,-692.0,7.0
186.75,250.0,-692.0,7.0
186.75,270.0,-692.0,7.0
186.75,290.0,-692.0,7.0
186.75,310.0,-692.0,7.0
186.75,330.0,-692.0,7.0
186.75,350.0,-692.0,7.0
186.75,370.0,-692.0,7.0
186.75,390.0,-692.0,7.0
186.75,410.0,-692.0,7.0
186.75,430.0,-692.0,7.0
186.75,450.0,-692.0,7.0
186.75,450.0,-676.0,7.0
