X;Y;Z;formation
145.25;870;89;topo
145.25;870;-285;HuakaizuoFm
145.25;870;-307;UpperYunlongFm
145.25;870;-505;LowerYunlongFm
145.25;870;-615;HutoushiFm
1639.25;710;89;topo
1639.25;710;-219;SanhedongFm
1639.25;710;-417;HuakaizuoFm
1639.25;710;-461;UpperYunlongFm
1639.25;710;-769;LowerYunlongFm
1639.25;710;-945;HutoushiFm
1929.75;530;89;topo
1929.75;530;-197;SanhedongFm
1929.75;530;-593;HuakaizuoFm
1929.75;530;-681;UpperYunlongFm
394.25;990;89;topo
394.25;990;-285;HuakaizuoFm
394.25;990;-307;UpperYunlongFm
394.25;990;-505;LowerYunlongFm
394.25;990;-615;HutoushiFm
1680.75;750;89;topo
1680.75;750;-219;SanhedongFm
1680.75;750;-461;HuakaizuoFm
1680.75;750;-527;UpperYunlongFm
1680.75;750;-835;LowerYunlongFm
1680.75;730;89;topo
1680.75;730;-219;SanhedongFm
1680.75;730;-461;HuakaizuoFm
1680.75;730;-505;UpperYunlongFm
1680.75;730;-813;LowerYunlongFm
1058.25;850;89;topo
1058.25;850;-241;SanhedongFm
1058.25;850;-263;HuakaizuoFm
1058.25;850;-307;UpperYunlongFm
1058.25;850;-505;LowerYunlongFm
1058.25;850;-637;HutoushiFm
643.25;630;89;topo
643.25;630;-241;HuakaizuoFm
643.25;630;-263;UpperYunlongFm
643.25;630;-461;LowerYunlongFm
643.25;630;-571;HutoushiFm
1929.75;770;89;topo
1929.75;770;-219;SanhedongFm
1929.75;770;-703;HuakaizuoFm
1929.75;770;-769;UpperYunlongFm
1265.75;670;89;topo
1265.75;670;-219;HuakaizuoFm
1265.75;670;-263;UpperYunlongFm
1265.75;670;-483;LowerYunlongFm
1265.75;670;-615;HutoushiFm
228.25;130;89;topo
228.25;130;-307;UpperYunlongFm
228.25;130;-483;LowerYunlongFm
228.25;130;-637;HutoushiFm
1888.25;130;89;topo
1888.25;130;-175;SanhedongFm
1888.25;130;-307;HuakaizuoFm
1888.25;130;-571;UpperYunlongFm
1888.25;130;-901;LowerYunlongFm
1805.25;750;89;topo
1805.25;750;-219;SanhedongFm
1805.25;750;-571;HuakaizuoFm
1805.25;750;-637;UpperYunlongFm
1805.25;750;-967;LowerYunlongFm
1888.25;870;89;topo
1888.25;870;-219;SanhedongFm
1888.25;870;-703;HuakaizuoFm
1888.25;870;-769;UpperYunlongFm
1224.25;370;89;topo
1224.25;370;-241;UpperYunlongFm
1224.25;370;-329;LowerYunlongFm
1224.25;370;-461;HutoushiFm
352.75;570;89;topo
352.75;570;-263;HuakaizuoFm
352.75;570;-285;UpperYunlongFm
352.75;570;-483;LowerYunlongFm
352.75;570;-593;HutoushiFm
809.25;890;89;topo
809.25;890;-241;SanhedongFm
809.25;890;-263;HuakaizuoFm
809.25;890;-307;UpperYunlongFm
809.25;890;-505;LowerYunlongFm
809.25;890;-615;HutoushiFm
1929.75;270;89;topo
1929.75;270;-197;SanhedongFm
1929.75;270;-483;HuakaizuoFm
1929.75;270;-593;UpperYunlongFm
1473.25;750;89;topo
1473.25;750;-219;SanhedongFm
1473.25;750;-329;HuakaizuoFm
1473.25;750;-373;UpperYunlongFm
1473.25;750;-637;LowerYunlongFm
1473.25;750;-791;HutoushiFm
1556.25;90;89;topo
1556.25;90;-219;HuakaizuoFm
1556.25;90;-241;UpperYunlongFm
1556.25;90;-439;LowerYunlongFm
1556.25;90;-637;HutoushiFm
1058.25;210;89;topo
1058.25;210;-285;LowerYunlongFm
1058.25;210;-373;HutoushiFm
2012.75;630;89;topo
2012.75;630;-219;SanhedongFm
2012.75;630;-747;HuakaizuoFm
2012.75;630;-835;UpperYunlongFm
477.25;230;89;topo
477.25;230;-219;HuakaizuoFm
477.25;230;-241;UpperYunlongFm
477.25;230;-439;LowerYunlongFm
477.25;230;-571;HutoushiFm
2054.25;750;89;topo
2054.25;750;-219;SanhedongFm
2054.25;750;-835;HuakaizuoFm
2054.25;750;-901;UpperYunlongFm
2012.75;970;89;topo
2012.75;970;-219;SanhedongFm
2012.75;970;-857;HuakaizuoFm
2012.75;970;-923;UpperYunlongFm
394.25;290;89;topo
394.25;290;-241;HuakaizuoFm
394.25;290;-263;UpperYunlongFm
394.25;290;-461;LowerYunlongFm
394.25;290;-571;HutoushiFm
643.25;950;89;topo
643.25;950;-263;SanhedongFm
643.25;950;-285;HuakaizuoFm
643.25;950;-329;UpperYunlongFm
643.25;950;-505;LowerYunlongFm
643.25;950;-615;HutoushiFm
767.75;250;89;topo
767.75;250;-241;UpperYunlongFm
767.75;250;-395;LowerYunlongFm
767.75;250;-505;HutoushiFm
1722.25;610;89;topo
1722.25;610;-197;SanhedongFm
1722.25;610;-417;HuakaizuoFm
1722.25;610;-483;UpperYunlongFm
1722.25;610;-813;LowerYunlongFm
518.75;190;89;topo
518.75;190;-219;HuakaizuoFm
518.75;190;-241;UpperYunlongFm
518.75;190;-439;LowerYunlongFm
518.75;190;-571;HutoushiFm
1680.75;250;89;topo
1680.75;250;-197;SanhedongFm
1680.75;250;-219;HuakaizuoFm
1680.75;250;-307;UpperYunlongFm
1680.75;250;-615;LowerYunlongFm
1680.75;250;-835;HutoushiFm
269.75;670;89;topo
269.75;670;-285;HuakaizuoFm
269.75;670;-307;UpperYunlongFm
269.75;670;-505;LowerYunlongFm
269.75;670;-615;HutoushiFm
850.75;470;89;topo
850.75;470;-241;UpperYunlongFm
850.75;470;-395;LowerYunlongFm
850.75;470;-505;HutoushiFm
186.75;170;89;topo
186.75;170;-307;UpperYunlongFm
186.75;170;-527;LowerYunlongFm
186.75;170;-659;HutoushiFm
518.75;70;89;topo
518.75;70;-197;HuakaizuoFm
518.75;70;-241;UpperYunlongFm
518.75;70;-417;LowerYunlongFm
518.75;70;-571;HutoushiFm
1224.25;830;89;topo
1224.25;830;-241;SanhedongFm
1224.25;830;-285;HuakaizuoFm
1224.25;830;-329;UpperYunlongFm
1224.25;830;-549;LowerYunlongFm
1224.25;830;-681;HutoushiFm
2012.75;590;89;topo
2012.75;590;-197;SanhedongFm
2012.75;590;-725;HuakaizuoFm
2012.75;590;-813;UpperYunlongFm
1058.25;890;89;topo
1058.25;890;-241;SanhedongFm
1058.25;890;-285;HuakaizuoFm
1058.25;890;-329;UpperYunlongFm
1058.25;890;-527;LowerYunlongFm
1058.25;890;-659;HutoushiFm
1431.75;410;89;topo
1431.75;410;-219;UpperYunlongFm
1431.75;410;-439;LowerYunlongFm
1431.75;410;-593;HutoushiFm
311.25;950;89;topo
311.25;950;-285;HuakaizuoFm
311.25;950;-307;UpperYunlongFm
311.25;950;-505;LowerYunlongFm
311.25;950;-615;HutoushiFm
809.25;130;89;topo
809.25;130;-241;UpperYunlongFm
809.25;130;-373;LowerYunlongFm
809.25;130;-505;HutoushiFm
1805.25;710;89;topo
1805.25;710;-219;SanhedongFm
1805.25;710;-549;HuakaizuoFm
1805.25;710;-615;UpperYunlongFm
1805.25;710;-945;LowerYunlongFm
1639.25;350;89;topo
1639.25;350;-197;SanhedongFm
1639.25;350;-241;HuakaizuoFm
1639.25;350;-307;UpperYunlongFm
1639.25;350;-593;LowerYunlongFm
1639.25;350;-813;HutoushiFm
1929.75;710;89;topo
1929.75;710;-219;SanhedongFm
1929.75;710;-681;HuakaizuoFm
1929.75;710;-747;UpperYunlongFm
1224.25;350;89;topo
1224.25;350;-241;UpperYunlongFm
1224.25;350;-329;LowerYunlongFm
1224.25;350;-461;HutoushiFm
601.75;950;89;topo
601.75;950;-263;SanhedongFm
601.75;950;-285;HuakaizuoFm
601.75;950;-307;UpperYunlongFm
601.75;950;-505;LowerYunlongFm
601.75;950;-615;HutoushiFm
1141.25;830;89;topo
1141.25;830;-241;SanhedongFm
1141.25;830;-263;HuakaizuoFm
1141.25;830;-307;UpperYunlongFm
1141.25;830;-527;LowerYunlongFm
1141.25;830;-637;HutoushiFm
352.75;150;89;topo
352.75;150;-241;HuakaizuoFm
352.75;150;-263;UpperYunlongFm
352.75;150;-461;LowerYunlongFm
352.75;150;-593;HutoushiFm
1888.25;590;89;topo
1888.25;590;-197;SanhedongFm
1888.25;590;-571;HuakaizuoFm
1888.25;590;-659;UpperYunlongFm
1556.25;170;89;topo
1556.25;170;-219;UpperYunlongFm
1556.25;170;-461;LowerYunlongFm
1556.25;170;-637;HutoushiFm
726.25;810;89;topo
726.25;810;-241;HuakaizuoFm
726.25;810;-285;UpperYunlongFm
