X,Y,Z,grade,formation
20.75,10.0,-637.0,5.0505025773212875,4
20.75,10.0,-615.0,5.049591376546731,4
20.75,10.0,-593.0,5.048610747105885,4
20.75,10.0,-571.0,5.0475664472771165,4
20.75,10.0,-549.0,5.046469813282652,4
20.75,10.0,-527.0,5.045339940997061,4
20.75,10.0,-505.0,5.044206320005808,4
20.75,10.0,-483.0,5.043111652277256,4
20.75,10.0,-461.0,5.042114128196259,4
20.75,10.0,-439.0,5.04128767872391,4
20.75,10.0,-417.0,5.040717811550651,4
20.75,10.0,-395.0,5.040490264199391,4
20.75,10.0,-373.0,5.040671383763496,4
20.75,10.0,-351.0,5.041284360414616,4
20.75,10.0,-329.0,5.04229257927312,4
20.75,30.0,-637.0,5.0505694644105406,4
20.75,30.0,-615.0,5.0496705779874045,4
20.75,30.0,-593.0,5.048704529656246,4
20.75,30.0,-571.0,5.047677410319539,4
20.75,30.0,-549.0,5.046600857933969,4
20.75,30.0,-527.0,5.045494164739168,4
20.75,30.0,-505.0,5.044386784832229,4
20.75,30.0,-483.0,5.043320956919326,4
20.75,30.0,-461.0,5.042353712609691,4
20.75,30.0,-439.0,5.041556835304978,4
20.75,30.0,-417.0,5.041012525347683,4
20.75,30.0,-395.0,5.040802287395387,4
20.75,30.0,-373.0,5.040988266259273,4
20.75,30.0,-351.0,5.041591141655551,4
20.75,30.0,-329.0,5.042575054066729,4
20.75,50.0,-615.0,5.049825883712749,4
20.75,50.0,-593.0,5.048888087830196,4
20.75,50.0,-571.0,5.0478941369729,4
20.75,50.0,-549.0,5.046856189969345,4
20.75,50.0,-527.0,5.045793836357942,4
20.75,50.0,-505.0,5.044736362616048,4
20.75,50.0,-483.0,5.043725011354651,4
20.75,50.0,-461.0,5.04281450909944,4
20.75,50.0,-439.0,5.042072525521493,4
20.75,50.0,-417.0,5.0415750972349995,4
20.75,50.0,-395.0,5.04139602813614,4
20.75,50.0,-373.0,5.041590000853319,4
20.75,50.0,-351.0,5.04217339693688,4
20.75,50.0,-329.0,5.04311188195868,4
20.75,70.0,-615.0,5.050051386620013,4
20.75,70.0,-593.0,5.049153817782063,4
20.75,70.0,-571.0,5.048206817624243,4
20.75,70.0,-549.0,5.047223145827208,4
20.75,70.0,-527.0,5.046222635415073,4
20.75,70.0,-505.0,5.045234126626107,4
20.75,70.0,-483.0,5.044297247104116,4
20.75,70.0,-461.0,5.043463340466127,4
20.75,70.0,-439.0,5.0427943574748415,4
20.75,70.0,-417.0,5.042358111484006,4
20.75,70.0,-395.0,5.042218503706873,4
20.75,70.0,-373.0,5.042420974693625,4
20.75,70.0,-351.0,5.0429768913194515,4
20.75,70.0,-329.0,5.04385417214945,4
20.75,90.0,-615.0,5.05033889516086,4
20.75,90.0,-593.0,5.049491261478693,4
20.75,90.0,-571.0,5.048602087655584,4
20.75,90.0,-549.0,5.047684659300127,4
20.75,90.0,-527.0,5.046758839377788,4
20.75,90.0,-505.0,5.0458526134438095,4
20.75,90.0,-483.0,5.045003341536806,4
20.75,90.0,-461.0,5.044258075011526,4
20.75,90.0,-439.0,5.0436719477621095,4
20.75,90.0,-417.0,5.0433034484005645,4
20.75,90.0,-395.0,5.043205750197706,4
20.75,90.0,-373.0,5.043414747635088,4
20.75,90.0,-351.0,5.043937038541617,4
20.75,90.0,-329.0,5.044743372723587,4
20.75,110.0,-615.0,5.0506786124703,4
20.75,110.0,-593.0,5.049888050597453,4
20.75,110.0,-571.0,5.049064342617543,4
20.75,110.0,-549.0,5.0482210940254175,4
20.75,110.0,-527.0,5.047377867792747,4
20.75,110.0,-505.0,5.046561325102359,4
20.75,110.0,-483.0,5.0458059654783405,4
20.75,110.0,-461.0,5.045153909288945,4
20.75,110.0,-439.0,5.044652949212414,4
20.75,110.0,-417.0,5.0443520617671105,4
20.75,110.0,-395.0,5.044294018670831,4
20.75,110.0,-373.0,5.0445059512999855,4
20.75,110.0,-351.0,5.044990524179936,4
20.75,110.0,-329.0,5.045721662596339,4
20.75,130.0,-615.0,5.051059869971562,4
20.75,130.0,-593.0,5.050330901993543,4
20.75,130.0,-571.0,5.0495770871595544,4
20.75,130.0,-549.0,5.048812063101874,4
20.75,130.0,-527.0,5.0480547153147315,4
20.75,130.0,-505.0,5.04732993577445,4
20.75,130.0,-483.0,5.046668919566295,4
20.75,130.0,-461.0,5.046108545435385,4
20.75,130.0,-439.0,5.04568927923407,4
20.75,130.0,-417.0,5.04545111338129,4
20.75,130.0,-395.0,5.045427501726865,4
20.75,130.0,-373.0,5.0456381774216865,4
20.75,130.0,-351.0,5.046082910617524,4
20.75,130.0,-329.0,5.046738897225165,4
20.75,150.0,-615.0,5.051471823634746,4
20.75,150.0,-593.0,5.050806532533295,4
20.75,150.0,-571.0,5.05012412867862,4
20.75,150.0,-549.0,5.049437969030715,4
20.75,150.0,-527.0,5.04876590504829,4
20.75,150.0,-505.0,5.048130710494628,4
20.75,150.0,-483.0,5.047560032486065,4
20.75,150.0,-461.0,5.0470855187928425,4
20.75,150.0,-439.0,5.046740745982235,4
20.75,150.0,-417.0,5.0465577018973695,4
20.75,150.0,-395.0,5.046561966665551,4
20.75,150.0,-373.0,5.04676740061009,4
20.75,150.0,-351.0,5.047171857631055,4
20.75,150.0,-329.0,5.04775569480917,4
20.75,170.0,-593.0,5.051302401938613,4
20.75,170.0,-571.0,5.050690497529339,4
20.75,170.0,-549.0,5.050081118122848,4
20.75,170.0,-527.0,5.049490795587372,4
20.75,170.0,-505.0,5.048939970814176,4
20.75,170.0,-483.0,5.048452704475062,4
20.75,170.0,-461.0,5.048055686039848,4
20.75,170.0,-439.0,5.047776312518923,4
20.75,170.0,-417.0,5.0476397509763995,4
20.75,170.0,-395.0,5.047665210946858,4
20.75,170.0,-373.0,5.0478621016524325,4
20.75,170.0,-351.0,5.048227153896218,4
20.75,170.0,-329.0,5.0487436411467765,4
20.75,190.0,-593.0,5.051807240555133,4
20.75,190.0,-571.0,5.051263051833628,4
20.75,190.0,-549.0,5.050726381287715,4
20.75,190.0,-527.0,5.050212251777926,4
20.75,190.0,-505.0,5.049738696288012,4
20.75,190.0,-483.0,5.049326324221729,4
20.75,190.0,-461.0,5.048997316960947,4
20.75,190.0,-439.0,5.0487737303741795,4
20.75,190.0,-417.0,5.048675113467597,4
20.75,190.0,-395.0,5.048715685063977,4
20.75,190.0,-373.0,5.048901599136092,4
20.75,190.0,-351.0,5.049229045511938,4
20.75,190.0,-329.0,5.0496838994855935,4
20.75,210.0,-593.0,5.0523113612406405,4
20.75,210.0,-571.0,5.051830785609751,4
20.75,210.0,-549.0,5.051361456878679,4
20.75,210.0,-527.0,5.050916798430303,4
20.75,210.0,-505.0,5.050512481284128,4
20.75,210.0,-483.0,5.050165923047866,4
20.75,210.0,-461.0,5.0498953405875096,4
20.75,210.0,-439.0,5.049718304626185,4
20.75,210.0,-417.0,5.049649853673841,4
20.75,210.0,-395.0,5.049700389205423,4
20.75,210.0,-373.0,5.049873752060532,4
20.75,210.0,-351.0,5.050165986259769,4
20.75,230.0,-593.0,5.052806783603958,4
20.75,230.0,-571.0,5.05238489536288,4
20.75,230.0,-549.0,5.051976832931356,4
20.75,230.0,-527.0,5.0515944163244715,4
20.75,230.0,-505.0,5.051251090952909,4
20.75,230.0,-483.0,5.050961415015409,4
20.75,230.0,-461.0,5.050740209397169,4
20.75,230.0,-439.0,5.050601361093651,4
20.75,230.0,-417.0,5.050556355701338,4
20.75,230.0,-395.0,5.050612726075808,4
20.75,230.0,-373.0,5.050772709866715,4
20.75,230.0,-351.0,5.051032454557131,4
20.75,250.0,-593.0,5.053287213383968,4
20.75,250.0,-571.0,5.052918673761233,4
20.75,250.0,-549.0,5.052565553290276,4
20.75,250.0,-527.0,5.052238131452897,4
20.75,250.0,-505.0,5.051947822194772,4
20.75,250.0,-483.0,5.051706685978581,4
20.75,250.0,-461.0,5.051526693830302,4
20.75,250.0,-439.0,5.0514187576579035,4
20.75,250.0,-417.0,5.0513916033554205,4
20.75,250.0,-395.0,5.051450636339202,4
20.75,250.0,-373.0,5.051597009402005,4
20.75,250.0,-351.0,5.051827117580861,4
20.75,270.0,-593.0,5.053747922538169,4
20.75,270.0,-571.0,5.053427296146624,4
20.75,270.0,-549.0,5.0531228782637925,4
20.75,270.0,-527.0,5.052843516058519,4
20.75,270.0,-505.0,5.052598815326399,4
20.75,270.0,-483.0,5.052398697725302,4
20.75,270.0,-461.0,5.052252780293604,4
20.75,270.0,-439.0,5.052169602113301,4
20.75,270.0,-417.0,5.052155767119672,4
20.75,270.0,-395.0,5.052215118659329,4
20.75,270.0,-373.0,5.052348094253618,4
20.75,270.0,-351.0,5.052551409026269,4
20.75,290.0,-571.0,5.05390755391278,4
20.75,290.0,-549.0,5.053645907915059,4
20.75,290.0,-527.0,5.0534081821577495,4
20.75,290.0,-505.0,5.053202404771236,4
20.75,290.0,-483.0,5.053036694243326,4
20.75,290.0,-461.0,5.052918746515896,4
20.75,290.0,-439.0,5.052855225491732,4
20.75,290.0,-417.0,5.052851115238409,4
20.75,290.0,-395.0,5.0529091211208215,4
20.75,290.0,-373.0,5.053029223963525,4
20.75,290.0,-351.0,5.053208485185758,4
20.75,310.0,-571.0,5.054357574215649,4
20.75,310.0,-549.0,5.054133213197687,4
20.75,310.0,-527.0,5.0539313151263245,4
20.75,310.0,-505.0,5.053758553006914,4
20.75,310.0,-483.0,5.053621543344761,4
20.75,310.0,-461.0,5.053526428374429,4
20.75,310.0,-439.0,5.0534783998016835,4
20.75,310.0,-417.0,5.053481211313534,4
20.75,310.0,-395.0,5.053536744646792,4
20.75,310.0,-373.0,5.053644701846427,4
20.75,310.0,-351.0,5.053802488365488,4
20.75,330.0,-571.0,5.054776551781453,4
20.75,330.0,-549.0,5.054584501074903,4
20.75,330.0,-527.0,5.054413270289145,4
20.75,330.0,-505.0,5.0542683827092665,4
20.75,330.0,-483.0,5.054155215251468,4
20.75,330.0,-461.0,5.054078661893581,4
20.75,330.0,-439.0,5.054042763769358,4
20.75,330.0,-417.0,5.054050343212223,4
20.75,330.0,-395.0,5.0541026893666645,4
20.75,330.0,-373.0,5.054199345925284,4
20.75,330.0,-351.0,5.054338043747432,4
20.75,350.0,-571.0,5.0551645074958556,4
20.75,350.0,-549.0,5.055000325808537,4
20.75,350.0,-527.0,5.054855239230784,4
20.75,350.0,-505.0,5.054733804936397,4
20.75,350.0,-483.0,5.054640383936039,4
20.75,350.0,-461.0,5.054578872108692,4
20.75,350.0,-439.0,5.054552414066544,4
20.75,350.0,-417.0,5.054563128735011,4
20.75,350.0,-395.0,5.054611881409837,4
20.75,350.0,-373.0,5.054698137473787,4
20.75,350.0,-351.0,5.054819926124489,4
20.75,370.0,-571.0,5.055522080401647,4
20.75,370.0,-549.0,5.055381849413248,4
20.75,370.0,-527.0,5.055258983049897,4
20.75,370.0,-505.0,5.055157232687025,4
20.75,370.0,-483.0,5.055080131064332,4
20.75,370.0,-461.0,5.0550307785940145,4
20.75,370.0,-439.0,5.055011622587766,4
20.75,370.0,-417.0,5.055024251492734,4
20.75,370.0,-395.0,5.055069229416096,4
20.75,370.0,-373.0,5.055145995443774,4
20.75,370.0,-351.0,5.0552528466157405,4
20.75,390.0,-549.0,5.055730648847241,4
20.75,390.0,-527.0,5.055626625019956,4
20.75,390.0,-505.0,5.055541366035278,4
20.75,390.0,-483.0,5.0554777318780735,4
20.75,390.0,-461.0,5.055438190326398,4
20.75,390.0,-439.0,5.055424646842057,4
20.75,390.0,-417.0,5.055438290181866,4
20.75,390.0,-395.0,5.055479472077445,4
20.75,390.0,-373.0,5.05554763808896,4
20.75,390.0,-351.0,5.055641322223234,4
20.75,390.0,-329.0,5.055758210459769,4
20.75,410.0,-549.0,5.056048564749013,4
20.75,410.0,-527.0,5.055960493368328,4
20.75,410.0,-505.0,5.055889034942352,4
20.75,410.0,-483.0,5.055836504451042,4
20.75,410.0,-461.0,5.055804867148878,4
20.75,410.0,-439.0,5.055795607552466,4
20.75,410.0,-417.0,5.055809613458188,4
20.75,410.0,-395.0,5.055847088300525,4
20.75,410.0,-373.0,5.055907503823983,4
20.75,410.0,-351.0,5.055989601500073,4
20.75,410.0,-329.0,5.056091445699755,4
20.75,430.0,-549.0,5.056337585491916,4
20.75,430.0,-527.0,5.056263004864801,4
20.75,430.0,-505.0,5.056203087220011,4
20.75,430.0,-483.0,5.056159706785294,4
20.75,430.0,-461.0,5.056134429848892,4
20.75,430.0,-439.0,5.0561284138354265,4
20.75,430.0,-417.0,5.056142320035222,4
20.75,430.0,-395.0,5.056176249651515,4
20.75,430.0,-373.0,5.056229711571308,4
20.75,430.0,-351.0,5.056301627524201,4
20.75,430.0,-329.0,5.056390376336274,4
20.75,450.0,-549.0,5.05659976031284,4
20.75,450.0,-527.0,5.056536580774691,4
20.75,450.0,-505.0,5.056486311061647,4
20.75,450.0,-483.0,5.056450469320717,4
20.75,450.0,-461.0,5.056430305085485,4
20.75,450.0,-439.0,5.056426721471242,4
20.75,450.0,-417.0,5.056440209386326,4
20.75,450.0,-395.0,5.056470800784793,4
20.75,450.0,-373.0,5.056518046884464,4
20.75,450.0,-351.0,5.056581025162712,4
20.75,450.0,-329.0,5.056658376050203,4
20.75,470.0,-549.0,5.056837135795177,4
20.75,470.0,-527.0,5.056783587946924,4
20.75,470.0,-505.0,5.056741383551945,4
20.75,470.0,-483.0,5.05671175321251,4
20.75,470.0,-461.0,5.056695694871858,4
20.75,470.0,-439.0,5.0566939137645095,4
20.75,470.0,-417.0,5.056706772720916,4
20.75,470.0,-395.0,5.056734257944681,4
20.75,470.0,-373.0,5.056775964450308,4
20.75,470.0,-351.0,5.056831103734951,4
20.75,470.0,-329.0,5.056898534129958,4
20.75,490.0,-549.0,5.057051710744237,4
20.75,490.0,-527.0,5.057006299082504,4
20.75,490.0,-505.0,5.056970838381913,4
20.75,490.0,-483.0,5.05694632704789,4
20.75,490.0,-461.0,5.056933563046438,4
20.75,490.0,-439.0,5.056933097492276,4
20.75,490.0,-417.0,5.056945197030549,4
20.75,490.0,-395.0,5.05696981875092,4
20.75,490.0,-373.0,5.057006600605198,4
20.75,490.0,-351.0,5.0570548690669375,4
20.75,490.0,-329.0,5.0571136642016015,4
20.75,510.0,-527.0,5.057206867408836,4
20.75,510.0,-505.0,5.057177047535291,4
20.75,510.0,-483.0,5.057156756526351,4
20.75,510.0,-461.0,5.057146633244492,4
20.75,510.0,-439.0,5.057147108643815,4
20.75,510.0,-417.0,5.057158377233175,4
20.75,510.0,-395.0,5.057180378670224,4
20.75,510.0,-373.0,5.057212791601772,4
20.75,510.0,-351.0,5.057255040924764,4
20.75,510.0,-329.0,5.057306318479611,4
20.75,530.0,-527.0,5.057387312007361,4
20.75,530.0,-505.0,5.0573622129665345,4
20.75,530.0,-483.0,5.057345403063296,4
20.75,530.0,-461.0,5.0573373944354305,4
20.75,530.0,-439.0,5.057338524253753,4
20.75,530.0,-417.0,5.057348933028857,4
20.75,530.0,-395.0,5.057368551098827,4
20.75,530.0,-373.0,5.057397094809648,4
20.75,530.0,-351.0,5.05743407318012,4
20.75,530.0,-329.0,5.057478804979277,4
20.75,550.0,-527.0,5.057549510890393,4
20.75,550.0,-505.0,5.057528365281467,4
20.75,550.0,-483.0,5.057514428370206,4
20.75,550.0,-461.0,5.057508111235684,4
20.75,550.0,-439.0,5.057509677776301,4
20.75,550.0,-417.0,5.057519228185091,4
20.75,550.0,-395.0,5.057536689029447,4
20.75,550.0,-373.0,5.0575618110185045,4
20.75,550.0,-351.0,5.057594174991389,4
20.75,550.0,-329.0,5.057633206012974,4
20.75,570.0,-527.0,5.057695199608371,4
20.75,570.0,-505.0,5.057677367201779,4
20.75,570.0,-483.0,5.057665802883943,4
20.75,570.0,-461.0,5.057660837038779,4
20.75,570.0,-439.0,5.0576626762606365,4
20.75,570.0,-417.0,5.057671390742203,4
20.75,570.0,-395.0,5.0576869069949035,4
20.75,570.0,-373.0,5.057709006680588,4
20.75,570.0,-351.0,5.057737331911801,4
20.75,570.0,-329.0,5.057771396892037,4
20.75,590.0,-527.0,5.057825973710055,4
20.75,590.0,-505.0,5.0578109201813835,4
20.75,590.0,-483.0,5.057801316526053,4
20.75,590.0,-461.0,5.057797428607024,4
20.75,590.0,-439.0,5.057799418162253,4
20.75,590.0,-417.0,5.057807333161043,4
20.75,590.0,-395.0,5.057821102468408,4
20.75,590.0,-373.0,5.0578405353789435,4
20.75,590.0,-351.0,5.057865326257738,4
20.75,590.0,-329.0,5.057895064159433,4
20.75,610.0,-527.0,5.057943293801025,4
20.75,610.0,-505.0,5.057930572988656,4
20.75,610.0,-483.0,5.057922590720231,4
20.75,610.0,-461.0,5.057919561200314,4
20.75,610.0,-439.0,5.057921611026034,4
20.75,610.0,-417.0,5.0579287718004515,4
20.75,610.0,-395.0,5.057940976229557,4
20.75,610.0,-373.0,5.057958058108257,4
20.75,610.0,-351.0,5.057979756351725,4
20.75,610.0,-329.0,5.058005722950934,4
20.75,630.0,-505.0,5.05803773140067,4
20.75,630.0,-483.0,5.058031090922461,4
20.75,630.0,-461.0,5.05802874362496,4
20.75,630.0,-439.0,5.058030788556966,4
20.75,630.0,-417.0,5.058037245360715,4
20.75,630.0,-395.0,5.058048051425178,4
20.75,630.0,-373.0,5.058063062152595,4
20.75,630.0,-351.0,5.058082054439521,4
20.75,630.0,-329.0,5.058104733262626,4
20.75,650.0,-505.0,5.058133668404218,4
20.75,650.0,-483.0,5.058128139155679,4
20.75,650.0,-461.0,5.058126332802989,4
20.75,650.0,-439.0,5.058128326787117,4
20.75,650.0,-417.0,5.058134132096565,4
20.75,650.0,-395.0,5.058143691199557,4
20.75,650.0,-373.0,5.05815687847433,4
20.75,650.0,-351.0,5.058173503201559,4
20.75,650.0,-329.0,5.058193315021647,4
20.75,650.0,-307.0,5.058216011600654,4
20.75,670.0,-505.0,5.058219534481454,4
20.75,670.0,-483.0,5.058214926211534,4
20.75,670.0,-461.0,5.058213547615454,4
20.75,670.0,-439.0,5.058215459179529,4
20.75,670.0,-417.0,5.058220665714514,4
20.75,670.0,-395.0,5.0582291148619944,4
20.75,670.0,-373.0,5.0582406976097944,4
20.75,670.0,-351.0,5.058255250855511,4
20.75,670.0,-329.0,5.058272561933636,4
20.75,670.0,-307.0,5.058292374900195,4
20.75,690.0,-505.0,5.058296367692643,4
20.75,690.0,-483.0,5.058292523304025,4
20.75,690.0,-461.0,5.058291481879336,4
20.75,690.0,-439.0,5.058293290598731,4
20.75,690.0,-417.0,5.058297949942426,4
20.75,690.0,-395.0,5.058305412619933,4
20.75,690.0,-373.0,5.058315584118612,4
20.75,690.0,-351.0,5.058328324894027,4
20.75,690.0,-329.0,5.058343454129521,4
20.75,690.0,-307.0,5.05836075489902,4
20.75,710.0,-505.0,5.0583651033665795,4
20.75,710.0,-483.0,5.058361893046818,4
20.75,710.0,-461.0,5.058361116390989,4
20.75,710.0,-439.0,5.058362810136442,4
20.75,710.0,-417.0,5.058366971804597,4
20.75,710.0,-395.0,5.058373558940975,4
20.75,710.0,-373.0,5.05838248966335,4
20.75,710.0,-351.0,5.058393644529582,4
20.75,710.0,-329.0,5.058406869663113,4
20.75,710.0,-307.0,5.0584219810026205,4
20.75,730.0,-505.0,5.058426583280644,4
20.75,730.0,-483.0,5.058423899686814,4
20.75,730.0,-461.0,5.058423330018555,4
20.75,730.0,-439.0,5.058424902819355,4
20.75,730.0,-417.0,5.058428613664314,4
20.75,730.0,-395.0,5.058434424628073,4
20.75,730.0,-373.0,5.058442264811677,4
20.75,730.0,-351.0,5.05845203193303,4
20.75,730.0,-329.0,5.058463594928091,4
20.75,730.0,-307.0,5.058476797455378,4
20.75,750.0,-483.0,5.058479318568993,4
20.75,750.0,-461.0,5.058478909858634,4
20.75,750.0,-439.0,5.0584803602492325,4
20.75,750.0,-417.0,5.058483664111039,4
20.75,750.0,-395.0,5.0584887877018225,4
20.75,750.0,-373.0,5.058495669660315,4
20.75,750.0,-351.0,5.058504222358897,4
20.75,750.0,-329.0,5.058514334070886,4
20.75,750.0,-307.0,5.058525871865687,4
20.75,770.0,-483.0,5.058528844836155,4
20.75,770.0,-461.0,5.058528560493414,4
20.75,770.0,-439.0,5.058529890239488,4
20.75,770.0,-417.0,5.0585328277771975,4
20.75,770.0,-395.0,5.058537343186999,4
20.75,770.0,-373.0,5.05854338338071,4
20.75,770.0,-351.0,5.058550873250988,4
20.75,770.0,-329.0,5.05855971747911,4
20.75,770.0,-307.0,5.058569802930761,4
20.75,790.0,-483.0,5.0585731013863136,4
20.75,790.0,-461.0,5.058572912397202,4
20.75,790.0,-439.0,5.058574125519026,4
20.75,790.0,-417.0,5.058576734171425,4
20.75,790.0,-395.0,5.058580711899193,4
20.75,790.0,-373.0,5.05858601278382,4
20.75,790.0,-351.0,5.058592572419784,4
20.75,790.0,-329.0,5.058600309424073,4
20.75,790.0,-307.0,5.058609127421887,4
20.75,810.0,-483.0,5.058612646122496,4
20.75,810.0,-461.0,5.0586125295482205,4
20.75,810.0,-439.0,5.058613631576693,4
20.75,810.0,-417.0,5.058615945614041,4
20.75,810.0,-395.0,5.058619448323787,4
20.75,810.0,-373.0,5.058624099996451,4
20.75,810.0,-351.0,5.058629845378287,4
20.75,810.0,-329.0,5.058636614933119,4
20.75,810.0,-307.0,5.058644326490815,4
20.75,830.0,-483.0,5.058647978536816,4
20.75,830.0,-461.0,5.058647916304539,4
20.75,830.0,-439.0,5.058648913718821,4
20.75,830.0,-417.0,5.058650964356592,4
20.75,830.0,-395.0,5.05865404767399,4
