X,Y,Z,grade,formation,borehole
1514.75,670.0,-593.0,5.059475863978481,4,51
1514.75,670.0,-571.0,5.059438298429322,4,51
1514.75,670.0,-549.0,5.059396520181064,4,51
1514.75,670.0,-527.0,5.059350839178865,4,51
1514.75,670.0,-505.0,5.059301638916115,4,51
1514.75,670.0,-483.0,5.05924937109291,4,51
1514.75,670.0,-461.0,5.059194548150206,4,51
1514.75,670.0,-439.0,5.059137733854129,4,51
1514.75,670.0,-417.0,5.059079532193762,4,51
1514.75,670.0,-395.0,5.059020574935391,4,51
1514.75,670.0,-373.0,5.058961508239695,4,51
