X,Y,Z,grade,formation,borehole
20.75,270.0,-593.0,5.053747922538169,4,1
20.75,270.0,-571.0,5.053427296146624,4,1
20.75,270.0,-549.0,5.0531228782637925,4,1
20.75,270.0,-527.0,5.052843516058519,4,1
20.75,270.0,-505.0,5.052598815326399,4,1
20.75,270.0,-483.0,5.052398697725302,4,1
20.75,270.0,-461.0,5.052252780293604,4,1
20.75,270.0,-439.0,5.052169602113301,4,1
20.75,270.0,-417.0,5.052155767119672,4,1
20.75,270.0,-395.0,5.052215118659329,4,1
20.75,270.0,-373.0,5.052348094253618,4,1
20.75,270.0,-351.0,5.052551409026269,4,1
1514.75,770.0,-659.0,5.059311951128889,4,10
1514.75,770.0,-637.0,5.05929724396039,4,10
1514.75,770.0,-615.0,5.059280091489895,4,10
1514.75,770.0,-593.0,5.059260556924107,4,10
1514.75,770.0,-571.0,5.059238739046205,4,10
1514.75,770.0,-549.0,5.059214772099802,4,10
1514.75,770.0,-527.0,5.059188824808108,4,10
1514.75,770.0,-505.0,5.059161098512909,4,10
1514.75,770.0,-483.0,5.059131824449261,4,10
1514.75,770.0,-461.0,5.059101260204771,4,10
1514.75,770.0,-439.0,5.059069685443424,4,10
1514.75,770.0,-417.0,5.0590373970042535,4,10
1680.75,30.0,-527.0,5.069219355632196,4,11
1680.75,30.0,-505.0,5.062167582130879,4,11
1680.75,30.0,-483.0,5.0564697310692175,4,11
1680.75,30.0,-461.0,5.057622774236618,4,11
1680.75,30.0,-439.0,5.042989668181297,4,11
1680.75,30.0,-417.0,5.0320715433191125,4,11
1680.75,30.0,-395.0,5.034456163628472,4,11
1680.75,30.0,-373.0,5.039346047336887,4,11
1639.25,270.0,-549.0,5.061174724858689,4,12
1639.25,270.0,-527.0,5.060514576555727,4,12
1639.25,270.0,-505.0,5.059779519511624,4,12
1639.25,270.0,-483.0,5.058981320768112,4,12
1639.25,270.0,-461.0,5.058134565378451,4,12
1639.25,270.0,-439.0,5.057256279473802,4,12
1639.25,270.0,-417.0,5.056365454983794,4,12
1639.25,270.0,-395.0,5.055482452091074,4,12
1639.25,270.0,-373.0,5.054628240741783,4,12
1639.25,270.0,-351.0,5.053823454667016,4,12
1639.25,270.0,-329.0,5.053087290953828,4,12
1639.25,270.0,-307.0,5.052436381396969,4,12
1639.25,270.0,-285.0,5.051883831027696,4,12
892.25,650.0,-417.0,5.0602605110913785,4,13
892.25,650.0,-395.0,5.060242918216528,4,13
892.25,650.0,-373.0,5.0602186045438415,4,13
892.25,650.0,-351.0,5.060187761214361,4,13
892.25,650.0,-329.0,5.060150706093829,4,13
892.25,650.0,-307.0,5.060107878222877,4,13
892.25,650.0,-285.0,5.060059827367826,4,13
892.25,650.0,-263.0,5.0600071990549145,4,13
892.25,650.0,-241.0,5.059950715784886,4,13
1929.75,570.0,-989.0,5.059487591908457,4,14
1929.75,570.0,-967.0,5.059503670924047,4,14
1929.75,570.0,-945.0,5.059517106209973,4,14
1929.75,570.0,-923.0,5.059527359689431,4,14
1929.75,570.0,-901.0,5.059533864883866,4,14
1929.75,570.0,-879.0,5.059536035717536,4,14
1929.75,570.0,-857.0,5.059533277679839,4,14
1929.75,570.0,-835.0,5.059525001371379,4,14
1929.75,570.0,-813.0,5.05951063833458,4,14
1929.75,570.0,-791.0,5.059489658921149,4,14
1929.75,570.0,-769.0,5.059461591782633,4,14
1929.75,570.0,-747.0,5.059426044397719,4,14
1929.75,570.0,-725.0,5.059382723883003,4,14
1929.75,570.0,-703.0,5.0593314571882,4,14
1888.25,90.0,-857.0,5.063821768550574,4,15
1888.25,90.0,-835.0,5.064205061976969,4,15
1888.25,90.0,-813.0,5.06459665737344,4,15
1888.25,90.0,-791.0,5.064989373304365,4,15
1888.25,90.0,-769.0,5.065372655249792,4,15
1888.25,90.0,-747.0,5.065730862021151,4,15
1888.25,90.0,-725.0,5.066040547857972,4,15
1888.25,90.0,-703.0,5.066266533466782,4,15
1888.25,90.0,-681.0,5.066357602562436,4,15
1888.25,90.0,-659.0,5.066245975270861,4,15
1888.25,90.0,-637.0,5.065861087150191,4,15
1888.25,90.0,-615.0,5.065170330020308,4,15
1846.75,450.0,-923.0,5.060127596937917,4,16
1846.75,450.0,-901.0,5.060161926354517,4,16
1846.75,450.0,-879.0,5.060188597991883,4,16
1846.75,450.0,-857.0,5.060205951112168,4,16
1846.75,450.0,-835.0,5.060212234353259,4,16
1846.75,450.0,-813.0,5.0602056444710986,4,16
1846.75,450.0,-791.0,5.060184376353759,4,16
1846.75,450.0,-769.0,5.060146684032817,4,16
1846.75,450.0,-747.0,5.060090951455245,4,16
1846.75,450.0,-725.0,5.060015770700992,4,16
1846.75,450.0,-703.0,5.059920024263214,4,16
1846.75,450.0,-681.0,5.059802967098537,4,16
1846.75,450.0,-659.0,5.059664303541227,4,16
1846.75,450.0,-637.0,5.0595042539494335,4,16
1846.75,450.0,-615.0,5.059323606112189,4,16
1846.75,450.0,-593.0,5.059123746927559,4,16
1846.75,450.0,-571.0,5.058906670542859,4,16
1846.75,450.0,-549.0,5.058674959970878,4,16
477.25,810.0,-461.0,5.059135768368919,4,17
477.25,810.0,-439.0,5.059137694829664,4,17
477.25,810.0,-417.0,5.05913882307128,4,17
477.25,810.0,-395.0,5.059139112293668,4,17
477.25,810.0,-373.0,5.059138532991486,4,17
477.25,810.0,-351.0,5.059137068181603,4,17
477.25,810.0,-329.0,5.059134714306175,4,17
477.25,810.0,-307.0,5.059131481758412,4,17
1971.25,70.0,-989.0,5.061475051330776,4,18
1971.25,70.0,-967.0,5.061704290730793,4,18
1971.25,70.0,-945.0,5.061949164826262,4,18
1971.25,70.0,-923.0,5.062209488687058,4,18
1971.25,70.0,-901.0,5.062484635539845,4,18
1971.25,70.0,-879.0,5.062773367458225,4,18
1971.25,70.0,-857.0,5.063073600216799,4,18
1971.25,70.0,-835.0,5.063382075295099,4,18
1971.25,70.0,-813.0,5.063693905174413,4,18
1971.25,70.0,-791.0,5.06400195734219,4,18
1971.25,70.0,-769.0,5.064296061126383,4,18
1971.25,70.0,-747.0,5.064562085917653,4,18
1929.75,730.0,-989.0,5.059200965727784,4,19
1929.75,730.0,-967.0,5.059204926606167,4,19
1929.75,730.0,-945.0,5.059207480766973,4,19
1929.75,730.0,-923.0,5.059208441659168,4,19
1929.75,730.0,-901.0,5.059207622368692,4,19
1929.75,730.0,-879.0,5.059204839193507,4,19
1929.75,730.0,-857.0,5.059199915666807,4,19
1929.75,730.0,-835.0,5.059192686968848,4,19
1929.75,730.0,-813.0,5.059183004641329,4,19
1929.75,730.0,-791.0,5.059170741491504,4,19
1929.75,730.0,-769.0,5.059155796547372,4,19
1307.25,10.0,-219.0,5.07254878763379,4,2
1307.25,10.0,-197.0,5.071202000065682,4,2
