X,Y,Z,grade_value,grade,section
1383,0,-208,7.82257075102414,Zn-PB,AB
1392,0,-221,7.88189239225619,Zn-PB,AB
1404,0,-231,7.89371372388856,Zn-PB,AB
1393,0,-216,7.82626719563573,Zn-PB,AB
1426,0,-245,7.89029840537661,Zn-PB,AB
1443,0,-256,7.85490245887403,Zn-PB,AB
1464,0,-260,7.87812608689127,Zn-PB,AB
1464,0,-271,7.85845872520818,Zn-PB,AB
1456,0,-266,7.88633021331362,Zn-PB,AB
1413,0,-236,7.88845843310887,Zn-PB,AB
1405,0,-220,7.88393237541045,Zn-PB,AB
1380,0,-203,7.87427021511817,Zn-PB,AB
1490,0,-286,7.86726718014893,Zn-PB,AB
1470,0,-272,7.85872059474235,Zn-PB,AB
1502,0,-286,7.80100195897539,Zn-PB,AB
1532,0,-320,7.80278455646241,Zn-PB,AB
1544,0,-332,7.83503680313928,Zn-PB,AB
1572,0,-366,7.85621114596133,Zn-PB,AB
1590,0,-381,7.81437836530156,Zn-PB,AB
1610,0,-400,7.85223959620266,Zn-PB,AB
1625,0,-414,7.86784003671572,Zn-PB,AB
1656,0,-443,7.83374328161325,Zn-PB,AB
1669,0,-473,7.89470994523755,Zn-PB,AB
1679,0,-489,7.86446675735562,Zn-PB,AB
1696,0,-517,7.83044942781548,Zn-PB,AB
1710,0,-535,7.8319670633183,Zn-PB,AB
1726,0,-557,7.88442466105976,Zn-PB,AB
1731,0,-579,7.8836356717697,Zn-PB,AB
1782,0,-586,7.8903823354731,Zn-PB,AB
1770,0,-562,7.87008308673214,Zn-PB,AB
1748,0,-549,7.8156683312777,Zn-PB,AB
1743,0,-527,7.87919131147758,Zn-PB,AB
1720,0,-509,7.87502664484312,Zn-PB,AB
1713,0,-488,7.85870815101087,Zn-PB,AB
1694,0,-465,7.81727565086819,Zn-PB,AB
1684,0,-451,7.87819138561039,Zn-PB,AB
1672,0,-439,7.82209734032131,Zn-PB,AB
1673,0,-419,7.84180788602273,Zn-PB,AB
1655,0,-414,7.89080363490131,Zn-PB,AB
1645,0,-394,7.89388972682605,Zn-PB,AB
1623,0,-386,7.81611373553439,Zn-PB,AB
1624,0,-362,7.83144890811338,Zn-PB,AB
1597,0,-349,7.84546251742748,Zn-PB,AB
1627,0,-376,7.83017690187416,Zn-PB,AB
1598,0,-350,7.80058793887415,Zn-PB,AB
1585,0,-325,7.84796595012394,Zn-PB,AB
1575,0,-310,7.89836323274624,Zn-PB,AB
1542,0,-309,7.81113278422713,Zn-PB,AB
1527,0,-289,7.85240972252245,Zn-PB,AB
1501,0,-289,7.88892811818322,Zn-PB,AB
1471,0,-276,7.81280793952571,Zn-PB,AB
1468,0,-262,7.86282997918277,Zn-PB,AB
1502,0,-284,7.85430600898032,Zn-PB,AB
1453,0,-260,7.84542757795777,Zn-PB,AB
1433,0,-255,7.83521189448586,Zn-PB,AB
1457,0,-212,7.88621407561704,Zn-PB,AB
1496,0,-223,7.8923271715901,Zn-PB,AB
1483,0,-229,7.85683072049258,Zn-PB,AB
1530,0,-230,7.81678614610448,Zn-PB,AB
1543,0,-252,7.81030900616625,Zn-PB,AB
1553,0,-273,7.85230594088672,Zn-PB,AB
1565,0,-274,7.80232569974328,Zn-PB,AB
1569,0,-287,7.8933815802395,Zn-PB,AB
1584,0,-288,7.8727801496678,Zn-PB,AB
1593,0,-307,7.827897468899,Zn-PB,AB
1612,0,-316,7.81429442822827,Zn-PB,AB
1629,0,-332,7.8856874365614,Zn-PB,AB
1639,0,-347,7.83917327075862,Zn-PB,AB
1634,0,-340,7.83282687345947,Zn-PB,AB
1661,0,-350,7.80503864365145,Zn-PB,AB
1665,0,-373,7.83247297263895,Zn-PB,AB
1655,0,-363,7.82710987803582,Zn-PB,AB
1676,0,-383,7.87797292590412,Zn-PB,AB
1693,0,-394,7.87376925067628,Zn-PB,AB
1694,0,-395,7.82613812498795,Zn-PB,AB
1711,0,-418,7.89387397994341,Zn-PB,AB
1720,0,-436,7.83890651097226,Zn-PB,AB
1730,0,-456,7.85668725560138,Zn-PB,AB
1745,0,-462,7.81547300227355,Zn-PB,AB
1741,0,-471,7.81432653641221,Zn-PB,AB
1760,0,-489,7.87059904413326,Zn-PB,AB
1761,0,-476,7.88679877549665,Zn-PB,AB
1769,0,-498,7.80689956095655,Zn-PB,AB
1777,0,-513,7.85254503971705,Zn-PB,AB
1789,0,-520,7.83866151747361,Zn-PB,AB
1794,0,-546,7.81146565329895,Zn-PB,AB
1809,0,-560,7.88556233147838,Zn-PB,AB
1817,0,-567,7.85776420406152,Zn-PB,AB
1821,0,-582,7.8671107464176,Zn-PB,AB
1835,0,-584,7.82401890315962,Zn-PB,AB
