X,Y,Z,dip,azimuth,polarity,formation,section
72,0,-327,0,90,1,topo,12
225,0,-288,0,90,1,topo,12
430,0,-210,0,90,1,topo,12
623,0,-168,0,90,1,topo,12
805,0,-229,0,90,1,topo,12
949,0,-303,0,90,1,topo,12
1058,0,-294,0,90,1,topo,12
1271,0,-183,0,90,1,topo,12
1453,0,-194,0,90,1,topo,12
1666,0,-199,0,90,1,topo,12
1817,0,-136,0,90,1,topo,12
1963,0,-178,0,90,1,topo,12
2032,0,-209,0,90,1,topo,12
504,0,-186,30,90,1,SanhedongFm,AB
602,0,-196,0,90,1,SanhedongFm,AB
700,0,-169,-30,90,1,SanhedongFm,AB
1024,0,-13,0,90,1,SanhedongFm,AB
1285,0,-13,0,90,1,SanhedongFm,AB
1508,0,-28,0,90,1,SanhedongFm,AB
1712,0,-75,60,90,1,SanhedongFm,AB
1806,0,-152,60,90,1,SanhedongFm,AB
1875,0,-217,60,90,1,SanhedongFm,AB
1932,0,-285,50,90,1,SanhedongFm,AB
1991,0,-354,50,90,1,SanhedongFm,AB
2028,0,-411,40,90,1,SanhedongFm,AB
2051,0,-453,40,90,1,SanhedongFm,AB
213,0,-246,0,90,1,HuakaizuoFm,AB
339,0,-258,0,90,1,HuakaizuoFm,AB
500,0,-228,0,90,1,HuakaizuoFm,AB
616,0,-218,0,90,1,HuakaizuoFm,AB
736,0,-211,0,90,1,HuakaizuoFm,AB
890,0,-154,0,90,1,HuakaizuoFm,AB
1024,0,-64,0,90,1,HuakaizuoFm,AB
1194,0,-80,0,90,1,HuakaizuoFm,AB
1327,0,-122,0,90,1,HuakaizuoFm,AB
1501,0,-202,50,90,1,HuakaizuoFm,AB
1586,0,-276,50,90,1,HuakaizuoFm,AB
1675,0,-349,50,90,1,HuakaizuoFm,AB
1751,0,-450,50,90,1,HuakaizuoFm,AB
1818,0,-544,50,90,.75,HuakaizuoFm,AB
1854,0,-600,50,90,.75,HuakaizuoFm,AB
1920,0,-700,50,90,.75,HuakaizuoFm,AB
2000,0,-800,50,90,.2,HuakaizuoFm,AB
207,0,-482,-20,90,1,UpperYunlongFm,AB
466,0,-411,-20,90,1,UpperYunlongFm,AB
744,0,-385,-20,90,1,UpperYunlongFm,AB
902,0,-280,-30,90,1,UpperYunlongFm,AB
1210,0,-204,20,90,1,UpperYunlongFm,AB
1444,0,-339,30,90,1,UpperYunlongFm,AB
1648,0,-499,40,90,1,UpperYunlongFm,AB
1741,0,-642,50,90,1,UpperYunlongFm,AB
1900,0,-800,60,90,1,UpperYunlongFm,AB
2000,0,-900,60,90,1,UpperYunlongFm,AB
0,0,-750,-10,90,1,LowerYunlongFm,AB
148,0,-684,-20,90,1,LowerYunlongFm,AB
275,0,-620,-30,90,1,LowerYunlongFm,AB
420,0,-570,-10,90,1,LowerYunlongFm,AB
602,0,-570,-20,90,1,LowerYunlongFm,AB
710,0,-546,-30,90,1,LowerYunlongFm,AB
831,0,-481,-40,90,1,LowerYunlongFm,AB
897,0,-386,-40,90,1,LowerYunlongFm,AB
928,0,-330,-40,90,1,LowerYunlongFm,AB
980,0,-307,0,90,1,LowerYunlongFm,AB
1068,0,-347,10,90,.8,LowerYunlongFm,AB
1251,0,-408,30,90,.8,LowerYunlongFm,AB
1406,0,-503,40,90,.8,LowerYunlongFm,AB
1512,0,-608,40,90,.8,LowerYunlongFm,AB
1587,0,-664,40,90,.8,LowerYunlongFm,AB
148,0,-984,-30,90,1,HutoushiFm,AB
275,0,-920,-20,90,1,HutoushiFm,AB
420,0,-870,-10,90,1,HutoushiFm,AB
602,0,-870,10,90,1,HutoushiFm,AB
531,0,-824,-20,90,1,HutoushiFm,AB
688,0,-771,-60,90,1,HutoushiFm,AB
776,0,-628,-60,90,1,HutoushiFm,AB
815,0,-560,-30,90,1,HutoushiFm,AB
1024,0,-564,10,90,1,HutoushiFm,AB
1149,0,-622,30,90,1,HutoushiFm,AB
1359,0,-756,50,90,1,HutoushiFm,AB
