X,Y,Z,formation,section
72,0,-327,topo,AB
136,0,-319,topo,AB
225,0,-288,topo,AB
316,0,-252,topo,AB
430,0,-210,topo,AB
562,0,-176,topo,AB
623,0,-168,topo,AB
691,0,-183,topo,AB
805,0,-229,topo,AB
866,0,-271,topo,AB
949,0,-303,topo,AB
1002,0,-299,topo,AB
1058,0,-294,topo,AB
1164,0,-232,topo,AB
1271,0,-183,topo,AB
1356,0,-173,topo,AB
1453,0,-194,topo,AB
1536,0,-213,topo,AB
1666,0,-199,topo,AB
1763,0,-162,topo,AB
1817,0,-136,topo,AB
1873,0,-145,topo,AB
1963,0,-178,topo,AB
2032,0,-209,topo,AB
442,0,-166,SanhedongFm,AB
504,0,-186,SanhedongFm,AB
543,0,-190,SanhedongFm,AB
602,0,-196,SanhedongFm,AB
664,0,-188,SanhedongFm,AB
700,0,-169,SanhedongFm,AB
872,0,-89,SanhedongFm,AB
1024,0,-13,SanhedongFm,AB
1127,0,0,SanhedongFm,AB
1285,0,-13,SanhedongFm,AB
1402,0,-24,SanhedongFm,AB
1508,0,-28,SanhedongFm,AB
1622,0,-50,SanhedongFm,AB
1712,0,-75,SanhedongFm,AB
1766,0,-119,SanhedongFm,AB
1806,0,-152,SanhedongFm,AB
1845,0,-184,SanhedongFm,AB
1875,0,-217,SanhedongFm,AB
1906,0,-257,SanhedongFm,AB
1932,0,-285,SanhedongFm,AB
1963,0,-325,SanhedongFm,AB
1991,0,-354,SanhedongFm,AB
1997,0,-375,SanhedongFm,AB
2028,0,-411,SanhedongFm,AB
2041,0,-441,SanhedongFm,AB
2051,0,-453,SanhedongFm,AB
213,0,-246,HuakaizuoFm,AB
283,0,-256,HuakaizuoFm,AB
339,0,-258,HuakaizuoFm,AB
402,0,-258,HuakaizuoFm,AB
500,0,-228,HuakaizuoFm,AB
546,0,-216,HuakaizuoFm,AB
616,0,-218,HuakaizuoFm,AB
670,0,-219,HuakaizuoFm,AB
736,0,-211,HuakaizuoFm,AB
828,0,-189,HuakaizuoFm,AB
890,0,-154,HuakaizuoFm,AB
950,0,-117,HuakaizuoFm,AB
1024,0,-64,HuakaizuoFm,AB
1121,0,-60,HuakaizuoFm,AB
1194,0,-80,HuakaizuoFm,AB
1287,0,-100,HuakaizuoFm,AB
1327,0,-122,HuakaizuoFm,AB
1446,0,-177,HuakaizuoFm,AB
1501,0,-202,HuakaizuoFm,AB
1548,0,-235,HuakaizuoFm,AB
1586,0,-276,HuakaizuoFm,AB
1629,0,-312,HuakaizuoFm,AB
1675,0,-349,HuakaizuoFm,AB
1715,0,-402,HuakaizuoFm,AB
1751,0,-450,HuakaizuoFm,AB
1779,0,-490,HuakaizuoFm,AB
1818,0,-544,HuakaizuoFm,AB
1845,0,-578,HuakaizuoFm,AB
1854,0,-600,HuakaizuoFm,AB
1920,0,-700,HuakaizuoFm,AB
2000,0,-800,HuakaizuoFm,AB
207,0,-482,UpperYunlongFm,AB
226,0,-461,UpperYunlongFm,AB
283,0,-429,UpperYunlongFm,AB
374,0,-419,UpperYunlongFm,AB
466,0,-411,UpperYunlongFm,AB
541,0,-407,UpperYunlongFm,AB
623,0,-404,UpperYunlongFm,AB
693,0,-402,UpperYunlongFm,AB
744,0,-385,UpperYunlongFm,AB
807,0,-352,UpperYunlongFm,AB
845,0,-338,UpperYunlongFm,AB
866,0,-324,UpperYunlongFm,AB
902,0,-280,UpperYunlongFm,AB
948,0,-247,UpperYunlongFm,AB
1041,0,-218,UpperYunlongFm,AB
1123,0,-209,UpperYunlongFm,AB
1210,0,-204,UpperYunlongFm,AB
1268,0,-221,UpperYunlongFm,AB
